identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_авторитет_678-14	1918-1990_авторитет_679-14	0	4		авторитет
1700-1916_авторитет_710-14	1918-1990_авторитет_711-14	0	1		авторитет
1700-1916_авторитет_692-14	1918-1990_авторитет_693-14	0	4		авторитет
1700-1916_авторитет_680-14	1918-1990_авторитет_681-14	0	4		авторитет
1700-1916_авторитет_736-14	1918-1990_авторитет_737-14	0	4		авторитет
1700-1916_авторитет_682-14	1918-1990_авторитет_683-14	0	4		авторитет
1700-1916_авторитет_734-14	1918-1990_авторитет_735-14	0	2		авторитет
1700-1916_авторитет_708-14	1918-1990_авторитет_709-14	0	3		авторитет
1700-1916_авторитет_684-14	1918-1990_авторитет_685-14	0	4		авторитет
1700-1916_авторитет_686-14	1918-1990_авторитет_687-14	0	4		авторитет
1700-1916_авторитет_730-14	1918-1990_авторитет_731-14	0	4		авторитет
1700-1916_авторитет_688-14	1918-1990_авторитет_689-14	0	2		авторитет
1700-1916_авторитет_728-14	1918-1990_авторитет_729-14	0	4		авторитет
1700-1916_авторитет_690-14	1918-1990_авторитет_691-14	0	4		авторитет
1700-1916_авторитет_726-14	1918-1990_авторитет_727-14	0	4		авторитет
1700-1916_авторитет_732-14	1918-1990_авторитет_733-14	0	3		авторитет
1700-1916_авторитет_716-14	1918-1990_авторитет_717-14	0	2		авторитет
1700-1916_авторитет_724-14	1918-1990_авторитет_725-14	0	4		авторитет
1700-1916_авторитет_696-14	1918-1990_авторитет_697-14	0	4		авторитет
1700-1916_авторитет_718-14	1918-1990_авторитет_719-14	0	4		авторитет
1700-1916_авторитет_694-14	1918-1990_авторитет_695-14	0	1		авторитет
1700-1916_авторитет_700-14	1918-1990_авторитет_701-14	0	3		авторитет
1700-1916_авторитет_702-14	1918-1990_авторитет_703-14	0	4		авторитет
1700-1916_авторитет_720-14	1918-1990_авторитет_721-14	0	4		авторитет
1700-1916_авторитет_704-14	1918-1990_авторитет_705-14	0	4		авторитет
1700-1916_авторитет_698-14	1918-1990_авторитет_699-14	0	3		авторитет
1700-1916_авторитет_722-14	1918-1990_авторитет_723-14	0	4		авторитет
1700-1916_авторитет_714-14	1918-1990_авторитет_715-14	0	3		авторитет
1700-1916_авторитет_706-14	1918-1990_авторитет_707-14	0	4		авторитет
1700-1916_авторитет_712-14	1918-1990_авторитет_713-14	0	3		авторитет
1700-1916_авторитет_696-14	1918-1990_авторитет_697-14	1	3		авторитет
1700-1916_авторитет_692-14	1918-1990_авторитет_693-14	1	4		авторитет
1700-1916_авторитет_688-14	1918-1990_авторитет_689-14	1	1		авторитет
1700-1916_авторитет_690-14	1918-1990_авторитет_691-14	1	2		авторитет
1700-1916_авторитет_678-14	1918-1990_авторитет_679-14	1	2		авторитет
1700-1916_авторитет_684-14	1918-1990_авторитет_685-14	1	4		авторитет
1700-1916_авторитет_698-14	1918-1990_авторитет_699-14	1	4		авторитет
1700-1916_авторитет_682-14	1918-1990_авторитет_683-14	1	4		авторитет
1700-1916_авторитет_702-14	1918-1990_авторитет_703-14	1	4		авторитет
1700-1916_авторитет_680-14	1918-1990_авторитет_681-14	1	3		авторитет
1700-1916_авторитет_704-14	1918-1990_авторитет_705-14	1	3		авторитет
1700-1916_авторитет_706-14	1918-1990_авторитет_707-14	1	4		авторитет
1700-1916_авторитет_686-14	1918-1990_авторитет_687-14	1	4		авторитет
1700-1916_авторитет_694-14	1918-1990_авторитет_695-14	1	3		авторитет
1700-1916_авторитет_708-14	1918-1990_авторитет_709-14	1	3		авторитет
1700-1916_авторитет_710-14	1918-1990_авторитет_711-14	1	2		авторитет
1700-1916_авторитет_720-14	1918-1990_авторитет_721-14	1	2		авторитет
1700-1916_авторитет_718-14	1918-1990_авторитет_719-14	1	4		авторитет
1700-1916_авторитет_722-14	1918-1990_авторитет_723-14	1	3		авторитет
1700-1916_авторитет_716-14	1918-1990_авторитет_717-14	1	4		авторитет
1700-1916_авторитет_714-14	1918-1990_авторитет_715-14	1	1		авторитет
1700-1916_авторитет_712-14	1918-1990_авторитет_713-14	1	1		авторитет
1700-1916_авторитет_724-14	1918-1990_авторитет_725-14	1	4		авторитет
1700-1916_авторитет_736-14	1918-1990_авторитет_737-14	1	4		авторитет
1700-1916_авторитет_734-14	1918-1990_авторитет_735-14	1	3		авторитет
1700-1916_авторитет_732-14	1918-1990_авторитет_733-14	1	1		авторитет
1700-1916_авторитет_700-14	1918-1990_авторитет_701-14	1	4		авторитет
1700-1916_авторитет_728-14	1918-1990_авторитет_729-14	1	4		авторитет
1700-1916_авторитет_730-14	1918-1990_авторитет_731-14	1	2		авторитет
1700-1916_авторитет_726-14	1918-1990_авторитет_727-14	1	4		авторитет
1700-1916_авторитет_694-14	1918-1990_авторитет_695-14	2	3		авторитет
1700-1916_авторитет_720-14	1918-1990_авторитет_721-14	2	4		авторитет
1700-1916_авторитет_690-14	1918-1990_авторитет_691-14	2	2		авторитет
1700-1916_авторитет_696-14	1918-1990_авторитет_697-14	2	4		авторитет
1700-1916_авторитет_718-14	1918-1990_авторитет_719-14	2	4		авторитет
1700-1916_авторитет_698-14	1918-1990_авторитет_699-14	2	4		авторитет
1700-1916_авторитет_716-14	1918-1990_авторитет_717-14	2	4		авторитет
1700-1916_авторитет_700-14	1918-1990_авторитет_701-14	2	4		авторитет
1700-1916_авторитет_692-14	1918-1990_авторитет_693-14	2	4		авторитет
1700-1916_авторитет_726-14	1918-1990_авторитет_727-14	2	4		авторитет
1700-1916_авторитет_688-14	1918-1990_авторитет_689-14	2	4		авторитет
1700-1916_авторитет_702-14	1918-1990_авторитет_703-14	2	3		авторитет
1700-1916_авторитет_714-14	1918-1990_авторитет_715-14	2	3		авторитет
1700-1916_авторитет_732-14	1918-1990_авторитет_733-14	2	4		авторитет
