lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_738		Итак, чтобы покончить с этим предметом, прошу Вас, друг мой, никогда не опасаться задеть мою авторскую амбицию.	103:110	0:111	738	rushifteval	ru
амбиция	NOUN	1918	1918-1990	1918-1990_амбиция_739		Разговор, конечно, бессмысленный и бесполезный, но наведший все на те же размышления: о Церкви, о Православии, о той мелочной и даже злобной каше интриг, самолюбий, амбиций, эгоцентризмов, в которой приходится в Церкви жить.	165:172	0:224	739	rushifteval	ru
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_740		"Я припоминаю эти стишки, но не все: ""Вильде со скалкой, Садовский с палкой, Жандармы, полиция, Островский с амбицией""."	108:116	0:118	740	rushifteval	ru
амбиция	NOUN	1918	1918-1990	1918-1990_амбиция_741		Говорун полез было в амбицию, но я показал ему указательный палец и засадил чистить лук.	21:28	0:88	741	rushifteval	ru
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_742		Для нас, русского люда, достоверно лишь то, что обе эти принадлежности развитой общественной жизни выдуманы не на берегах Волги, Днепра и Дона; публикация прикатила к нам вместе с первым кораблем, в одном и том же тюке, где заключались цивилизация, аттестация, рекомендация, амбиция, градация, генерация, вариация, грация, репутация, нотация, экскузация, профанация, мистификация, традиция, эрудиция, композиция, кондиция, конкуренция, сентенция, протекция и многое множество всяких акций, анций, инций и енций, содействующих обогащению отечественного языка; вывеска же приехала с зимним обозом натяжеле.	275:282	0:604	742	rushifteval	ru
амбиция	NOUN	1918	1918-1990	1918-1990_амбиция_743		Однако логика развития науки, да и всей культуры в целом, подчас не считается с личными амбициями.	88:97	0:98	743	rushifteval	ru
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_744		Смотритель был с амбицией.	17:25	0:26	744	rushifteval	ru
амбиция	NOUN	1918	1918-1990	1918-1990_амбиция_745		Этому замечательному человеку суждено было сыграть в нашем театре важную и прекрасную роль мецената, умеющего не только приносить материальные жертвы искусству, но и служить ему со всей преданностью, без самолюбия, без ложной амбиции и личной выгоды.	226:233	0:250	745	rushifteval	ru
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_746		"Поручик, еще весь потрясенный непочтительностию, весь пылая и, очевидно, желая поддержать пострадавшую амбицию, набросился всеми перунами на несчастную ""пышную даму"", смотревшую на него, с тех самых пор как он вошел, с преглупейшею улыбкой."	103:110	0:240	746	rushifteval	ru
амбиция	NOUN	1918	1918-1990	1918-1990_амбиция_747		"Имелись ли в виду недавние события в Польше и демонстрация ""братства по оружию"" на совместных с немцами парадах в Бресте и других городах, после того как вермахт и Красная Армия встретились на заранее обусловленной линии Или же то был намек на тяжелые потери советских войск в снежных просторах Финляндии А может, Сталин думал уже о будущих совместных с Гитлером акциях по разделу глобальных сфер интересов Нельзя исключать подобные амбиции ""вождя народов""."	433:440	0:457	747	rushifteval	ru
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_748		Хоть с генеральскими детьми поводиться, так и тем на ногу себе наступить не позволит, потому я первым делом наблюдаю, чтобы в моих детях эта благородная амбиция была; как сам я, сударыня, моему императору майор, в штаб-офицерском ранге числюсь, так уж и желаю вполне, чтобы мои дети достоинство родительского звания соблюдали.	153:160	0:326	748	rushifteval	ru
амбиция	NOUN	1918	1918-1990	1918-1990_амбиция_749		Он уж, поди, и сам был не рад, что такая идея ему пришла, но команда отдана, отменить -- амбиция не позволяла.	89:96	0:110	749	rushifteval	ru
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_750		Ну, а старуха тоже была властная, с амбицией, перекоров не любила, и хочь, поначалу, и не подаст виду, что ей всякое слово известно, однако при первой возможности возместит беспременно: иная вина и легкая, а у ней идет за тяжелую; иной сестре следовало бы, за вину, сто поклонов назначить, а она на цепь посадит, да два дни не емши держит.	36:44	0:339	750	rushifteval	ru
амбиция	NOUN	1918	1918-1990	1918-1990_амбиция_751		"А она в амбицию: ""Вы, кричит, китайскому посланнику небось не сказали бы, что он умный человек, да жаль, что косоглаз, а женщине смеете Вон из моей комнаты!"""	8:15	0:157	751	rushifteval	ru
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_752		Конечно, я себя уронил и амбиция моя пострадала, но ведь этого никто не знает из посторонних-то, никто, кроме вас, не знает; ну, а в таком случае это все равно что как бы его и не было.	25:32	0:185	752	rushifteval	ru
амбиция	NOUN	1918	1918-1990	1918-1990_амбиция_753		"Сколько-нибудь выделялся только студент университета Котлецов, -- неимоверно развязный, поверхностный, любитель дешевых шуток и острот, из тех, про которых говорят: ""на грош амуниции, на рубль амбиции""."	193:200	0:202	753	rushifteval	ru
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_754		"Он не лишен и амбиции, но она удовлетворяется тоже довольно легко; он раз, например, выпил неосторожно, дебошу наделал, по его словам, и после того пишет к Вареньке, утешая ее: ""Вы, говорит, обо мне не беспокойтесь; спешу вам объявить, что амбиция моя мне всего дороже, и уведомляю вас, что из начальства еще никто ничего не знает, да и не будет знать, так что они все будут питать ко мне уважение по-прежнему""."	14:21	0:411	754	rushifteval	ru
амбиция	NOUN	1918	1918-1990	1918-1990_амбиция_755		Кот, к примеру, и тот с одной амбицией прыгать не стал.	30:38	0:55	755	rushifteval	ru
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_756		Он вошел в амбицию и уже по своей ограниченности сейчас же заговорил об отставке, без сомнения, для него вовсе нежелательной.	11:18	0:125	756	rushifteval	ru
амбиция	NOUN	1918	1918-1990	1918-1990_амбиция_757		Вот на каких серьезных дрожжах замешаны страсти, бурлящие вокруг крупных изобретений, -- не на одних личных выгодах или амбициях.	120:128	0:129	757	rushifteval	ru
амбиция	NOUN	1700	1700-1916	1700-1916_амбиция_758		Два эти нахала оказались какими-то ясновельможными панами, которые не только признавали себя вправе ругать русского чиновника и нарушать распоряжение генерал-губернатора, но вломились в амбицию на меня, что я смел им сделать замечание, и пожаловались Валуеву.	186:193	0:259	758	rushifteval	ru
