identifier1	identifier2	annotator	judgment	comment	lemma
856	857	0	4		благодарность
856	857	1	2		благодарность
856	857	2	2		благодарность
858	859	0	4		благодарность
858	859	1	2		благодарность
858	859	2	3		благодарность
860	861	0	1		благодарность
860	861	1	1		благодарность
860	861	2	1		благодарность
862	863	0	2		благодарность
862	863	1	3		благодарность
862	863	2	4		благодарность
864	865	0	4		благодарность
864	865	1	4		благодарность
864	865	2	4		благодарность
866	867	0	4		благодарность
866	867	1	4		благодарность
866	867	2	3		благодарность
868	869	0	3		благодарность
868	869	1	4		благодарность
868	869	2	4		благодарность
870	871	0	4		благодарность
870	871	1	3		благодарность
870	871	2	4		благодарность
872	873	0	4		благодарность
872	873	1	3		благодарность
872	873	2	4		благодарность
874	875	0	3		благодарность
874	875	1	4		благодарность
874	875	2	2		благодарность
876	877	0	2		благодарность
876	877	1	4		благодарность
876	877	2	4		благодарность
878	879	0	3		благодарность
878	879	1	3		благодарность
878	879	2	4		благодарность
880	881	0	1		благодарность
880	881	1	2		благодарность
880	881	2	3		благодарность
882	883	0	4		благодарность
882	883	1	4		благодарность
882	883	2	3		благодарность
884	885	0	4		благодарность
884	885	1	4		благодарность
884	885	2	3		благодарность
886	887	0	3		благодарность
886	887	1	4		благодарность
886	887	2	4		благодарность
888	889	0	4		благодарность
888	889	1	4		благодарность
888	889	2	4		благодарность
890	891	0	1		благодарность
890	891	1	4		благодарность
890	891	2	4		благодарность
892	893	0	4		благодарность
892	893	1	1		благодарность
892	893	2	2		благодарность
894	895	0	4		благодарность
894	895	1	4		благодарность
894	895	2	3		благодарность
896	897	0	3		благодарность
896	897	1	3		благодарность
896	897	2	3		благодарность
898	899	0	4		благодарность
898	899	1	4		благодарность
898	899	2	4		благодарность
900	901	0	4		благодарность
900	901	1	4		благодарность
900	901	2	2		благодарность
902	903	0	4		благодарность
902	903	1	4		благодарность
902	903	2	4		благодарность
904	905	0	4		благодарность
904	905	1	4		благодарность
904	905	2	3		благодарность
906	907	0	1		благодарность
906	907	1	3		благодарность
906	907	2	1		благодарность
908	909	0	4		благодарность
908	909	1	3		благодарность
908	909	2	4		благодарность
910	911	0	4		благодарность
910	911	1	4		благодарность
910	911	2	3		благодарность
912	913	0	1		благодарность
912	913	1	4		благодарность
912	913	2	2		благодарность
914	915	0	3		благодарность
914	915	1	4		благодарность
914	915	2	4		благодарность
