lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_868-14		Итак, не отвергайте моей благодарности!	25:38	0:39
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_884-14		Будьте уверены, друг мой, что я способна оценить вашу ко мне преданность и заплачу вам вечною благодарностью.	94:108	0:109
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_898-14		Он, в умилении от этой ласки, от этого неожиданного, теплого ты, взглянул на нее с той же исступленной благодарностью, с какою она взглянула вчера на него, когда он, забывая себя, помогал ей сойти с обрыва.	103:117	0:206
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_866-14		Он схватил мозолистую, шершавую руку матроса и стал ее робко и нежно гладить, заглядывая в лицо Лучкина с трогательным выражением благодарности забитого существа, согретого лаской.	130:143	0:180
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_914-14		Он нагнулся к ее душистым рассыпанным волосам и, в опьянении благодарности и восторга, едва дерзал ласкать их рукой, едва касался до них губами.	61:74	0:144
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_856-14		После сего они уехали, и я сожалел о неосторожности сей девушки, бранил ее мать, что поверила воспитание своей дочери такой плутовке, и проклинал сию бродяжку француженку, которая, недовольна тем, что нашла себе хлеб в честном доме, в благодарность вздумала развращать невинную девушку, в чем способствовала им и содержательница лавки, обещав Скотоправу, что она в своей лавке дозволит производить все старания для погубления добродетели сей девушки, которая, как кажется, очень скоро развратится, навидевшись примеров в большом свете.	235:248	0:535
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_858-14		За это дивное спасение караула командир полка, генерал Шеншин, получил второго Владимира, а поручик Греч не удостоился даже изъявления благодарности.	135:148	0:149
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_860-14		Получив самое скудное воспитание и проходя службу с низших ступеней среди дореформенных канцелярских порядков и общего взяточничества, -- он никогда не позволял себе принимать даже того, что по тому времени называлось "благодарностию", то есть приношений уже после состоявшегося решения дела.	219:233	0:292
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_908-14		Прежде всего просьба, чтобы не забыть, а потом уже не благодарность за дружеское твое внимание к скитальцу в восточных краях.	54:67	0:125
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_862-14		Я был принят в этом семействе как родной и, заняв потом профессуру Мойера, мечтал о женитьбе на его дочери, сыновней благодарности и пр., и пр. Мечтам юности не суждено было осуществиться, и я поневоле остался в долгу у незабвенной Екатерины Афанасьевны.	117:130	0:254
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_882-14		От 10 сего мая письмо вашего пр-ва получил исправно и за все в нем изъясненное приношу вам, м. г. мой, наисовершеннейшую благодарность и сердечно рад, что вы мной довольны.	121:134	0:172
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_870-14		Его Императорское Величество благодарил депутатов за выраженные чувства и поручил передать благодарность тем, кто их послал.	91:104	0:124
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_872-14		Возвращаясь затем в Гостиницу, я встретил у входа вернувшегося уже раньше Посла, который выслушав мой отчет, предложил мне сопровождать его в его прогулке, что конечно пришлось принять с благодарностью.	187:201	0:202
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_874-14		По истечении двух с лишком лет совместник узденя, обязанный князю благодарностью, напал на врага своего, разбил, умертвил его, освободил всех бывших у него русских пленников и нашего страдальца привез в его полк.	66:80	0:212
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_876-14		Пан Харитон в безмолвии пал на грудь добродетельного мужа, и слезы его, слезы благодарности и умиления, оросили щеки старца.	78:91	0:124
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_878-14		-- Помилуйте, Фирс Игнатьич, какая благодарность, вы как родной у меня, -- отвечала Дарья Ивановна.	35:48	0:99
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_880-14		Отец Матильды был приказчиком в купеческом доме д'Орвелио, с падением хозяина и Джиакомо Вальоне потерял все, сохранил только теплую благодарность за прежнее добро; Матильда имела хороший голос, и Джиакомо определил ее в хористки на Ливорнский театр, но не мог жить чужим жалованьем, хотя бы дочерним, умер, и Лючия взяла Матильду к себе в дом, любила и берегла ее, как собственную дочь, хотя и своих детей было у нее шестеро, мал мала меньше.	133:146	0:443
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_864-14		Будь капитан на палубе, я бы никак не утерпел и в порыве благодарности бросился бы обнимать его; но капитана на корабле не было.	57:70	0:128
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_906-14		Но если я не могу равнодушно вспомнить о педагогических достоинствах Войцеховича и всегда с благодарностью произношу его имя, то так же неравнодушно, только с другой стороны, вспоминаю учителя латинского языка, попа, -- имени не помню; за доброту и чрезмерную мягкость души, пожалуй, приличнее бы было его величать священником, но за ученье он не стоит названия и попа, а разве только попика.	92:106	0:392
благодарность	NOUN	1700	1700-1916	1700-1916_благодарность_912-14		И эта благодарность, и несколько умиленное лицо брата приятно щекотали нервы Пинегина.	6:19	0:86
