lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
блин	NOUN	1700	1700-1916	1700-1916_блин_974-14		Знаменитый наш ресторатор Легран должен был выучиться печь русские блины и кулебяки, варить русские щи, уху, малороссийский борщ и приготовлять русское ботвинье, а в русских трактирах варят французские бульоны, немецкие супы и разные соусы!	67:72	0:240
блин	NOUN	1700	1700-1916	1700-1916_блин_966-14		Сейчас блины дают.	7:12	0:18
блин	NOUN	1700	1700-1916	1700-1916_блин_968-14		А слуги стоят с блинами и ждут, кому велят подавать.	16:23	0:52
блин	NOUN	1700	1700-1916	1700-1916_блин_928-14		Однако я не помнил что-то подходящей поговорки, и он начал припоминать сам: -- Как же так не помните Говорится: "Где блины, там и мы..."	117:122	0:136
блин	NOUN	1700	1700-1916	1700-1916_блин_942-14		И не мудрено! он не знал простуды и неварения желудка, -- пил и ел чего сколько душа хотела, по субботам хаживал в геенну, то есть в баню, сыпал равно на сквозном ветре и на лежанке; в горнице сиживал в тулупе, а на дворе в мороз бегивал в халате, квас пил на молоко, чай на репу, познакомился с 3 лет с ленивыми щами, с ботвиньей, с няней, с рубцами, с блинами, с киселями, кашами, чинеными желудками; и когда спешил есть, то отец, улыбаясь, говаривал: "Э, как Лукаша уписывает! за ушми пищит!.."	354:361	0:497
блин	NOUN	1700	1700-1916	1700-1916_блин_940-14		Хлеб совершенно не выходил: на лопате он был еще ничего, но стоило посадить в печку, и он расплывался безобразным блином.	114:120	0:121
блин	NOUN	1700	1700-1916	1700-1916_блин_916-14		В кругу театральном Гоголь был еще раз у П. И. Орловой на вечере, устроенном ею нарочно для Николая Васильевича, выразившего однажды желание поесть русских блинов, которыми Прасковья Ивановна, как москвичка, и вызвалась его угостить.	156:162	0:233
блин	NOUN	1700	1700-1916	1700-1916_блин_918-14		Отпустивши прочих детей, маменька удерживали меня при себе и тут доставали из шкафика особую, приготовленную отлично, порцию блинов или пирогов с изобилием масла, сметаны и тому подобных славностей.	125:131	0:198
блин	NOUN	1700	1700-1916	1700-1916_блин_964-14		-- Сегодня у Николы, поди, блины пекут!	27:32	0:39
блин	NOUN	1700	1700-1916	1700-1916_блин_920-14		-- Нет, -- говорил он, -- я к нему приду по его приглашению, но приду на его похороны блины есть, а до того весь мир узнает, что такое моя железная воля.	86:91	0:153
блин	NOUN	1700	1700-1916	1700-1916_блин_924-14		Если это количество блинов разложить по площади, то они покрыли бы собой 6 Красных площадей.	20:26	0:92
блин	NOUN	1700	1700-1916	1700-1916_блин_926-14		"Эти блины, говорит, я сама ела и священники ели"; те точно что помнят, ели блины, но ничего с ними не было.	5:10	0:108
блин	NOUN	1700	1700-1916	1700-1916_блин_930-14		Пока он справлялся с блинами, Лаврентий Никитич усадил своих гостей, и между ними начался следующий разговор.	21:28	0:109
блин	NOUN	1700	1700-1916	1700-1916_блин_932-14		-- Нет, грех сказать, хорошо, даже очень хорошо Улитка блины печет!	55:60	0:67
блин	NOUN	1700	1700-1916	1700-1916_блин_934-14		Чуб не без тайного удовольствия видел, как кузнец, который никому на селе в ус не дул, сгибал в руке пятаки и подковы, как гречневые блины, тот самый кузнец лежал у ног его.	133:138	0:173
