identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_век_1272-14	1918-1990_век_1273-14	0	3		век
1700-1916_век_1250-14	1918-1990_век_1251-14	0	4		век
1700-1916_век_1232-14	1918-1990_век_1233-14	0	3		век
1700-1916_век_1218-14	1918-1990_век_1219-14	0	4		век
1700-1916_век_1252-14	1918-1990_век_1253-14	0	1		век
1700-1916_век_1216-14	1918-1990_век_1217-14	0	4		век
1700-1916_век_1254-14	1918-1990_век_1255-14	0	4		век
1700-1916_век_1262-14	1918-1990_век_1263-14	0	4		век
1700-1916_век_1256-14	1918-1990_век_1257-14	0	1		век
1700-1916_век_1264-14	1918-1990_век_1265-14	0	4		век
1700-1916_век_1258-14	1918-1990_век_1259-14	0	4		век
1700-1916_век_1266-14	1918-1990_век_1267-14	0	4		век
1700-1916_век_1246-14	1918-1990_век_1247-14	0	4		век
1700-1916_век_1268-14	1918-1990_век_1269-14	0	4		век
1700-1916_век_1220-14	1918-1990_век_1221-14	0	4		век
1700-1916_век_1236-14	1918-1990_век_1237-14	0	1		век
1700-1916_век_1234-14	1918-1990_век_1235-14	0	4		век
1700-1916_век_1248-14	1918-1990_век_1249-14	0	4		век
1700-1916_век_1260-14	1918-1990_век_1261-14	0	1		век
1700-1916_век_1238-14	1918-1990_век_1239-14	0	4		век
1700-1916_век_1228-14	1918-1990_век_1229-14	0	4		век
1700-1916_век_1240-14	1918-1990_век_1241-14	0	1		век
1700-1916_век_1222-14	1918-1990_век_1223-14	0	3		век
1700-1916_век_1226-14	1918-1990_век_1227-14	0	1		век
1700-1916_век_1242-14	1918-1990_век_1243-14	0	4		век
1700-1916_век_1230-14	1918-1990_век_1231-14	0	4		век
1700-1916_век_1270-14	1918-1990_век_1271-14	0	4		век
1700-1916_век_1224-14	1918-1990_век_1225-14	0	2		век
1700-1916_век_1244-14	1918-1990_век_1245-14	0	4		век
1700-1916_век_1258-14	1918-1990_век_1259-14	1	4		век
1700-1916_век_1250-14	1918-1990_век_1251-14	1	4		век
1700-1916_век_1272-14	1918-1990_век_1273-14	1	4		век
1700-1916_век_1246-14	1918-1990_век_1247-14	1	4		век
1700-1916_век_1236-14	1918-1990_век_1237-14	1	4		век
1700-1916_век_1242-14	1918-1990_век_1243-14	1	4		век
1700-1916_век_1240-14	1918-1990_век_1241-14	1	1		век
1700-1916_век_1252-14	1918-1990_век_1253-14	1	1		век
1700-1916_век_1244-14	1918-1990_век_1245-14	1	2		век
1700-1916_век_1248-14	1918-1990_век_1249-14	1	3		век
1700-1916_век_1234-14	1918-1990_век_1235-14	1	4		век
1700-1916_век_1238-14	1918-1990_век_1239-14	1	4		век
1700-1916_век_1254-14	1918-1990_век_1255-14	1	4		век
1700-1916_век_1256-14	1918-1990_век_1257-14	1	1		век
1700-1916_век_1270-14	1918-1990_век_1271-14	1	4		век
1700-1916_век_1224-14	1918-1990_век_1225-14	1	2		век
1700-1916_век_1230-14	1918-1990_век_1231-14	1	4		век
1700-1916_век_1232-14	1918-1990_век_1233-14	1	4		век
1700-1916_век_1262-14	1918-1990_век_1263-14	1	4		век
1700-1916_век_1220-14	1918-1990_век_1221-14	1	3		век
1700-1916_век_1216-14	1918-1990_век_1217-14	1	1		век
1700-1916_век_1222-14	1918-1990_век_1223-14	1	4		век
1700-1916_век_1260-14	1918-1990_век_1261-14	1	3		век
1700-1916_век_1226-14	1918-1990_век_1227-14	1	4		век
1700-1916_век_1218-14	1918-1990_век_1219-14	1	2		век
1700-1916_век_1268-14	1918-1990_век_1269-14	1	4		век
1700-1916_век_1228-14	1918-1990_век_1229-14	1	3		век
1700-1916_век_1264-14	1918-1990_век_1265-14	1	2		век
1700-1916_век_1266-14	1918-1990_век_1267-14	1	4		век
1700-1916_век_1226-14	1918-1990_век_1227-14	2	4		век
1700-1916_век_1240-14	1918-1990_век_1241-14	2	1		век
1700-1916_век_1232-14	1918-1990_век_1233-14	2	1		век
1700-1916_век_1242-14	1918-1990_век_1243-14	2	4		век
1700-1916_век_1222-14	1918-1990_век_1223-14	2	4		век
1700-1916_век_1238-14	1918-1990_век_1239-14	2	4		век
1700-1916_век_1272-14	1918-1990_век_1273-14	2	4		век
1700-1916_век_1220-14	1918-1990_век_1221-14	2	4		век
1700-1916_век_1270-14	1918-1990_век_1271-14	2	4		век
1700-1916_век_1224-14	1918-1990_век_1225-14	2	2		век
1700-1916_век_1244-14	1918-1990_век_1245-14	2	1		век
1700-1916_век_1234-14	1918-1990_век_1235-14	2	4		век
1700-1916_век_1236-14	1918-1990_век_1237-14	2	4		век
1700-1916_век_1258-14	1918-1990_век_1259-14	2	4		век
1700-1916_век_1218-14	1918-1990_век_1219-14	2	4		век
1700-1916_век_1266-14	1918-1990_век_1267-14	2	4		век
1700-1916_век_1268-14	1918-1990_век_1269-14	2	3		век
1700-1916_век_1256-14	1918-1990_век_1257-14	2	2		век
1700-1916_век_1230-14	1918-1990_век_1231-14	2	4		век
1700-1916_век_1262-14	1918-1990_век_1263-14	2	3		век
1700-1916_век_1260-14	1918-1990_век_1261-14	2	4		век
1700-1916_век_1252-14	1918-1990_век_1253-14	2	1		век
1700-1916_век_1216-14	1918-1990_век_1217-14	2	3		век
1700-1916_век_1250-14	1918-1990_век_1251-14	2	4		век
1700-1916_век_1248-14	1918-1990_век_1249-14	2	3		век
1700-1916_век_1228-14	1918-1990_век_1229-14	2	3		век
1700-1916_век_1246-14	1918-1990_век_1247-14	2	4		век
