identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_верховье_54-14	1918-1990_верховье_55-14	0	1		верховье
1700-1916_верховье_34-14	1918-1990_верховье_35-14	0	4		верховье
1700-1916_верховье_0-14	1918-1990_верховье_1-14	0	4		верховье
1700-1916_верховье_4-14	1918-1990_верховье_5-14	0	4		верховье
1700-1916_верховье_32-14	1918-1990_верховье_33-14	0	4		верховье
1700-1916_верховье_6-14	1918-1990_верховье_7-14	0	3		верховье
1700-1916_верховье_30-14	1918-1990_верховье_31-14	0	4		верховье
1700-1916_верховье_12-14	1918-1990_верховье_13-14	0	3		верховье
1700-1916_верховье_8-14	1918-1990_верховье_9-14	0	2		верховье
1700-1916_верховье_10-14	1918-1990_верховье_11-14	0	4		верховье
1700-1916_верховье_50-14	1918-1990_верховье_51-14	0	4		верховье
1700-1916_верховье_26-14	1918-1990_верховье_27-14	0	2		верховье
1700-1916_верховье_42-14	1918-1990_верховье_43-14	0	4		верховье
1700-1916_верховье_48-14	1918-1990_верховье_49-14	0	4		верховье
1700-1916_верховье_44-14	1918-1990_верховье_45-14	0	4		верховье
1700-1916_верховье_28-14	1918-1990_верховье_29-14	0	4		верховье
1700-1916_верховье_36-14	1918-1990_верховье_37-14	0	4		верховье
1700-1916_верховье_46-14	1918-1990_верховье_47-14	0	4		верховье
1700-1916_верховье_20-14	1918-1990_верховье_21-14	0	4		верховье
1700-1916_верховье_38-14	1918-1990_верховье_39-14	0	4		верховье
1700-1916_верховье_2-14	1918-1990_верховье_3-14	0	2		верховье
1700-1916_верховье_24-14	1918-1990_верховье_25-14	0	4		верховье
1700-1916_верховье_40-14	1918-1990_верховье_41-14	0	4		верховье
1700-1916_верховье_22-14	1918-1990_верховье_23-14	0	4		верховье
1700-1916_верховье_16-14	1918-1990_верховье_17-14	0	4		верховье
1700-1916_верховье_58-14	1918-1990_верховье_59-14	0	4		верховье
1700-1916_верховье_52-14	1918-1990_верховье_53-14	0	2		верховье
1700-1916_верховье_14-14	1918-1990_верховье_15-14	0	4		верховье
1700-1916_верховье_56-14	1918-1990_верховье_57-14	0	4		верховье
1700-1916_верховье_18-14	1918-1990_верховье_19-14	0	4		верховье
1700-1916_верховье_46-14	1918-1990_верховье_47-14	1	4		верховье
1700-1916_верховье_54-14	1918-1990_верховье_55-14	1	4		верховье
1700-1916_верховье_48-14	1918-1990_верховье_49-14	1	4		верховье
1700-1916_верховье_50-14	1918-1990_верховье_51-14	1	4		верховье
1700-1916_верховье_38-14	1918-1990_верховье_39-14	1	4		верховье
1700-1916_верховье_40-14	1918-1990_верховье_41-14	1	4		верховье
1700-1916_верховье_56-14	1918-1990_верховье_57-14	1	4		верховье
1700-1916_верховье_36-14	1918-1990_верховье_37-14	1	4		верховье
1700-1916_верховье_28-14	1918-1990_верховье_29-14	1	4		верховье
1700-1916_верховье_58-14	1918-1990_верховье_59-14	1	4		верховье
1700-1916_верховье_30-14	1918-1990_верховье_31-14	1	4		верховье
1700-1916_верховье_26-14	1918-1990_верховье_27-14	1	4		верховье
1700-1916_верховье_34-14	1918-1990_верховье_35-14	1	4		верховье
1700-1916_верховье_52-14	1918-1990_верховье_53-14	1	4		верховье
1700-1916_верховье_32-14	1918-1990_верховье_33-14	1	4		верховье
1700-1916_верховье_14-14	1918-1990_верховье_15-14	1	4		верховье
1700-1916_верховье_44-14	1918-1990_верховье_45-14	1	4		верховье
1700-1916_верховье_2-14	1918-1990_верховье_3-14	1	3		верховье
1700-1916_верховье_42-14	1918-1990_верховье_43-14	1	4		верховье
1700-1916_верховье_16-14	1918-1990_верховье_17-14	1	4		верховье
1700-1916_верховье_24-14	1918-1990_верховье_25-14	1	4		верховье
1700-1916_верховье_12-14	1918-1990_верховье_13-14	1	2		верховье
1700-1916_верховье_18-14	1918-1990_верховье_19-14	1	4		верховье
1700-1916_верховье_0-14	1918-1990_верховье_1-14	1	3		верховье
1700-1916_верховье_20-14	1918-1990_верховье_21-14	1	4		верховье
1700-1916_верховье_10-14	1918-1990_верховье_11-14	1	3		верховье
1700-1916_верховье_4-14	1918-1990_верховье_5-14	1	4		верховье
1700-1916_верховье_8-14	1918-1990_верховье_9-14	1	2		верховье
1700-1916_верховье_22-14	1918-1990_верховье_23-14	1	4		верховье
1700-1916_верховье_6-14	1918-1990_верховье_7-14	1	2		верховье
1700-1916_верховье_22-14	1918-1990_верховье_23-14	2	4		верховье
1700-1916_верховье_58-14	1918-1990_верховье_59-14	2	4		верховье
1700-1916_верховье_20-14	1918-1990_верховье_21-14	2	4		верховье
1700-1916_верховье_36-14	1918-1990_верховье_37-14	2	4		верховье
1700-1916_верховье_56-14	1918-1990_верховье_57-14	2	4		верховье
1700-1916_верховье_16-14	1918-1990_верховье_17-14	2	4		верховье
1700-1916_верховье_54-14	1918-1990_верховье_55-14	2	4		верховье
1700-1916_верховье_14-14	1918-1990_верховье_15-14	2	4		верховье
1700-1916_верховье_0-14	1918-1990_верховье_1-14	2	4		верховье
1700-1916_верховье_18-14	1918-1990_верховье_19-14	2	4		верховье
1700-1916_верховье_42-14	1918-1990_верховье_43-14	2	4		верховье
1700-1916_верховье_34-14	1918-1990_верховье_35-14	2	4		верховье
1700-1916_верховье_44-14	1918-1990_верховье_45-14	2	4		верховье
1700-1916_верховье_32-14	1918-1990_верховье_33-14	2	4		верховье
1700-1916_верховье_4-14	1918-1990_верховье_5-14	2	4		верховье
1700-1916_верховье_28-14	1918-1990_верховье_29-14	2	4		верховье
1700-1916_верховье_6-14	1918-1990_верховье_7-14	2	3		верховье
1700-1916_верховье_8-14	1918-1990_верховье_9-14	2	3		верховье
1700-1916_верховье_10-14	1918-1990_верховье_11-14	2	4		верховье
1700-1916_верховье_40-14	1918-1990_верховье_41-14	2	4		верховье
1700-1916_верховье_50-14	1918-1990_верховье_51-14	2	4		верховье
