lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
верховье	NOUN	1700	1700-1916	1700-1916_верховье_56-14		Прежде на одном верховье Свири вылавливали в осень до 40000 сигов, а теперь цифра эта спустилась до 20000, да и сиг измельчал.	16:24	0:126
верховье	NOUN	1700	1700-1916	1700-1916_верховье_6-14		Пойманная в устье реки кэта имеет красное жирное мясо, светло-серебряную чешую, маленькую красивую головку, а в верховьях она теряет окраску мяса, на боках появляются серые пятна, голова кажется вытянутою, зубы принимают оскаленный вид, и вкусом она значительно уступаешь низовой рыбе.	112:121	0:285
верховье	NOUN	1700	1700-1916	1700-1916_верховье_46-14		Тла убитыхъ и умершихъ отъ ранъ во время его обороны перевозились сюда черезъ бухту нагруженными въ баржахъ и предавались земл сначала на Михайловскомъ кладбищ, потомъ восточне его на западномъ скат Куриной балки, гд нын находятся остатки кремальерной лини, и окончательно на южномъ скат верховья Куриной балки.	288:296	0:311
верховье	NOUN	1700	1700-1916	1700-1916_верховье_14-14		На оставленных омоками берегах Колымы поселились разные народы, из коих наиболее заслуживают внимания юкагиры -- с верховьев сей реки, тунгусы -- из Амурских степей, и чуванцы, вытесненные чукчами с берегов Анадыра.	115:124	0:215
верховье	NOUN	1700	1700-1916	1700-1916_верховье_48-14		Частыми набегами они прекрасно изучили эту степь, приспособились к ее особенностям, высмотрели удобнейшие дороги, сакмы, или шляхи, и выработали превосходную тактику степных набегов; избегая речных переправ, они выбирали пути по водоразделам; главным из их путей к Москве был Муравский шлях, шедший от Перекопа до Тулы между верховьями рек двух бассейнов, Днепра и Северного Донца.	325:335	0:381
верховье	NOUN	1700	1700-1916	1700-1916_верховье_50-14		Поле Инкерманскаго сраженя находится въ 7-ми верстахъ отъ Севастополя между верховьями Киленъбалки и восТочными обрывами Сапунъ-горы.	76:86	0:133
верховье	NOUN	1700	1700-1916	1700-1916_верховье_12-14		Красные настолько мало опасались за свой фронт, что к северо-западу от верховьев балки Орловская в районе балок Забазная и Грачи нигде не было даже их разведывательных частей, и наши разъезды, не встречая противника, проходили на высоту 471.	71:80	0:241
верховье	NOUN	1700	1700-1916	1700-1916_верховье_44-14		То же можно сказать о верховьях Лены, но ниже по течению сей реки и далее от нее к востоку все места входят в разряд северных.	22:31	0:126
верховье	NOUN	1700	1700-1916	1700-1916_верховье_52-14		Берега озёр Чукчагирского и Самагирского, а равно и верховьев рек Горин и Амгунь, -- по словам Н. К. Бошняка, -- изобилуют превосходными строевыми лесами, преимущественно лиственницей, кедром и елью.	52:61	0:199
верховье	NOUN	1700	1700-1916	1700-1916_верховье_54-14		* Устьвочевская пристань (Вологодской губернии) находится в верховьях Северной Кельтмы, впадающей в Вычегду.	60:69	0:108
верховье	NOUN	1700	1700-1916	1700-1916_верховье_26-14		В Волжском верховье (Тверская, Ярославская, Костромская) шушуном зовется кофта с рукавами и отложным воротником, отороченная кругом ленточкой -- шугой.	11:19	0:151
верховье	NOUN	1700	1700-1916	1700-1916_верховье_24-14		Несомненно только то, что сравнительное геологическое изучение верховьев Иркута, Китоя, Оки и Белой приведет к решению многих существенных вопросов об образовании горных систем Центральной Азии.	63:72	0:194
верховье	NOUN	1700	1700-1916	1700-1916_верховье_8-14		Пробиваясь сквозь северную часть Хинганского хребта, Амур в верховьях своих имеет не более 150 сажен ширины.	60:69	0:108
верховье	NOUN	1700	1700-1916	1700-1916_верховье_0-14		Охват, отличается подобным же характером моренного ландшафта, что и многие местности в верховьях Волги.	87:96	0:103
верховье	NOUN	1700	1700-1916	1700-1916_верховье_2-14		Здесь, в верховьях Волги, он охотится на медведей и убил за истекший год одиннадцать штук.	9:18	0:90
верховье	NOUN	1700	1700-1916	1700-1916_верховье_10-14		Если ж ехать от верховья, то она будет налево.	16:24	0:46
верховье	NOUN	1700	1700-1916	1700-1916_верховье_16-14		Как было уже решено: на Пенджикент, потом Зеравшанской долиной до верховьев.	66:75	0:76
верховье	NOUN	1700	1700-1916	1700-1916_верховье_4-14		Строевой лес и дрова сплавляются с верховьев реки.	35:44	0:50
верховье	NOUN	1700	1700-1916	1700-1916_верховье_32-14		Последние спустились с верховья Идирмы в Куту, а первые поднялись по реке Нижней Тунгуске, из которой, преследуя непокорившиеся еще якутские племена через узкий волок, вошли в Вилюй, а по нему в Лену.	23:31	0:200
верховье	NOUN	1700	1700-1916	1700-1916_верховье_40-14		Сын этого Даниила Юрий в 1303 г., напав на другого соседа, князя можайского, также взял его в плен и захватил можайский удел в самых верховьях р.	133:142	0:145
верховье	NOUN	1700	1700-1916	1700-1916_верховье_18-14		Быть может, запасы достигнут осенью верховьев Амура, откуда их удастся сплавить в низовья по первой воде.	36:45	0:105
верховье	NOUN	1700	1700-1916	1700-1916_верховье_38-14		Закончив здесь работы по закладке церкви, я 1-го сентября собрался было обратно для осмотра возводимых мною построек, как вдруг солдаты, прибывшие с верховьев Уссури, сообщили мне, что будто бы приведенные мною переселенцы мрут с голода, так как ни одна из 34-х барж, предназначенных для уссурийских переселенцев, не прибыла, наличные же продовольственные запасы, рассчитанные на два месяца, истощились.	149:158	0:403
верховье	NOUN	1700	1700-1916	1700-1916_верховье_58-14		Я был на Тыми, когда уже в верховьях шла кета и на зеленых берегах там и сям попадались одинокие фигуры рыболовов, вытаскивавших крючками на длинных палках полуживую рыбу.	27:36	0:171
верховье	NOUN	1700	1700-1916	1700-1916_верховье_36-14		А он сидел и все смотрел на почерневшую реку, на глухой лес, зеленой стеной уходивший на сотни верст туда, к студеному морю, на чуть брезжившие горы в верховьях Студеной, -- смотрел и не шевелился, охваченный своей тяжелой стариковской думой.	151:160	0:242
верховье	NOUN	1700	1700-1916	1700-1916_верховье_20-14		И далее: "Из района верховьев р. Урала выступает на запад невысокое поднятие Общий Сырт, которое подходит к Волге у Саратова; оно примыкает к более широкому и более низкому степному плато, существование которого выявляется главным образом там, где оно прорезано реками.	20:29	0:269
верховье	NOUN	1700	1700-1916	1700-1916_верховье_34-14		"Ачто купля отца нашего за рекою за Окою Тешилов и Венев и Растовец и иная места, и тем нашим землям с твоею землею рубеж от Оки с усть Смедвы в верх по Смедве до усть-Песоченки, а Песоченкою до верховья Песоченскаго, а от верховья Песоченки через лес прямо к Осетру к усть-Кудесны, а Кудесною в верх до верховья, а от верховна Кудесны прямо в верх Табалом, а по Табалом на низ в Дон ... а тебе (Ивану Рязанскому) не вступатися в нашу отчину в Елечь и во вся Елецкая места, а Меча нам ведати вопче".	195:203	0:499
верховье	NOUN	1700	1700-1916	1700-1916_верховье_28-14		Вследствие крайне холодной погоды и отсутствия полой воды задерживает гонка плотов в верховьях Камы.	85:94	0:100
верховье	NOUN	1700	1700-1916	1700-1916_верховье_42-14		С верховьев Двины пришли первые плоты и баржи.	2:11	0:46
