lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
головка	NOUN	1700	1700-1916	1700-1916_головка_1334		Нам ее надобно -- мы дернем веревочку, -- она покажет свою головку в окне.	59:66	0:74	1334	rushifteval	ru
головка	NOUN	1918	1918-1990	1918-1990_головка_1335		Невестой меня называл, дурной! -- опять усмехнулась девочка и повела головкой.	69:77	0:78	1335	rushifteval	ru
головка	NOUN	1700	1700-1916	1700-1916_головка_1336		-- Не плачь, дитя мое, не плачь, -- гладя дрожавшими руками белобрысенькую головку девочки, шептала Елена Дмитриевна, расставаясь с нею, -- не на век расходимся, я же остаюсь в приюте, только передаю вас средней наставнице.	75:82	0:223	1336	rushifteval	ru
головка	NOUN	1918	1918-1990	1918-1990_головка_1337		Она поднимает за подбородок его головку, но голова уже упрямая, неподатливая, и он опускает ее опять.	32:39	0:101	1337	rushifteval	ru
головка	NOUN	1700	1700-1916	1700-1916_головка_1338		Война, войско, сражения, король, его свита, коронование -- все это сцены, которые она переживала в своей головке много, много раз.	105:112	0:130	1338	rushifteval	ru
головка	NOUN	1918	1918-1990	1918-1990_головка_1339		Карфагенская мелочь вещей изощренней египетской (много я видел последней в булакском музее в Каире); но более прочих влияющих бытов Египет сказался на них; есть в фигурочках, статуэтках -- от жеста Изиды; а вот -- плоскокрылые коршуны; нечто в них есть в египетских реющих ныне еще над Каиром, а вот -- не египетский хохот головки камеи; в Египте фигурки, камеи таинственных лиц не смеются: чуть-чуть улыбаются, как...	323:330	0:418	1339	rushifteval	ru
головка	NOUN	1700	1700-1916	1700-1916_головка_1340		Мне хотелось к каждой из этих красавиц обратиться с просьбой -- остановиться на минуту, чтобы дать мне возможность набросить контуры ее очаровательной головки.	151:158	0:159	1340	rushifteval	ru
головка	NOUN	1918	1918-1990	1918-1990_головка_1341		С помощью шнека и подъемника оно выгружается в мешки, которые надеваются на верхнюю головку подъемника и после заполнения укладываются на площадке комбайна под бункером.	84:91	0:169	1341	rushifteval	ru
головка	NOUN	1700	1700-1916	1700-1916_головка_1342		Заметенная прошлым, вот она вкрадчиво, вьюжно опрокинулась назад из оболока своих дней, вот заглянула в лазури глубокой истомы, загляделась в эти колодцы и головкой своей в сверкающей шапке в них отразилась, и грудкой, стрекочущей ожерельем слез лебединых, застывших, холодных, и ручкой со жгучей, как меч жалящей, ледышкой -- любовным жезлом.	156:164	0:343	1342	rushifteval	ru
головка	NOUN	1918	1918-1990	1918-1990_головка_1343		Дедушка взял деньги и тут же, весь клокоча от бессильного гнева, пошел в монопольку и купил за шесть копеек голубой шкалик с красной головкой.	133:141	0:142	1343	rushifteval	ru
головка	NOUN	1700	1700-1916	1700-1916_головка_1344		В ее красивой головке, видимо, сменялись мрачные и веселые мысли.	14:21	0:65	1344	rushifteval	ru
головка	NOUN	1918	1918-1990	1918-1990_головка_1345		Меня сегодня все почему-то гладили по головке.	38:45	0:46	1345	rushifteval	ru
головка	NOUN	1700	1700-1916	1700-1916_головка_1346		Вести В театре Буфф Морозова, благодаря неумелому устройству пола не только из задних рядов плохо видно, но даже из ближайших к сцене рядов; для того, чтобы увидеть, что происходит на сцене, приходится вертеть головой на лево и направо, старясь миновать цилиндры и дамские шляпы, копной возвышающиеся на изящных и неизящных дамских головках.	332:340	0:341	1346	rushifteval	ru
