identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_грех_1422-14	1918-1990_грех_1423-14	0	2		грех
1700-1916_грех_1448-14	1918-1990_грех_1449-14	0	3		грех
1700-1916_грех_1398-14	1918-1990_грех_1399-14	0	4		грех
1700-1916_грех_1450-14	1918-1990_грех_1451-14	0	4		грех
1700-1916_грех_1444-14	1918-1990_грех_1445-14	0	4		грех
1700-1916_грех_1396-14	1918-1990_грех_1397-14	0	4		грех
1700-1916_грех_1402-14	1918-1990_грех_1403-14	0	4		грех
1700-1916_грех_1436-14	1918-1990_грех_1437-14	0	4		грех
1700-1916_грех_1394-14	1918-1990_грех_1395-14	0	3		грех
1700-1916_грех_1406-14	1918-1990_грех_1407-14	0	4		грех
1700-1916_грех_1438-14	1918-1990_грех_1439-14	0	4		грех
1700-1916_грех_1424-14	1918-1990_грех_1425-14	0	4		грех
1700-1916_грех_1442-14	1918-1990_грех_1443-14	0	4		грех
1700-1916_грех_1420-14	1918-1990_грех_1421-14	0	4		грех
1700-1916_грех_1426-14	1918-1990_грех_1427-14	0	4		грех
1700-1916_грех_1446-14	1918-1990_грех_1447-14	0	2		грех
1700-1916_грех_1432-14	1918-1990_грех_1433-14	0	4		грех
1700-1916_грех_1428-14	1918-1990_грех_1429-14	0	4		грех
1700-1916_грех_1404-14	1918-1990_грех_1405-14	0	2		грех
1700-1916_грех_1416-14	1918-1990_грех_1417-14	0	4		грех
1700-1916_грех_1430-14	1918-1990_грех_1431-14	0	3		грех
1700-1916_грех_1414-14	1918-1990_грех_1415-14	0	4		грех
1700-1916_грех_1408-14	1918-1990_грех_1409-14	0	3		грех
1700-1916_грех_1440-14	1918-1990_грех_1441-14	0	1		грех
1700-1916_грех_1418-14	1918-1990_грех_1419-14	0	4		грех
1700-1916_грех_1412-14	1918-1990_грех_1413-14	0	1		грех
1700-1916_грех_1452-14	1918-1990_грех_1453-14	0	3		грех
1700-1916_грех_1434-14	1918-1990_грех_1435-14	0	4		грех
1700-1916_грех_1410-14	1918-1990_грех_1411-14	0	4		грех
1700-1916_грех_1400-14	1918-1990_грех_1401-14	0	3		грех
1700-1916_грех_1442-14	1918-1990_грех_1443-14	1	4		грех
1700-1916_грех_1438-14	1918-1990_грех_1439-14	1	4		грех
1700-1916_грех_1440-14	1918-1990_грех_1441-14	1	1		грех
1700-1916_грех_1422-14	1918-1990_грех_1423-14	1	4		грех
1700-1916_грех_1446-14	1918-1990_грех_1447-14	1	4		грех
1700-1916_грех_1436-14	1918-1990_грех_1437-14	1	4		грех
1700-1916_грех_1424-14	1918-1990_грех_1425-14	1	4		грех
1700-1916_грех_1426-14	1918-1990_грех_1427-14	1	4		грех
1700-1916_грех_1428-14	1918-1990_грех_1429-14	1	4		грех
1700-1916_грех_1430-14	1918-1990_грех_1431-14	1	4		грех
1700-1916_грех_1432-14	1918-1990_грех_1433-14	1	3		грех
1700-1916_грех_1434-14	1918-1990_грех_1435-14	1	4		грех
1700-1916_грех_1444-14	1918-1990_грех_1445-14	1	4		грех
1700-1916_грех_1448-14	1918-1990_грех_1449-14	1	4		грех
1700-1916_грех_1450-14	1918-1990_грех_1451-14	1	3		грех
1700-1916_грех_1420-14	1918-1990_грех_1421-14	1	4		грех
1700-1916_грех_1418-14	1918-1990_грех_1419-14	1	4		грех
1700-1916_грех_1394-14	1918-1990_грех_1395-14	1	4		грех
1700-1916_грех_1396-14	1918-1990_грех_1397-14	1	3		грех
1700-1916_грех_1416-14	1918-1990_грех_1417-14	1	4		грех
1700-1916_грех_1398-14	1918-1990_грех_1399-14	1	4		грех
1700-1916_грех_1406-14	1918-1990_грех_1407-14	1	4		грех
1700-1916_грех_1452-14	1918-1990_грех_1453-14	1	3		грех
1700-1916_грех_1400-14	1918-1990_грех_1401-14	1	4		грех
1700-1916_грех_1414-14	1918-1990_грех_1415-14	1	4		грех
1700-1916_грех_1402-14	1918-1990_грех_1403-14	1	3		грех
1700-1916_грех_1410-14	1918-1990_грех_1411-14	1	4		грех
1700-1916_грех_1404-14	1918-1990_грех_1405-14	1	1		грех
1700-1916_грех_1408-14	1918-1990_грех_1409-14	1	3		грех
1700-1916_грех_1412-14	1918-1990_грех_1413-14	1	3		грех
1700-1916_грех_1410-14	1918-1990_грех_1411-14	2	4		грех
1700-1916_грех_1430-14	1918-1990_грех_1431-14	2	4		грех
1700-1916_грех_1432-14	1918-1990_грех_1433-14	2	3		грех
1700-1916_грех_1414-14	1918-1990_грех_1415-14	2	4		грех
1700-1916_грех_1428-14	1918-1990_грех_1429-14	2	3		грех
1700-1916_грех_1408-14	1918-1990_грех_1409-14	2	4		грех
1700-1916_грех_1416-14	1918-1990_грех_1417-14	2	3		грех
1700-1916_грех_1450-14	1918-1990_грех_1451-14	2	3		грех
1700-1916_грех_1426-14	1918-1990_грех_1427-14	2	4		грех
1700-1916_грех_1418-14	1918-1990_грех_1419-14	2	4		грех
1700-1916_грех_1412-14	1918-1990_грех_1413-14	2	4		грех
1700-1916_грех_1406-14	1918-1990_грех_1407-14	2	4		грех
1700-1916_грех_1422-14	1918-1990_грех_1423-14	2	4		грех
1700-1916_грех_1404-14	1918-1990_грех_1405-14	2	1		грех
1700-1916_грех_1438-14	1918-1990_грех_1439-14	2	4		грех
1700-1916_грех_1402-14	1918-1990_грех_1403-14	2	4		грех
1700-1916_грех_1440-14	1918-1990_грех_1441-14	2	2		грех
1700-1916_грех_1400-14	1918-1990_грех_1401-14	2	2		грех
1700-1916_грех_1436-14	1918-1990_грех_1437-14	2	4		грех
1700-1916_грех_1442-14	1918-1990_грех_1443-14	2	4		грех
1700-1916_грех_1444-14	1918-1990_грех_1445-14	2	4		грех
1700-1916_грех_1398-14	1918-1990_грех_1399-14	2	4		грех
1700-1916_грех_1446-14	1918-1990_грех_1447-14	2	4		грех
1700-1916_грех_1448-14	1918-1990_грех_1449-14	2	3		грех
1700-1916_грех_1396-14	1918-1990_грех_1397-14	2	4		грех
1700-1916_грех_1394-14	1918-1990_грех_1395-14	2	3		грех
1700-1916_грех_1434-14	1918-1990_грех_1435-14	2	4		грех
1700-1916_грех_1420-14	1918-1990_грех_1421-14	2	3		грех
1700-1916_грех_1424-14	1918-1990_грех_1425-14	2	4		грех
1700-1916_грех_1452-14	1918-1990_грех_1453-14	2	3		грех
