lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1590-14		Устроив дела свои во Флоренции, художник пожелал, перед отъездом в Романью на службу к Чезаре Борджа, посетить это селение, где жил старый дядя его, сире Франческо да Винчи, брат отца, разбогатевший на шелковом промысле.	139:143	0:220
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1626-14		-- Слышь, дядя!	10:14	0:15
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1622-14		По смерти старшего дяди, Михаила, владимирцы тотчас присягнули младшему, Всеволоду, и не только ему, но и его детям, значит, установили у себя наследственность княжеской власти в нисходящей линии вопреки очередному порядку и выросшему из него притязанию старших городов выбирать между князьями-совместниками.	19:23	0:308
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1620-14		Он советовал мне последовать приглашению дяди, призывавшего меня к себе.	41:45	0:72
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1602-14		За чаем во все время он не сказал ни слова, не смеялся, когда все смеялись; но я вовсе не заметил в нем никакой "забитости", которую видел в нем дядя; напротив, взгляд его светло-карих глаз выражал решимость и какую-то определенность характера.	145:149	0:244
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1618-14		Он при входе дяди привстал и сел.	13:17	0:33
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1614-14		Дядя Максим был очень встревожен этим случаем.	0:4	0:46
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1572-14		Это и был дядя Алфимыч, он же алхимик, или же, как почтительно произнес половой, Корнилий Потапович.	10:14	0:100
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1574-14		Выйдя замуж за Скавронского на семнадцатом году от роду единственно в угоду своему дяде, князю Таврическому, и не чувствуя ни любви и даже ни малейшего расположения к своему жениху, Екатерина Васильевна безропотно покорилась своей участи.	83:87	0:238
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1630-14		А я уже рассказывала дяде, как видела Алоизия.	21:25	0:46
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1600-14		Она сама, озлобленная на себя и свое сиротство, на свою нелегкую жизнь в доме дяди и тетки, чуждается своих подружек.	78:82	0:117
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1576-14		И хоть по привычке в нитку тянется дядя Федор, понимает -- не к свадьбе дело.	35:39	0:77
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1578-14		Митрофан Александрович Масоедов весьма мало походил на дядю.	55:59	0:60
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1616-14		Взглянув на него, поляки успокоились, веселость возвратилась, и, рады не рады нежданному гостю, усадили, однако ж, его за стол рядом с очень милою дамою, и все беды, все страхи исчезли из головы моего дяди точно так же, как яства с его тарелки, а вино из серебряной стопы, в которую лукавый сосед не уставал подливать беспрестанно.	201:205	0:331
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1604-14		-- Фома! -- вскричал дядя, в исступленном восторге, -- ты виновник нашего счастья!	21:25	0:82
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1582-14		Нежное обращение гораздо надежнее, но дядя мой думал, что крик все приведет в порядок.	38:42	0:86
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1580-14		Обвиняемый в убийстве в запальчивости и раздражении своего дяди крестьянин Царьков сошел на суде с ума.	59:63	0:103
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1584-14		Шутник не видал никакого ястреба; но у молодых казаков на кордоне давно вошло в обычай дразнить и обманывать дядю Ерошку всякий раз, как он приходил к ним.	109:113	0:155
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1612-14		Начало примирения Оба Ивана с неописанным удовольствием исполнили желание добродушного дяди.	87:91	0:92
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1588-14		Всю нашу семью составляли бабка моя осьмидесятилетняя, умная и благочестивая женщина; она была некогда красавица и известна по необычайной кротости нрава; сын ее, а мой дядя, средних лет человек, пригожий, добрый, чувствительный и до несносности капризный, был женат на девице редкой красоты из фамилии Лизогубов, живущих в Чернигове; и, наконец, тетка лет сорока пяти, девица.	169:173	0:377
дядя	NOUN	1700	1700-1916	1700-1916_дядя_1592-14		Таким образом Фадеев участвовал в войне, но только в Черногорской армии; после войны князь Черногорский подарил ему маленькое имение около Антивари, которое дядя впоследствии продал.	157:161	0:182
