lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
железо	NOUN	1700	1700-1916	1700-1916_железо_1632		Результаты этой операции оказались очень хорошими: больные выписывались здоровыми, лишение щитовидной железы (назначение которой в то время было совершенно неизвестно), по-видимому, не вызывало никаких вредных последствий.	102:108	0:222	1632	rushifteval	ru
железо	NOUN	1918	1918-1990	1918-1990_железо_1633		-- Дерево не железо, оно само может пыхнуть.	13:19	0:44	1633	rushifteval	ru
железо	NOUN	1700	1700-1916	1700-1916_железо_1634		Прав ли наш яснополянский пророк, будто никому не нужно лазание под землю за железом, никому не нужны железные дороги, никому не нужны развозимые ими люди и товары Но мы знаем одного знаменитого философа, который, написав о ненужности железных дорог и наконец решившись уйти из мира (или пойти в мир -- до сих пор об этом спорят), прежде всего отправился на станцию железной дороги и купил билеты для себя и для своего спутника.	77:84	0:428	1634	rushifteval	ru
железо	NOUN	1918	1918-1990	1918-1990_железо_1635		Скользя по ней, люди повалились вниз, к левому борту, а вместе с ними покатились обломки дерева, куски железа, ящики, скамейки и другие неприкрепленные предметы.	103:109	0:161	1635	rushifteval	ru
железо	NOUN	1700	1700-1916	1700-1916_железо_1636		Удар куском железа, и человека нет.	12:18	0:35	1636	rushifteval	ru
железо	NOUN	1918	1918-1990	1918-1990_железо_1637		Когда змея открывает рот, на железы надавливают височные мышцы, и яд просачивается из зубов.	29:35	0:92	1637	rushifteval	ru
железо	NOUN	1700	1700-1916	1700-1916_железо_1638		Простыми называют те, которые не имеют ни величины, ни изображения, как, например, душа, а сложными -- которые имеют величину и изображение, как, например, дерево, железо.	164:170	0:171	1638	rushifteval	ru
железо	NOUN	1918	1918-1990	1918-1990_железо_1639		Пожарники говорят, что, если бы дверь в квартиру Кравченко не оказалась обитой железом, а была бы деревянной, как обычные двери во всем доме, все здание бы сгорело на хуй.	79:86	0:171	1639	rushifteval	ru
железо	NOUN	1700	1700-1916	1700-1916_железо_1640		Мы будем несколько раз применять вертушку, не сопровождая ее едой, при помощи которой она стала действительным раздражителем слюнной железы.	133:139	0:140	1640	rushifteval	ru
железо	NOUN	1918	1918-1990	1918-1990_железо_1641		Не успел получить назначение в какую-то комиссию по учету железа, как его опередило новое решение майора Скоркина о направлении меня начальником рабочей силы, но и там побыл недолго.	58:64	0:182	1641	rushifteval	ru
железо	NOUN	1700	1700-1916	1700-1916_железо_1642		Все равно отсюда не убежишь, а работать в железах неспособно.	42:49	0:61	1642	rushifteval	ru
железо	NOUN	1918	1918-1990	1918-1990_железо_1643		Но когда вспомнишь, что на эти камни давят 100 атм и они накалены до температуры красного каления железа, что вокруг нет ни капельки воды, ни малейших следов жизни, желание прогуляться по Венере пропадает.	98:104	0:205	1643	rushifteval	ru
железо	NOUN	1700	1700-1916	1700-1916_железо_1644		Познакомились с Мосием -- дюжим, мускулистым и закопченным мужиком, стучавшим молотом по раскаленному железу.	102:108	0:109	1644	rushifteval	ru
железо	NOUN	1918	1918-1990	1918-1990_железо_1645		Корабли, погромыхивая железом якорей, теснились из бухты в голубое, начавшее у берега зеленеть.	22:29	0:95	1645	rushifteval	ru
железо	NOUN	1700	1700-1916	1700-1916_железо_1646		"-- Эх, Максим Петрович, или ты не знаешь русской пословицы: ""Куй железо, пока горячо"" Чего тут мешкать Дальше в лес, больше дров."	67:73	0:129	1646	rushifteval	ru
железо	NOUN	1918	1918-1990	1918-1990_железо_1647		Вызвав Горация, я сговорился с ним, узнав, что обед будет несколько раньше часа, потому что близок Дагон, где, как известно, Гез должен погрузить железо.	146:152	0:153	1647	rushifteval	ru
железо	NOUN	1700	1700-1916	1700-1916_железо_1648		Там, в Малой Азии, эллин познакомился впервые с тем металлом, который отныне занял первое место в его работе, -- с железом, металлом плуга и металлом меча.	115:122	0:155	1648	rushifteval	ru
железо	NOUN	1918	1918-1990	1918-1990_железо_1649		Реальность сквозь предстательную железу.	33:39	0:40	1649	rushifteval	ru
железо	NOUN	1700	1700-1916	1700-1916_железо_1650		И в то время, когда дядя Петр расправлялся с своей непутевой дочерью, в подвалы и в нижние этажи к мастеровым забирались многоразличные личности и торопливыми голосами людей, безотлагательно куда-то поспешающих, громко спрашивали: -- Послушайте, скажите, пожалуйста, где живет студент Клокачов Немец-слесарь, которому был предложен этот вопрос и который с утра выслушал уже таких вопросов бесчисленное количество, на минуту прекратил визжание железа, опиливаемого английским терпугом, с досадой бросил его на верстак и, злобно выпучивши на гостя слезливые глаза, крикнул: -- Я разве вам дворник Чтобы черт побрал все!	443:449	0:617	1650	rushifteval	ru
железо	NOUN	1918	1918-1990	1918-1990_железо_1651		Дом был покосившийся, с высоким крыльцом, с дымовой трубой, половина кирпичей которой обвалилась, а железо, когда топилась печь, раскалялось, в темноте светилось красным, и Пестеревы каждый день ждали пожара.	100:106	0:208	1651	rushifteval	ru
железо	NOUN	1700	1700-1916	1700-1916_железо_1652		И вот, если вы проникнетесь этими истинами и приложите их к самим себе, то вы увидите, какую массу явлений вашей деятельности захватывают эти два механизма, с которыми мы познакомились при изучении работы слюнной железы.	213:219	0:220	1652	rushifteval	ru
железо	NOUN	1918	1918-1990	1918-1990_железо_1653		"""Десять лет, -- говорил Гамулецкий, -- я трудился, чтобы найти точку и вес магнита и железа, дабы удержать ангела в воздухе."	87:93	0:124	1653	rushifteval	ru
