lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
жесть	NOUN	1700	1700-1916	1700-1916_жесть_1692		Во внутренних комнатах царила мертвая тишина; только по временам раздавался печальный крик какаду, несчастный опыт его, картавя, повторить человеческое слово, костяной звук его клюва об жердочку, покрытую жестью, да противное хныканье небольшой обезьяны, старой, осунувшейся, чахоточной, жившей в зале на небольшом выступе изразцовой печи.	205:211	0:339	1692	rushifteval	ru
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1693		То было первое ружьишко, которое дали мне подержать в руках, чиненое-перечиненое, на ложе гвоздями жесть прибита, курок отпадает.	99:104	0:129	1693	rushifteval	ru
жесть	NOUN	1700	1700-1916	1700-1916_жесть_1694		Звонок брякнул слабо, как будто был сделан из жести, а не из меди.	46:51	0:66	1694	rushifteval	ru
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1695		Эта дверь никак не походила на другие, что знавал Бим: она обита жестью, местами уже с острыми рваными пятнами.	65:71	0:111	1695	rushifteval	ru
жесть	NOUN	1700	1700-1916	1700-1916_жесть_1696		Круглые облака опалового цвета, с белыми сверкающими краями, как бы выкованными из светлой жести, почти недвижно стояли в небе, открывая глубокие темно-голубые просветы.	91:96	0:169	1696	rushifteval	ru
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1697		Вероятно, металлом этим была жесть.	29:34	0:35	1697	rushifteval	ru
жесть	NOUN	1700	1700-1916	1700-1916_жесть_1698		Огромные железные ворота, с изображением из жести двух архангелов, были почти всегда заперты и входили в небольшую калиточку.	44:49	0:125	1698	rushifteval	ru
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1699		На верху его была укреплена пятиконечная звезда, вырезанная из жести.	63:68	0:69	1699	rushifteval	ru
жесть	NOUN	1700	1700-1916	1700-1916_жесть_1700		Фольгой называлась жесть самой тонкой прокатки, окрашиваемая в разные цвета.	19:24	0:76	1700	rushifteval	ru
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1701		Разыгрался ветер, рвал остатки жести на крыше, шумел, колотил в стены, подвывал собачьими голосами.	31:36	0:99	1701	rushifteval	ru
жесть	NOUN	1700	1700-1916	1700-1916_жесть_1702		Она была особенно успокоительна тем, что вырезанная из жести пряничная лошадка, состоявшая в должности дракона и посаженная на шпице, беспрестанно вертелась, издавая какой-то жалобный вопль, располагавший к мечтам и подтверждавший, что ветер, который снес на левую сторону шляпу, действительно дует с правой стороны; сверх дракона, между колоннами были приделаны нечесаные и пресердитые львиные головы из алебастра, растрескавшиеся от дождя и всегда готовые уронить на череп входящему свое ухо или свой нос.	55:60	0:507	1702	rushifteval	ru
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1703		Права и обязанности новичка А я обучался азбуке с вывесок, листая страницы железа и жести.	84:89	0:90	1703	rushifteval	ru
жесть	NOUN	1700	1700-1916	1700-1916_жесть_1704		"Казакам приказано было иметь шапки без этишкетов с общеармейским гербом из белой жести, имеющим спереди в щите медную букву ""А"" и с отличием ""За Варшаву"" поверх герба."	81:86	0:167	1704	rushifteval	ru
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1705		Кустари-ёкальщики, чье искусство передается длинной цепью поколений, привычны к слаживанию из гирь узорных стрел и из иззубленной жести базарных ходиков, кое-как ковыляющих вслед за временем.	130:135	0:191	1705	rushifteval	ru
жесть	NOUN	1700	1700-1916	1700-1916_жесть_1706		Пол в обеих устлан циновками (гасиль); в частых нишах, без окон, стояли сундуки, обитые жестью, и на них наложены перины, одеяла и вся рухлядь.	88:94	0:143	1706	rushifteval	ru
