identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_издательство_1896-14	1918-1990_издательство_1897-14	0	4		издательство
1700-1916_издательство_1902-14	1918-1990_издательство_1903-14	0	4		издательство
1700-1916_издательство_1926-14	1918-1990_издательство_1927-14	0	4		издательство
1700-1916_издательство_1886-14	1918-1990_издательство_1887-14	0	4		издательство
1700-1916_издательство_1930-14	1918-1990_издательство_1931-14	0	4		издательство
1700-1916_издательство_1928-14	1918-1990_издательство_1929-14	0	4		издательство
1700-1916_издательство_1874-14	1918-1990_издательство_1875-14	0	4		издательство
1700-1916_издательство_1918-14	1918-1990_издательство_1919-14	0	4		издательство
1700-1916_издательство_1904-14	1918-1990_издательство_1905-14	0	4		издательство
1700-1916_издательство_1878-14	1918-1990_издательство_1879-14	0	4		издательство
1700-1916_издательство_1872-14	1918-1990_издательство_1873-14	0	2		издательство
1700-1916_издательство_1922-14	1918-1990_издательство_1923-14	0	1		издательство
1700-1916_издательство_1880-14	1918-1990_издательство_1881-14	0	4		издательство
1700-1916_издательство_1920-14	1918-1990_издательство_1921-14	0	4		издательство
1700-1916_издательство_1882-14	1918-1990_издательство_1883-14	0	4		издательство
1700-1916_издательство_1876-14	1918-1990_издательство_1877-14	0	4		издательство
1700-1916_издательство_1924-14	1918-1990_издательство_1925-14	0	4		издательство
1700-1916_издательство_1884-14	1918-1990_издательство_1885-14	0	4		издательство
1700-1916_издательство_1912-14	1918-1990_издательство_1913-14	0	2		издательство
1700-1916_издательство_1906-14	1918-1990_издательство_1907-14	0	4		издательство
1700-1916_издательство_1898-14	1918-1990_издательство_1899-14	0	4		издательство
1700-1916_издательство_1914-14	1918-1990_издательство_1915-14	0	4		издательство
1700-1916_издательство_1888-14	1918-1990_издательство_1889-14	0	4		издательство
1700-1916_издательство_1908-14	1918-1990_издательство_1909-14	0	4		издательство
1700-1916_издательство_1916-14	1918-1990_издательство_1917-14	0	4		издательство
1700-1916_издательство_1892-14	1918-1990_издательство_1893-14	0	1		издательство
1700-1916_издательство_1910-14	1918-1990_издательство_1911-14	0	4		издательство
1700-1916_издательство_1894-14	1918-1990_издательство_1895-14	0	4		издательство
1700-1916_издательство_1890-14	1918-1990_издательство_1891-14	0	4		издательство
1700-1916_издательство_1900-14	1918-1990_издательство_1901-14	0	4		издательство
1700-1916_издательство_1922-14	1918-1990_издательство_1923-14	1	4		издательство
1700-1916_издательство_1916-14	1918-1990_издательство_1917-14	1	4		издательство
1700-1916_издательство_1904-14	1918-1990_издательство_1905-14	1	4		издательство
1700-1916_издательство_1914-14	1918-1990_издательство_1915-14	1	4		издательство
1700-1916_издательство_1920-14	1918-1990_издательство_1921-14	1	3		издательство
1700-1916_издательство_1910-14	1918-1990_издательство_1911-14	1	4		издательство
1700-1916_издательство_1918-14	1918-1990_издательство_1919-14	1	3		издательство
1700-1916_издательство_1926-14	1918-1990_издательство_1927-14	1	4		издательство
1700-1916_издательство_1908-14	1918-1990_издательство_1909-14	1	4		издательство
1700-1916_издательство_1930-14	1918-1990_издательство_1931-14	1	4		издательство
1700-1916_издательство_1906-14	1918-1990_издательство_1907-14	1	1		издательство
1700-1916_издательство_1886-14	1918-1990_издательство_1887-14	1	4		издательство
1700-1916_издательство_1924-14	1918-1990_издательство_1925-14	1	4		издательство
1700-1916_издательство_1928-14	1918-1990_издательство_1929-14	1	4		издательство
1700-1916_издательство_1884-14	1918-1990_издательство_1885-14	1	1		издательство
1700-1916_издательство_1912-14	1918-1990_издательство_1913-14	1	4		издательство
1700-1916_издательство_1898-14	1918-1990_издательство_1899-14	1	4		издательство
1700-1916_издательство_1902-14	1918-1990_издательство_1903-14	1	3		издательство
1700-1916_издательство_1872-14	1918-1990_издательство_1873-14	1	4		издательство
1700-1916_издательство_1874-14	1918-1990_издательство_1875-14	1	2		издательство
1700-1916_издательство_1896-14	1918-1990_издательство_1897-14	1	4		издательство
1700-1916_издательство_1876-14	1918-1990_издательство_1877-14	1	4		издательство
1700-1916_издательство_1892-14	1918-1990_издательство_1893-14	1	2		издательство
1700-1916_издательство_1878-14	1918-1990_издательство_1879-14	1	4		издательство
1700-1916_издательство_1894-14	1918-1990_издательство_1895-14	1	4		издательство
1700-1916_издательство_1880-14	1918-1990_издательство_1881-14	1	1		издательство
1700-1916_издательство_1890-14	1918-1990_издательство_1891-14	1	4		издательство
1700-1916_издательство_1882-14	1918-1990_издательство_1883-14	1	4		издательство
1700-1916_издательство_1888-14	1918-1990_издательство_1889-14	1	4		издательство
1700-1916_издательство_1900-14	1918-1990_издательство_1901-14	1	4		издательство
1700-1916_издательство_1890-14	1918-1990_издательство_1891-14	2	4		издательство
1700-1916_издательство_1898-14	1918-1990_издательство_1899-14	2	4		издательство
1700-1916_издательство_1916-14	1918-1990_издательство_1917-14	2	4		издательство
1700-1916_издательство_1894-14	1918-1990_издательство_1895-14	2	4		издательство
1700-1916_издательство_1914-14	1918-1990_издательство_1915-14	2	4		издательство
1700-1916_издательство_1906-14	1918-1990_издательство_1907-14	2	4		издательство
1700-1916_издательство_1896-14	1918-1990_издательство_1897-14	2	4		издательство
1700-1916_издательство_1888-14	1918-1990_издательство_1889-14	2	3		издательство
1700-1916_издательство_1912-14	1918-1990_издательство_1913-14	2	4		издательство
1700-1916_издательство_1904-14	1918-1990_издательство_1905-14	2	4		издательство
1700-1916_издательство_1908-14	1918-1990_издательство_1909-14	2	4		издательство
1700-1916_издательство_1884-14	1918-1990_издательство_1885-14	2	1		издательство
1700-1916_издательство_1886-14	1918-1990_издательство_1887-14	2	4		издательство
1700-1916_издательство_1882-14	1918-1990_издательство_1883-14	2	3		издательство
1700-1916_издательство_1902-14	1918-1990_издательство_1903-14	2	4		издательство
1700-1916_издательство_1892-14	1918-1990_издательство_1893-14	2	2		издательство
1700-1916_издательство_1918-14	1918-1990_издательство_1919-14	2	3		издательство
1700-1916_издательство_1880-14	1918-1990_издательство_1881-14	2	1		издательство
1700-1916_издательство_1920-14	1918-1990_издательство_1921-14	2	4		издательство
1700-1916_издательство_1878-14	1918-1990_издательство_1879-14	2	4		издательство
1700-1916_издательство_1922-14	1918-1990_издательство_1923-14	2	1		издательство
1700-1916_издательство_1876-14	1918-1990_издательство_1877-14	2	4		издательство
1700-1916_издательство_1924-14	1918-1990_издательство_1925-14	2	3		издательство
1700-1916_издательство_1874-14	1918-1990_издательство_1875-14	2	4		издательство
1700-1916_издательство_1926-14	1918-1990_издательство_1927-14	2	4		издательство
1700-1916_издательство_1872-14	1918-1990_издательство_1873-14	2	3		издательство
1700-1916_издательство_1930-14	1918-1990_издательство_1931-14	2	4		издательство
1700-1916_издательство_1910-14	1918-1990_издательство_1911-14	2	4		издательство
1700-1916_издательство_1900-14	1918-1990_издательство_1901-14	2	4		издательство
1700-1916_издательство_1928-14	1918-1990_издательство_1929-14	2	4		издательство
