lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1932		"На юге Франции раньше Парижа распространился вкус к итальянской комедии, по большей части драматизированным рассказам Боккаччо и других новеллистов, и если ""Фиваиду"" Мольера можно рассматривать как отголосок ложного классицизма, царившего на парижских сценах, то источник его фарсов нужно искать в репертуаре итальянцев."	312:322	0:320	1932	rushifteval	ru
итальянец	NOUN	1918	1918-1990	1918-1990_итальянец_1933		"В сущности, это перелицованные на свой лад взгляды Монтескье из его книги ""Дух законов"" и восхитившие Екатерину мысли итальянца Беккария в только что вышедшей его книге ""О преступлениях и наказаниях""."	121:130	0:200	1933	rushifteval	ru
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1934		Я же полагаю, что все дело в том, что итальянцы ленивы.	38:47	0:55	1934	rushifteval	ru
итальянец	NOUN	1918	1918-1990	1918-1990_итальянец_1935		"Суть же эта, по крайней мере наполовину, выражается в том, что Европа морально ""наша"", с том же смысле, как она для англичан, итальянцев, немцев, французов ""ихняя""."	129:139	0:164	1935	rushifteval	ru
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1936		Права, которые предъявили бы на Константинополь наследники того имени, которое носила Восточная империя, принадлежат поэтому к совершенно особому разряду так называемых исторических прав, по которым поляки требуют себе Белоруссии, Волыни, Подолии, Галича, даже Киева и Смоленска; мадьяры хотят преобладать над словаками, русскими, хорватами, сербами, румынами, живущими в пределах земель венгерской короны; по которым итальянцы, во имя прав Древнего Рима, могли бы требовать владычества над Францией, Англией, Испанией, Северной Африкой и т. д.	418:427	0:544	1936	rushifteval	ru
итальянец	NOUN	1918	1918-1990	1918-1990_итальянец_1937		-- Хочу писать книгу, Дуче, о двух великих итальянцах: о вас и о Данте.	43:53	0:71	1937	rushifteval	ru
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1938		Я принесла ему адрес, оставленный мне итальянцем.	38:48	0:49	1938	rushifteval	ru
итальянец	NOUN	1918	1918-1990	1918-1990_итальянец_1939		У него великолепный оператор-итальянец (снимал все фильмы Бертолуччи), он заставляет камеру всё время двигаться, что придает кадру необыкновенную подвижность и жизнь.	29:38	0:166	1939	rushifteval	ru
итальянец	NOUN	1700	1700-1916	1700-1916_итальянец_1940		Дофин полюбил угодливого итальянца и не мог достаточно нахвалиться его усердием.	25:34	0:80	1940	rushifteval	ru
итальянец	NOUN	1918	1918-1990	1918-1990_итальянец_1941		Пусть я единственный итальянец в армии русского народа, но это ничего, синьор.	21:30	0:78	1941	rushifteval	ru
