identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_кабан_2030-14	1918-1990_кабан_2031-14	0	4		кабан
1700-1916_кабан_2050-14	1918-1990_кабан_2051-14	0	4		кабан
1700-1916_кабан_2048-14	1918-1990_кабан_2049-14	0	4		кабан
1700-1916_кабан_2046-14	1918-1990_кабан_2047-14	0	4		кабан
1700-1916_кабан_2040-14	1918-1990_кабан_2041-14	0	1		кабан
1700-1916_кабан_2044-14	1918-1990_кабан_2045-14	0	3		кабан
1700-1916_кабан_2014-14	1918-1990_кабан_2015-14	0	4		кабан
1700-1916_кабан_2018-14	1918-1990_кабан_2019-14	0	4		кабан
1700-1916_кабан_2002-14	1918-1990_кабан_2003-14	0	4		кабан
1700-1916_кабан_2000-14	1918-1990_кабан_2001-14	0	1		кабан
1700-1916_кабан_1998-14	1918-1990_кабан_1999-14	0	2		кабан
1700-1916_кабан_1996-14	1918-1990_кабан_1997-14	0	4		кабан
1700-1916_кабан_1994-14	1918-1990_кабан_1995-14	0	4		кабан
1700-1916_кабан_2004-14	1918-1990_кабан_2005-14	0	4		кабан
1700-1916_кабан_1992-14	1918-1990_кабан_1993-14	0	4		кабан
1700-1916_кабан_2016-14	1918-1990_кабан_2017-14	0	4		кабан
1700-1916_кабан_2012-14	1918-1990_кабан_2013-14	0	4		кабан
1700-1916_кабан_2010-14	1918-1990_кабан_2011-14	0	4		кабан
1700-1916_кабан_2008-14	1918-1990_кабан_2009-14	0	4		кабан
1700-1916_кабан_2006-14	1918-1990_кабан_2007-14	0	3		кабан
1700-1916_кабан_2036-14	1918-1990_кабан_2037-14	0	4		кабан
1700-1916_кабан_2042-14	1918-1990_кабан_2043-14	0	4		кабан
1700-1916_кабан_2038-14	1918-1990_кабан_2039-14	0	4		кабан
1700-1916_кабан_2024-14	1918-1990_кабан_2025-14	0	4		кабан
1700-1916_кабан_2028-14	1918-1990_кабан_2029-14	0	4		кабан
1700-1916_кабан_2026-14	1918-1990_кабан_2027-14	0	4		кабан
