lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
крыша	NOUN	1700	1700-1916	1700-1916_крыша_2172		Они сыпали их в закрома с хлебом; клали в горшки и закапывали их в разные места в землю; затыкали в соломенные и камышовые крыши домов и сараев; секретно от других домашних долбили и сверлили сохи, лестницы и бревна, валявшиеся на дворе, клали туда деньги и забывали; запихивали их в бараньи и бычачьи рога и бросали эти рога валяться среди двора как ни в чем не бывало.	123:128	0:370	2172	rushifteval	ru
крыша	NOUN	1918	1918-1990	1918-1990_крыша_2173		"Я их еще ни разу не надевал..."" Командный пункт размещался в центре деревни в кокетливом деревянном домишке под железной крышей."	123:129	0:128	2173	rushifteval	ru
крыша	NOUN	1700	1700-1916	1700-1916_крыша_2174		Земля, сады, вся та высокая, раскидистая растительность, что зеленела и цвела над бунгалоу, над их меловыми крышами и над старыми черными лавками, пресытили воздух теплом и благовонием, -- лишь дождевые деревья туго свернули свои листья-чашечки.	108:115	0:245	2174	rushifteval	ru
крыша	NOUN	1918	1918-1990	1918-1990_крыша_2175		"Театр живет на лестнице и под самой крышей ДК ""Текстильщик"", четырнадцать маршей вверх, не сбивая дыхания, -- в крохотном зале, куда набилось столько же народа, сколько было бы вполне уместно для пустующих вокруг больших и нормальных."	37:43	0:234	2175	rushifteval	ru
крыша	NOUN	1700	1700-1916	1700-1916_крыша_2176		Обрадованный, что перестал, наконец, дождик, он с помощью сына с утра еще выкатил две пустые кадки; они служили старику козлами для подмосток; приставленные к наружной стене избы и устланные досками, кадки давали Карпу возможность достать рукою почти до крыши.	254:259	0:260	2176	rushifteval	ru
крыша	NOUN	1918	1918-1990	1918-1990_крыша_2177		И в то время как я усаживал гостя за стол, к окну, угощал его кофе, снабжал газетами и журналами, чтобы он не скучал, пока я стану читать -- но ему, как в первые часы всем приезжающим в этом городе, было не до газет, и он, высунувшись в окно, жадно смотрел на улицу, крыши, на блистание Роны вдали, я вспоминал наши встречи с Желябовым.	267:272	0:336	2177	rushifteval	ru
крыша	NOUN	1700	1700-1916	1700-1916_крыша_2178		Жить под одной крышей с Анной Федоровной и Матреной и не иметь никакого понятия о том, что делалось у соседей, было совершенно невозможно.	15:21	0:138	2178	rushifteval	ru
крыша	NOUN	1918	1918-1990	1918-1990_крыша_2179		На следующих станциях новой толпой мешочников, занявших сходни и даже крышу, втиснуты были в вагон, где уже трудно было дышать и приходилось ехать стоя.	70:75	0:152	2179	rushifteval	ru
крыша	NOUN	1700	1700-1916	1700-1916_крыша_2180		Но там, среди холмов, где белели крыши Цезарей, как пена на морских волнах, -- крест, маленький блестящий крест над базиликой, мешал ему.	33:38	0:137	2180	rushifteval	ru
крыша	NOUN	1918	1918-1990	1918-1990_крыша_2181		Внизу медленно плыли навстречу рыбные пастбища, плантации водорослей, поля планктона, поблескивали окна одиноких ферм, крыши заводов, служившие посадочными площадками; локатор нащупал поселок, на экране мелькнула только одна из его улиц, проложенных на бетонных столбах, два дома -- белый и кремовый -- с широкими верандами, стайка мальчишек и девчонок в разноцветных трусиках, стремительно пролетевшая над улицей верхом на аэрогиппи.	119:124	0:434	2181	rushifteval	ru
крыша	NOUN	1700	1700-1916	1700-1916_крыша_2182		Другие домы, более скромной наружности, выбегали, однако ж, по вызову правительства на большую прешпективу и своими новенькими, черепичными или гонтовыми крышами свидетельствовали, что и они достойны показаться в большом свете и стать в указанную линию.	154:161	0:253	2182	rushifteval	ru
