lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2230-14		Когда мы очутились за кулисами, репетиция только что кончилась, и артисты спешили со сцены: в темноте мне никого не привелось рассмотреть.	22:30	0:138
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2286-14		Во все продолжение спектакля он обыкновенно глядел из-за кулис на свои произведения с каким-то родительским удовольствием и, не слушая ни одного слова из пьесы, следил с трепетным вниманием за всеми движениями актера: не сомнет ли он завитый с любовью локон, не расстроит ли он неосторожно стройную гармонию парика.	57:62	0:315
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2288-14		Нередко полиция принуждена бывала унимать подобные восторги, и часто в самых кулисах присматривал пристав, чтоб кто из актеров не выкушал лишней рюмки хмельного и не расстроил комедии.	77:84	0:184
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2262-14		Когда мы, наконец, выбились из ворот и, выехав на более покойное место, взглянули на Ульдор-Кырта, то поражены были следующею картиною: начиная с самого узкого места каждый пласт известняка в воротах отходил в сторону далее предшествующего ему, отчего ворота кажутся устроенными как бы из натуральных кулис.	301:306	0:307
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2260-14		(Широкое движение, уловимое лишь для знающего все кулисы и мобили).	50:56	0:67
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2232-14		Плотников, уронивших кулису, послали на конюшню наказывать, а больную отнесли в ее каморку, но роли герцогини де Бурблян играть было некому.	21:27	0:140
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2234-14		Розанцев начал свой комический английский па под названием horn-pippe и публика, потеряв всякое воздержание, разразилась единодушным восторженным браво, от которого дрогнули самые стены театра, гнев окончательно обуял композитора; даже режиссер Горковенко и еще несколько человек, одетых испанскими грандами, стоявшие поблизости, попрятались в самые темные углы кулис.	362:367	0:368
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2236-14		Отчаянно играя новые роли в пьесах Островского, он в антрактах ловил в кулисах кого-нибудь из неучаствующих в спектакле молодых актеров и задавал им такие вопросы: -- Смотрите, юноша, пьесу -- Да, смотрю.	71:78	0:204
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2238-14		Придя в театр очень рано, я отправился на сцену и застал там одного только Михаила Семеновича, который за целый час до увертюры, уже совсем одетый и загримированный для роли, расхаживал взад и вперед от кулисы к кулисе и что-то озабоченно бормотал про себя.	203:209	0:257
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2240-14		Около кулис Выступление русских артистов на заграничных сценах сделалось трафаретным приемом подносить современному читателю как победу русского искусства и таланта наших сценических деятелей, как нечто никогда не бывалое и не случавшееся.	6:11	0:239
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2242-14		Тарантелла кончилась под гром аплодисментов. Maman дала знак, и все шесть девочек скрылись за кулисами и через минуту стояли перед нею с блестящими от удовольствия глазами и зарумянившимися лицами.	94:102	0:197
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2244-14		Для нее, собственно, даже и в путях-то новых нет надобности, потому что она свое ложе уже облюбовала и разлилась в нем со всеми удобствами; потому что неудобства, происходящие от старых, рутинных путей, которым она следует, падают всею своею тяжестью не на нее, жизнь веселую и спокойно текущую, а на другую, на ту, которая все стучится и достучаться не может, на ту, которая работает да работает себе за кулисами.	405:413	0:414
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2246-14		Он набрасывался на них за кулисами, как коршун: кого схватит за волосы и теребит, кого за ухо, а если кто увертывался от него, то давал ногой пинки, так что девочка или мальчик отлетали далеко.	26:34	0:193
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2258-14		Француженки были все на содержании или искали содержателей, обнаруживая при этом изумительные таланты, не столько на сцене, сколько за кулисами, умением вскружить головы всем, кто, так или иначе, попадал в их набеленные ручки.	135:143	0:226
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2256-14		За кулисами ничего у меня нет: все наружу.	3:11	0:42
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2254-14		Наконец, за кулисы явилась сама maman и убедила Марту показаться в зале, на том простом основании, что генеральская дочь должна быть выше толпы и тем более актерской.	12:18	0:166
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2250-14		Князь Шаховской очень смеялся, Катерина Ивановна еще больше; но результат моей болтовни был для меня неожиданно счастлив: с величайшим добродушием князь предложил мне ходить во все театры, отныне навсегда, бесплатно в его кресла, которые он сам никогда не занимает, находясь всегда за кулисами.	285:293	0:294
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2248-14		Он провел Илью за кулисы и без дальних слов предложил ему заняться изображением декорации какой-то итальянской виллы.	18:24	0:117
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2284-14		Когда государь бывал на сцене, -- за кулисами водворялась полнейшая тишина, по сцене никто не ходил, везде стояли чиновники, наблюдая, чтобы кто-нибудь по нечаянности не выскочил на сцену.	37:45	0:188
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2282-14		Но ведь все это... за кулисами.	22:30	0:31
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2252-14		И он постоянно убеждал Щеглова: "Бросьте вы театр и кулисы.	52:58	0:59
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2276-14		Не разглядев пустоты и мертвенности, которая царит в мирных нравах, Никитич решил прямо стать за кулисы этой жизни, и первый шаг к этому -- женитьба.	97:103	0:149
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2272-14		В самый разгар моей страсти наступил великий пост; спектакли прекратились; возможность встречаться за кулисами исчезла.	102:110	0:119
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2268-14		Влекомая неотразимым соблазном пестрого мира кулис, она выпорхнула из золотой, но все-таки клетки, развелась с маркизом де-Ко и вышла за певца Николини.	45:50	0:152
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2274-14		За кулисами очень скоро сделалось это известно.	3:11	0:47
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2266-14		Существовала просто кучка негодующих, людей более или менее влиятельных, снующих более или менее язвительно за кулисами общественной жизни -- одним словом, тех господ, раздражать которых не всегда удобно для газеты, а потому Вильмесан счел за лучшее прекратить печатание "Салона".	111:119	0:280
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2270-14		Богатырь в пояс поклонился публике, потом выпрямился, растопырив руки, и завопил своим оригинальным, режущим слух голосом: Грянули дружные аплодисменты, а "Илья Муромец" пятился задом за кулисы, грациозно, как будто всю жизнь свою пожинал лавры на сцене.	187:193	0:254
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2264-14		Пройдем за кулисы.	11:17	0:18
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2280-14		Сначала происходили неизбежные объяснения любовников; какая-то тощая госпожа преизрядно передавала смирному и безответному клеврету свои чувства; клеврет слушал совершенно равнодушно и только ждал случая, чтоб дать тягу за кулисы.	223:229	0:230
кулиса	NOUN	1700	1700-1916	1700-1916_кулиса_2278-14		В нынешнем году у нас только что отстроили постоянную сцену, совсем как следует, с кулисами, занавесью и декорациями.	83:91	0:117
кулиса	NOUN	1918	1918-1990	1918-1990_кулиса_2251-14		Уставший, он стоял за кулисами, прислонившись к стене.	22:30	0:54
кулиса	NOUN	1918	1918-1990	1918-1990_кулиса_2265-14		Онъ придумывалъ для него все новыя названя,-- либо дловыя: "Кулуары", "Въ кулуарахъ", либо боле шутливыя: "Слухи и шопоты", "За кулисами".	128:136	0:138
кулиса	NOUN	1918	1918-1990	1918-1990_кулиса_2253-14		Следивший из-за кулис за спектаклем Владимир Иванович подозвал одного из свободных статистов и попросил его заменить отсутствующего.	16:21	0:132
