identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_локоть_2482-14	1918-1990_локоть_2483-14	0	4		локоть
1700-1916_локоть_2474-14	1918-1990_локоть_2475-14	0	1		локоть
1700-1916_локоть_2476-14	1918-1990_локоть_2477-14	0	1		локоть
1700-1916_локоть_2486-14	1918-1990_локоть_2487-14	0	4		локоть
1700-1916_локоть_2480-14	1918-1990_локоть_2481-14	0	4		локоть
1700-1916_локоть_2484-14	1918-1990_локоть_2485-14	0	3		локоть
1700-1916_локоть_2478-14	1918-1990_локоть_2479-14	0	4		локоть
1700-1916_локоть_2504-14	1918-1990_локоть_2505-14	0	4		локоть
1700-1916_локоть_2520-14	1918-1990_локоть_2521-14	0	4		локоть
1700-1916_локоть_2472-14	1918-1990_локоть_2473-14	0	4		локоть
1700-1916_локоть_2522-14	1918-1990_локоть_2523-14	0	4		локоть
1700-1916_локоть_2526-14	1918-1990_локоть_2527-14	0	4		локоть
1700-1916_локоть_2528-14	1918-1990_локоть_2529-14	0	4		локоть
1700-1916_локоть_2518-14	1918-1990_локоть_2519-14	0	4		локоть
1700-1916_локоть_2506-14	1918-1990_локоть_2507-14	0	4		локоть
1700-1916_локоть_2510-14	1918-1990_локоть_2511-14	0	4		локоть
1700-1916_локоть_2508-14	1918-1990_локоть_2509-14	0	4		локоть
1700-1916_локоть_2512-14	1918-1990_локоть_2513-14	0	1		локоть
1700-1916_локоть_2514-14	1918-1990_локоть_2515-14	0	1		локоть
1700-1916_локоть_2524-14	1918-1990_локоть_2525-14	0	3		локоть
1700-1916_локоть_2470-14	1918-1990_локоть_2471-14	0	4		локоть
1700-1916_локоть_2516-14	1918-1990_локоть_2517-14	0	1		локоть
1700-1916_локоть_2496-14	1918-1990_локоть_2497-14	0	4		локоть
1700-1916_локоть_2488-14	1918-1990_локоть_2489-14	0	4		локоть
1700-1916_локоть_2502-14	1918-1990_локоть_2503-14	0	4		локоть
1700-1916_локоть_2494-14	1918-1990_локоть_2495-14	0	1		локоть
1700-1916_локоть_2490-14	1918-1990_локоть_2491-14	0	4		локоть
1700-1916_локоть_2500-14	1918-1990_локоть_2501-14	0	4		локоть
1700-1916_локоть_2498-14	1918-1990_локоть_2499-14	0	4		локоть
1700-1916_локоть_2492-14	1918-1990_локоть_2493-14	0	4		локоть
1700-1916_локоть_2498-14	1918-1990_локоть_2499-14	1	4		локоть
1700-1916_локоть_2522-14	1918-1990_локоть_2523-14	1	4		локоть
1700-1916_локоть_2518-14	1918-1990_локоть_2519-14	1	4		локоть
1700-1916_локоть_2492-14	1918-1990_локоть_2493-14	1	3		локоть
1700-1916_локоть_2526-14	1918-1990_локоть_2527-14	1	4		локоть
1700-1916_локоть_2504-14	1918-1990_локоть_2505-14	1	4		локоть
1700-1916_локоть_2502-14	1918-1990_локоть_2503-14	1	4		локоть
1700-1916_локоть_2494-14	1918-1990_локоть_2495-14	1	1		локоть
1700-1916_локоть_2516-14	1918-1990_локоть_2517-14	1	1		локоть
1700-1916_локоть_2506-14	1918-1990_локоть_2507-14	1	4		локоть
1700-1916_локоть_2490-14	1918-1990_локоть_2491-14	1	3		локоть
1700-1916_локоть_2508-14	1918-1990_локоть_2509-14	1	4		локоть
1700-1916_локоть_2510-14	1918-1990_локоть_2511-14	1	4		локоть
1700-1916_локоть_2488-14	1918-1990_локоть_2489-14	1	4		локоть
1700-1916_локоть_2512-14	1918-1990_локоть_2513-14	1	1		локоть
1700-1916_локоть_2514-14	1918-1990_локоть_2515-14	1	1		локоть
1700-1916_локоть_2528-14	1918-1990_локоть_2529-14	1	4		локоть
1700-1916_локоть_2524-14	1918-1990_локоть_2525-14	1	1		локоть
1700-1916_локоть_2520-14	1918-1990_локоть_2521-14	1	4		локоть
1700-1916_локоть_2496-14	1918-1990_локоть_2497-14	1	4		локоть
1700-1916_локоть_2486-14	1918-1990_локоть_2487-14	1	3		локоть
1700-1916_локоть_2500-14	1918-1990_локоть_2501-14	1	4		локоть
1700-1916_локоть_2472-14	1918-1990_локоть_2473-14	1	4		локоть
1700-1916_локоть_2474-14	1918-1990_локоть_2475-14	1	4		локоть
1700-1916_локоть_2484-14	1918-1990_локоть_2485-14	1	4		локоть
1700-1916_локоть_2476-14	1918-1990_локоть_2477-14	1	1		локоть
1700-1916_локоть_2478-14	1918-1990_локоть_2479-14	1	1		локоть
1700-1916_локоть_2480-14	1918-1990_локоть_2481-14	1	4		локоть
1700-1916_локоть_2470-14	1918-1990_локоть_2471-14	1	4		локоть
1700-1916_локоть_2482-14	1918-1990_локоть_2483-14	1	4		локоть
1700-1916_локоть_2522-14	1918-1990_локоть_2523-14	2	4		локоть
1700-1916_локоть_2514-14	1918-1990_локоть_2515-14	2	1		локоть
1700-1916_локоть_2494-14	1918-1990_локоть_2495-14	2	1		локоть
1700-1916_локоть_2502-14	1918-1990_локоть_2503-14	2	4		локоть
1700-1916_локоть_2512-14	1918-1990_локоть_2513-14	2	1		локоть
1700-1916_локоть_2482-14	1918-1990_локоть_2483-14	2	4		локоть
1700-1916_локоть_2484-14	1918-1990_локоть_2485-14	2	4		локоть
1700-1916_локоть_2488-14	1918-1990_локоть_2489-14	2	4		локоть
1700-1916_локоть_2500-14	1918-1990_локоть_2501-14	2	1		локоть
1700-1916_локоть_2470-14	1918-1990_локоть_2471-14	2	4		локоть
1700-1916_локоть_2508-14	1918-1990_локоть_2509-14	2	4		локоть
