identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_любовь_2618-14	1918-1990_любовь_2619-14	0	4		любовь
1700-1916_любовь_2646-14	1918-1990_любовь_2647-14	0	4		любовь
1700-1916_любовь_2616-14	1918-1990_любовь_2617-14	0	3		любовь
1700-1916_любовь_2648-14	1918-1990_любовь_2649-14	0	3		любовь
1700-1916_любовь_2590-14	1918-1990_любовь_2591-14	0	4		любовь
1700-1916_любовь_2592-14	1918-1990_любовь_2593-14	0	4		любовь
1700-1916_любовь_2614-14	1918-1990_любовь_2615-14	0	4		любовь
1700-1916_любовь_2632-14	1918-1990_любовь_2633-14	0	4		любовь
1700-1916_любовь_2594-14	1918-1990_любовь_2595-14	0	4		любовь
1700-1916_любовь_2596-14	1918-1990_любовь_2597-14	0	4		любовь
1700-1916_любовь_2638-14	1918-1990_любовь_2639-14	0	3		любовь
1700-1916_любовь_2636-14	1918-1990_любовь_2637-14	0	4		любовь
1700-1916_любовь_2598-14	1918-1990_любовь_2599-14	0	4		любовь
1700-1916_любовь_2634-14	1918-1990_любовь_2635-14	0	3		любовь
1700-1916_любовь_2628-14	1918-1990_любовь_2629-14	0	4		любовь
1700-1916_любовь_2626-14	1918-1990_любовь_2627-14	0	3		любовь
1700-1916_любовь_2620-14	1918-1990_любовь_2621-14	0	3		любовь
1700-1916_любовь_2630-14	1918-1990_любовь_2631-14	0	4		любовь
1700-1916_любовь_2612-14	1918-1990_любовь_2613-14	0	4		любовь
1700-1916_любовь_2644-14	1918-1990_любовь_2645-14	0	4		любовь
1700-1916_любовь_2622-14	1918-1990_любовь_2623-14	0	2		любовь
1700-1916_любовь_2606-14	1918-1990_любовь_2607-14	0	3		любовь
1700-1916_любовь_2602-14	1918-1990_любовь_2603-14	0	3		любовь
1700-1916_любовь_2604-14	1918-1990_любовь_2605-14	0	4		любовь
1700-1916_любовь_2608-14	1918-1990_любовь_2609-14	0	4		любовь
1700-1916_любовь_2610-14	1918-1990_любовь_2611-14	0	4		любовь
1700-1916_любовь_2640-14	1918-1990_любовь_2641-14	0	3		любовь
1700-1916_любовь_2600-14	1918-1990_любовь_2601-14	0	3		любовь
1700-1916_любовь_2624-14	1918-1990_любовь_2625-14	0	4		любовь
1700-1916_любовь_2642-14	1918-1990_любовь_2643-14	0	4		любовь
1700-1916_любовь_2634-14	1918-1990_любовь_2635-14	1	4		любовь
1700-1916_любовь_2648-14	1918-1990_любовь_2649-14	1	2		любовь
1700-1916_любовь_2640-14	1918-1990_любовь_2641-14	1	2		любовь
1700-1916_любовь_2632-14	1918-1990_любовь_2633-14	1	4		любовь
1700-1916_любовь_2636-14	1918-1990_любовь_2637-14	1	3		любовь
1700-1916_любовь_2620-14	1918-1990_любовь_2621-14	1	2		любовь
1700-1916_любовь_2612-14	1918-1990_любовь_2613-14	1	2		любовь
1700-1916_любовь_2624-14	1918-1990_любовь_2625-14	1	4		любовь
1700-1916_любовь_2614-14	1918-1990_любовь_2615-14	1	3		любовь
1700-1916_любовь_2616-14	1918-1990_любовь_2617-14	1	2		любовь
1700-1916_любовь_2622-14	1918-1990_любовь_2623-14	1	4		любовь
1700-1916_любовь_2618-14	1918-1990_любовь_2619-14	1	4		любовь
1700-1916_любовь_2626-14	1918-1990_любовь_2627-14	1	2		любовь
1700-1916_любовь_2590-14	1918-1990_любовь_2591-14	1	3		любовь
1700-1916_любовь_2630-14	1918-1990_любовь_2631-14	1	4		любовь
1700-1916_любовь_2644-14	1918-1990_любовь_2645-14	1	4		любовь
1700-1916_любовь_2600-14	1918-1990_любовь_2601-14	1	4		любовь
1700-1916_любовь_2602-14	1918-1990_любовь_2603-14	1	4		любовь
1700-1916_любовь_2604-14	1918-1990_любовь_2605-14	1	2		любовь
1700-1916_любовь_2606-14	1918-1990_любовь_2607-14	1	4		любовь
1700-1916_любовь_2608-14	1918-1990_любовь_2609-14	1	4		любовь
1700-1916_любовь_2610-14	1918-1990_любовь_2611-14	1	4		любовь
1700-1916_любовь_2598-14	1918-1990_любовь_2599-14	1	1		любовь
1700-1916_любовь_2646-14	1918-1990_любовь_2647-14	1	4		любовь
1700-1916_любовь_2594-14	1918-1990_любовь_2595-14	1	4		любовь
1700-1916_любовь_2642-14	1918-1990_любовь_2643-14	1	4		любовь
1700-1916_любовь_2628-14	1918-1990_любовь_2629-14	1	3		любовь
1700-1916_любовь_2592-14	1918-1990_любовь_2593-14	1	3		любовь
1700-1916_любовь_2638-14	1918-1990_любовь_2639-14	1	4		любовь
1700-1916_любовь_2596-14	1918-1990_любовь_2597-14	1	2		любовь
1700-1916_любовь_2638-14	1918-1990_любовь_2639-14	2	4		любовь
1700-1916_любовь_2626-14	1918-1990_любовь_2627-14	2	4		любовь
1700-1916_любовь_2642-14	1918-1990_любовь_2643-14	2	4		любовь
1700-1916_любовь_2602-14	1918-1990_любовь_2603-14	2	4		любовь
1700-1916_любовь_2634-14	1918-1990_любовь_2635-14	2	4		любовь
1700-1916_любовь_2604-14	1918-1990_любовь_2605-14	2	2		любовь
1700-1916_любовь_2612-14	1918-1990_любовь_2613-14	2	2		любовь
1700-1916_любовь_2606-14	1918-1990_любовь_2607-14	2	2		любовь
1700-1916_любовь_2600-14	1918-1990_любовь_2601-14	2	1		любовь
1700-1916_любовь_2622-14	1918-1990_любовь_2623-14	2	4		любовь
1700-1916_любовь_2628-14	1918-1990_любовь_2629-14	2	2		любовь
1700-1916_любовь_2648-14	1918-1990_любовь_2649-14	2	3		любовь
1700-1916_любовь_2632-14	1918-1990_любовь_2633-14	2	3		любовь
1700-1916_любовь_2598-14	1918-1990_любовь_2599-14	2	4		любовь
1700-1916_любовь_2610-14	1918-1990_любовь_2611-14	2	3		любовь
1700-1916_любовь_2618-14	1918-1990_любовь_2619-14	2	4		любовь
1700-1916_любовь_2590-14	1918-1990_любовь_2591-14	2	1		любовь
1700-1916_любовь_2640-14	1918-1990_любовь_2641-14	2	4		любовь
1700-1916_любовь_2616-14	1918-1990_любовь_2617-14	2	3		любовь
1700-1916_любовь_2644-14	1918-1990_любовь_2645-14	2	3		любовь
1700-1916_любовь_2596-14	1918-1990_любовь_2597-14	2	4		любовь
1700-1916_любовь_2614-14	1918-1990_любовь_2615-14	2	3		любовь
1700-1916_любовь_2646-14	1918-1990_любовь_2647-14	2	4		любовь
1700-1916_любовь_2592-14	1918-1990_любовь_2593-14	2	3		любовь
1700-1916_любовь_2624-14	1918-1990_любовь_2625-14	2	4		любовь
1700-1916_любовь_2636-14	1918-1990_любовь_2637-14	2	4		любовь
1700-1916_любовь_2594-14	1918-1990_любовь_2595-14	2	3		любовь
1700-1916_любовь_2620-14	1918-1990_любовь_2621-14	2	2		любовь
1700-1916_любовь_2630-14	1918-1990_любовь_2631-14	2	1		любовь
