lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
любовь	NOUN	1700	1700-1916	1700-1916_любовь_2590		"В своем письме к сэру Питеру Кенелм несколько туманно говорил о том, что, ""как ему кажется, равнодушие к любви и честолюбию происходит от неосуществимости идеала, который он себе составил""."	105:110	0:189	2590	rushifteval	ru
любовь	NOUN	1918	1918-1990	1918-1990_любовь_2591		"И мой ""пантеизм"" этого же происхождения: вместо одного человека -- любовь ко всему."	67:73	0:83	2591	rushifteval	ru
любовь	NOUN	1700	1700-1916	1700-1916_любовь_2592		Там, где эти свойства отсутствуют, где чувство собственного достоинства заменяется оскорбительным и в сущности довольно глупым самомнением, где шовинизм является обнаженным, без всякой примеси энтузиазма, где не горят сердца ни любовью, ни ненавистью, а воспламеняются только подозрительностью к соседу, где нет ни истинной приветливости, ни искренней веселости, а есть только желание похвастаться и расчет на тринкгельд, -- там, говорю я, не может быть и большого хода свободе.	228:235	0:478	2592	rushifteval	ru
любовь	NOUN	1918	1918-1990	1918-1990_любовь_2593		Но вот она встречается с Ромео, и любовь рождается в ней мгновенно.	34:40	0:67	2593	rushifteval	ru
любовь	NOUN	1700	1700-1916	1700-1916_любовь_2594		"""Плакать, -- говорю, -- тебе нечего и убиваться из-за них, из-за поганцев, тоже не стоит, а что отказала ему, да только всего и разговора, и найдем себе такого, что и любовь будет и помощь; не будешь так-то зубами щелкать да убиваться""."	167:173	0:236	2594	rushifteval	ru
любовь	NOUN	1918	1918-1990	1918-1990_любовь_2595		Никто не застрахован от любви в самом неподходящем возрасте.	24:29	0:60	2595	rushifteval	ru
любовь	NOUN	1700	1700-1916	1700-1916_любовь_2596		Но любовь умеет находить утешения; надежда -- вернейшая ей подруга, она никогда-никогда не оставляет ее.	3:9	0:104	2596	rushifteval	ru
любовь	NOUN	1918	1918-1990	1918-1990_любовь_2597		И все мы встречаемся в Церкви, потому что каждый из нас услышал, что здесь есть жизнь, здесь есть надежда, здесь торжествует Божия любовь.	131:137	0:138	2597	rushifteval	ru
любовь	NOUN	1700	1700-1916	1700-1916_любовь_2598		Я был в расположении духа пофилософствовать и начал свысока определять любовь желанием приобрести в другом то, чего сам не имеешь, и т. д.	71:77	0:138	2598	rushifteval	ru
любовь	NOUN	1918	1918-1990	1918-1990_любовь_2599		Мысль, что мать любила плешивого капитана и родился ребенок, -- эта мысль возмущала юное, здоровое, благоговейное понятие Володи о любви, о красоте любви.	131:136	0:154	2599	rushifteval	ru
любовь	NOUN	1700	1700-1916	1700-1916_любовь_2600		"Сравните эти страдания внутреннего двоегласия с несомневающеюся целостностью современных проворных людей, которые, с хладной пеной у рта, даже любовь к отечеству готовы эксплуатировать в пользу продажи распивочно и навынос, -- и вы почувствуете, что ежели не особенно лестно было жить в обществе людей, прямо называвших себя ""лишними"", то все-таки не так несомненно мерзко, как жить в обществе людей, для которых все уже до того паскудно ясно, что представление о рубле, в смысле привлекательности, уступает лишь представлению о таковых же двух, а если больше, то, разумеется, и того лучше."	143:149	0:590	2600	rushifteval	ru
любовь	NOUN	1918	1918-1990	1918-1990_любовь_2601		Нравилось ему мое понимание в винах, любовь к закускам и к тонким блюдам, это ценила во мне и Евгения Яковлевна, которая была большая мастерица в кулинарном искусстве и тоже очень любила угощать.	37:43	0:195	2601	rushifteval	ru
любовь	NOUN	1700	1700-1916	1700-1916_любовь_2602		То, что прежде мне казалось самым хорошим -- утонченная, изящная жизнь, страстная и поэтическая любовь, восхваляемая всеми поэтами и художниками, -- все это представилось мне дурным и отвратительным.	96:102	0:199	2602	rushifteval	ru
любовь	NOUN	1918	1918-1990	1918-1990_любовь_2603		".."" Тогда -- это была бы, вероятно, настоящая любовь."	46:52	0:53	2603	rushifteval	ru
любовь	NOUN	1700	1700-1916	1700-1916_любовь_2604		Чего же хотели сии дерзкие сановники, может быть, действительно одушевленные любовию к общему благу, действительно устрашенные мыслию о гибельных для отечества смутах боярских, которые снова могли водвориться в правительствующей Думе, к ужасу России, в малолетство Димитрия Они хотели возложить венец на главу брата Иоаннова -- не Юрия: ибо сей несчастный князь, обиженный природою, не имел ни рассудка, ни памяти, -- но Владимира Андреевича, одаренного многими блестящими свойствами: умом любопытным, острым, деятельным, мужеством и твердостию.	77:84	0:545	2604	rushifteval	ru
любовь	NOUN	1918	1918-1990	1918-1990_любовь_2605		Правда, горяча и неустанна в любви, как и в пахоте, Аннушка Бабинцова, теперь законная Брыкина жена, -- и руки у ней мягкие и жадные, и губы сладки, как большая лесная ягода, -- скуки с такой женой не ведать, какая длинная ни случись ночь.	29:34	0:239	2605	rushifteval	ru
