lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
монстр	NOUN	1700	1700-1916	1700-1916_монстр_2710		Последовал, конечно, обширный и украшенный многими подробностями рассказ об арестантской камере, с ее монстрами порока и преступления, о молодой, но уже падшей душе и о прочих деяниях по части филантропии.	102:111	0:205	2710	rushifteval	ru
монстр	NOUN	1918	1918-1990	1918-1990_монстр_2711		Оптико-акустический ключ -- черт побери -- действовал точно: на скамье, прямо перед ним, приветственно улыбаясь оскалом выпяченных из-под толстых губ соломенного цвета зубов, с выставившимися из-под шляпки длинным запотевшим носом, сидел, кокетливо комкая в красных перепончато-плоских пальцах батистовый платочек, монстр.	315:321	0:322	2711	rushifteval	ru
монстр	NOUN	1700	1700-1916	1700-1916_монстр_2712		Понеже известно есть, что как в человеческой породе, так в зверской и птичьей, случается, что родятся монстры, то есть, уроды, которые всегда во всех государствах сбираются для диковинки, чего для, пред несколькими летами уже указ сказан, чтобы оных приносили; но таят невежды, чая, что такие уроды родятся от действа диавольского, через ведовство и порчу, чему быть невозможно, ибо един Творец всея твари Бог, а не диавол, которому ни над каким созданием власти нет, -- но от повреждения внутреннего, также от страха и мнения матерного во время бремени, как тому многие есть примеры, -- чего испужается мать, такие знаки на дитяти бывают; того ради, паки сей указ подновляется, дабы, конечно, такие, как человечьи, так скотские, звериные и птичьи уроды, приносили в каждом городе к комендантам своим, и им за то будет давана плата, а именно: за человеческую -- по десяти рублев, за скотскую и звериную -- по пяти, а за птичью -- по три рубли, за мертвых.	102:109	0:955	2712	rushifteval	ru
монстр	NOUN	1918	1918-1990	1918-1990_монстр_2713		В митингующих окопах и тихих госпитальных палатах Старшов не очень-то ощущал степени начала распада гигантского российского монстра: он понял размах этого распада, этого разложения, лишь очутившись в тылу.	124:131	0:205	2713	rushifteval	ru
монстр	NOUN	1700	1700-1916	1700-1916_монстр_2714		Сувенирчик вместе с Клеточкиным ездил летом на Щучье озеро ловить бреднем раков и жерихов, а зимой, на святках, неизменно танцевал визави в кадрили-монстр на вечеринках, отчаянно дирижируя при этом: -- Сильвупле, кавалеры, направо, сильвупле, мадмуазель, налево!..	148:154	0:264	2714	rushifteval	ru
монстр	NOUN	1918	1918-1990	1918-1990_монстр_2715		Монстр завозился, зарычал и, гремя цепями, впился в мясо и стал отрывать зубами кровавые куски.	0:6	0:95	2715	rushifteval	ru
монстр	NOUN	1700	1700-1916	1700-1916_монстр_2716		Бываютъ такя монстры невжества, которыя на одномъ часу перемняя мнни и нравы сво, вступаютъ въ вещи весьма противныя, и жестокости собою обладать попускаютъ; которая не только волю, но разумъ и неразсуждене портитъ.	13:20	0:215	2716	rushifteval	ru
монстр	NOUN	1918	1918-1990	1918-1990_монстр_2717		Колиско не преодолел стадии рационализма, не взял качество и количество в символизме, хотя бы имагинативного восприятия (а Бор уже взял!); зачем же он топит антропософию в палеонтологического монстра , с которой я расстреливаю предрассудок Колиско.	192:199	0:248	2717	rushifteval	ru
монстр	NOUN	1700	1700-1916	1700-1916_монстр_2718		Сей князь собою видом, как монстра; нравом злой тиран; превеликий нежелатель добра никому; пьян по вся дни; но его величеству верный был, что никто другой.	27:34	0:155	2718	rushifteval	ru
монстр	NOUN	1918	1918-1990	1918-1990_монстр_2719		От этих монстров, откормленных на моем бреду и как бы вытеснявших меня из себя самого, невозможно было отделаться, и в течение безнадежной борьбы я поднимал голову с подушки, силясь объяснить матери мое состояние.	8:16	0:213	2719	rushifteval	ru
