identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_наложение_2890-14	1918-1990_наложение_2891-14	0	1		наложение
1700-1916_наложение_2898-14	1918-1990_наложение_2899-14	0	1		наложение
1700-1916_наложение_2894-14	1918-1990_наложение_2895-14	0	1		наложение
1700-1916_наложение_2946-14	1918-1990_наложение_2947-14	0	1		наложение
1700-1916_наложение_2892-14	1918-1990_наложение_2893-14	0	2		наложение
1700-1916_наложение_2944-14	1918-1990_наложение_2945-14	0	1		наложение
1700-1916_наложение_2936-14	1918-1990_наложение_2937-14	0	1		наложение
1700-1916_наложение_2942-14	1918-1990_наложение_2943-14	0	4		наложение
1700-1916_наложение_2904-14	1918-1990_наложение_2905-14	0	1		наложение
1700-1916_наложение_2920-14	1918-1990_наложение_2921-14	0	3		наложение
1700-1916_наложение_2922-14	1918-1990_наложение_2923-14	0	1		наложение
1700-1916_наложение_2900-14	1918-1990_наложение_2901-14	0	4		наложение
1700-1916_наложение_2924-14	1918-1990_наложение_2925-14	0	4		наложение
1700-1916_наложение_2948-14	1918-1990_наложение_2949-14	0	4		наложение
1700-1916_наложение_2940-14	1918-1990_наложение_2941-14	0	3		наложение
1700-1916_наложение_2916-14	1918-1990_наложение_2917-14	0	1		наложение
1700-1916_наложение_2914-14	1918-1990_наложение_2915-14	0	3		наложение
1700-1916_наложение_2906-14	1918-1990_наложение_2907-14	0	1		наложение
1700-1916_наложение_2938-14	1918-1990_наложение_2939-14	0	2		наложение
1700-1916_наложение_2908-14	1918-1990_наложение_2909-14	0	1		наложение
1700-1916_наложение_2932-14	1918-1990_наложение_2933-14	0	1		наложение
1700-1916_наложение_2926-14	1918-1990_наложение_2927-14	0	4		наложение
1700-1916_наложение_2902-14	1918-1990_наложение_2903-14	0	1		наложение
1700-1916_наложение_2910-14	1918-1990_наложение_2911-14	0	1		наложение
1700-1916_наложение_2912-14	1918-1990_наложение_2913-14	0	4		наложение
1700-1916_наложение_2918-14	1918-1990_наложение_2919-14	0	2		наложение
1700-1916_наложение_2934-14	1918-1990_наложение_2935-14	0	1		наложение
1700-1916_наложение_2928-14	1918-1990_наложение_2929-14	0	1		наложение
1700-1916_наложение_2930-14	1918-1990_наложение_2931-14	0	2		наложение
1700-1916_наложение_2896-14	1918-1990_наложение_2897-14	0	1		наложение
1700-1916_наложение_2902-14	1918-1990_наложение_2903-14	1	2		наложение
1700-1916_наложение_2898-14	1918-1990_наложение_2899-14	1	3		наложение
1700-1916_наложение_2900-14	1918-1990_наложение_2901-14	1	4		наложение
1700-1916_наложение_2904-14	1918-1990_наложение_2905-14	1	2		наложение
1700-1916_наложение_2892-14	1918-1990_наложение_2893-14	1	3		наложение
1700-1916_наложение_2896-14	1918-1990_наложение_2897-14	1	1		наложение
1700-1916_наложение_2912-14	1918-1990_наложение_2913-14	1	3		наложение
1700-1916_наложение_2916-14	1918-1990_наложение_2917-14	1	1		наложение
1700-1916_наложение_2914-14	1918-1990_наложение_2915-14	1	4		наложение
1700-1916_наложение_2910-14	1918-1990_наложение_2911-14	1	1		наложение
1700-1916_наложение_2908-14	1918-1990_наложение_2909-14	1	2		наложение
1700-1916_наложение_2906-14	1918-1990_наложение_2907-14	1	1		наложение
1700-1916_наложение_2894-14	1918-1990_наложение_2895-14	1	2		наложение
1700-1916_наложение_2920-14	1918-1990_наложение_2921-14	1	1		наложение
1700-1916_наложение_2918-14	1918-1990_наложение_2919-14	1	2		наложение
1700-1916_наложение_2936-14	1918-1990_наложение_2937-14	1	1		наложение
1700-1916_наложение_2890-14	1918-1990_наложение_2891-14	1	1		наложение
1700-1916_наложение_2924-14	1918-1990_наложение_2925-14	1	3		наложение
1700-1916_наложение_2932-14	1918-1990_наложение_2933-14	1	1		наложение
1700-1916_наложение_2930-14	1918-1990_наложение_2931-14	1	2		наложение
1700-1916_наложение_2928-14	1918-1990_наложение_2929-14	1	1		наложение
1700-1916_наложение_2926-14	1918-1990_наложение_2927-14	1	4		наложение
1700-1916_наложение_2922-14	1918-1990_наложение_2923-14	1	4		наложение
1700-1916_наложение_2944-14	1918-1990_наложение_2945-14	1	1		наложение
1700-1916_наложение_2946-14	1918-1990_наложение_2947-14	1	1		наложение
1700-1916_наложение_2948-14	1918-1990_наложение_2949-14	1	4		наложение
1700-1916_наложение_2934-14	1918-1990_наложение_2935-14	1	1		наложение
1700-1916_наложение_2942-14	1918-1990_наложение_2943-14	1	4		наложение
1700-1916_наложение_2938-14	1918-1990_наложение_2939-14	1	1		наложение
1700-1916_наложение_2940-14	1918-1990_наложение_2941-14	1	2		наложение
1700-1916_наложение_2896-14	1918-1990_наложение_2897-14	2	1		наложение
1700-1916_наложение_2936-14	1918-1990_наложение_2937-14	2	1		наложение
1700-1916_наложение_2918-14	1918-1990_наложение_2919-14	2	3		наложение
1700-1916_наложение_2906-14	1918-1990_наложение_2907-14	2	1		наложение
1700-1916_наложение_2932-14	1918-1990_наложение_2933-14	2	1		наложение
1700-1916_наложение_2908-14	1918-1990_наложение_2909-14	2	1		наложение
1700-1916_наложение_2930-14	1918-1990_наложение_2931-14	2	2		наложение
1700-1916_наложение_2938-14	1918-1990_наложение_2939-14	2	1		наложение
1700-1916_наложение_2928-14	1918-1990_наложение_2929-14	2	3		наложение
1700-1916_наложение_2900-14	1918-1990_наложение_2901-14	2	4		наложение
1700-1916_наложение_2904-14	1918-1990_наложение_2905-14	2	1		наложение
1700-1916_наложение_2912-14	1918-1990_наложение_2913-14	2	1		наложение
1700-1916_наложение_2924-14	1918-1990_наложение_2925-14	2	3		наложение
1700-1916_наложение_2914-14	1918-1990_наложение_2915-14	2	2		наложение
1700-1916_наложение_2948-14	1918-1990_наложение_2949-14	2	3		наложение
1700-1916_наложение_2922-14	1918-1990_наложение_2923-14	2	3		наложение
1700-1916_наложение_2916-14	1918-1990_наложение_2917-14	2	3		наложение
1700-1916_наложение_2940-14	1918-1990_наложение_2941-14	2	2		наложение
1700-1916_наложение_2926-14	1918-1990_наложение_2927-14	2	2		наложение
1700-1916_наложение_2910-14	1918-1990_наложение_2911-14	2	1		наложение
1700-1916_наложение_2934-14	1918-1990_наложение_2935-14	2	2		наложение
1700-1916_наложение_2890-14	1918-1990_наложение_2891-14	2	1		наложение
1700-1916_наложение_2898-14	1918-1990_наложение_2899-14	2	1		наложение
1700-1916_наложение_2944-14	1918-1990_наложение_2945-14	2	1		наложение
1700-1916_наложение_2892-14	1918-1990_наложение_2893-14	2	3		наложение
1700-1916_наложение_2946-14	1918-1990_наложение_2947-14	2	1		наложение
1700-1916_наложение_2894-14	1918-1990_наложение_2895-14	2	1		наложение
1700-1916_наложение_2942-14	1918-1990_наложение_2943-14	2	4		наложение
1700-1916_наложение_2902-14	1918-1990_наложение_2903-14	2	1		наложение
1700-1916_наложение_2920-14	1918-1990_наложение_2921-14	2	1		наложение
