lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
писк	NOUN	1700	1700-1916	1700-1916_писк_3282-14		Прежде чем смолк жалостный писк ребенка, над головами всей собравшейся здесь семьи наверху что-то закрутилось, забегало и с противуположной стороны в дверь сильно ударил брошенный с размаха кирпич.	27:31	0:197
писк	NOUN	1700	1700-1916	1700-1916_писк_3304-14		В ответ щекотанью послышался с разных сторон писк, а на одной березе шелохнулась ветка.	45:49	0:87
писк	NOUN	1700	1700-1916	1700-1916_писк_3306-14		В и привяжите конец ее К к веревке и на него доску: надавливая рукой на конец Н, Вы будете приподнимать груз G1 или G2, прекращать писк, не останавливая двигателя -- всего на 10-20 sec., чтобы отсчитать нулевое положение.	131:135	0:221
писк	NOUN	1700	1700-1916	1700-1916_писк_3298-14		"День" очень заботится о развитии русской гласности; ему хочется иметь корреспондентов во всех углах России, хочется знать досконально, что делается в этих отдаленных земных рассединах, из которых не только голоса, даже писка человеческого никуда не доходит.	220:225	0:258
писк	NOUN	1700	1700-1916	1700-1916_писк_3308-14		В небе заливался жаворонок, и ему вторила коротеньким нежным писком какая-то птичка на тополе.	61:67	0:94
писк	NOUN	1700	1700-1916	1700-1916_писк_3296-14		Со всех сторон слышались крики, шум, брань, писк; суматоха стояла невообразимая.	44:48	0:80
писк	NOUN	1700	1700-1916	1700-1916_писк_3250-14		Был он проворен, как и прежде, -- точно не две ноги, как у всех людей, а целый десяток имел их, но бегал бесшумно, без писка, воплей и смеха, похожего на смех гиены, каким раньше сопровождал он все действия свои.	119:124	0:212
писк	NOUN	1700	1700-1916	1700-1916_писк_3280-14		Смущенный Адам Карлыч обращается в бегство, его преследуют, его ловят, его догоняют, его, наконец, качают при усилившемся крике и смехе, а за палисадником на улице тоже хохотня и писк.	179:183	0:184
писк	NOUN	1700	1700-1916	1700-1916_писк_3294-14		В "Отцах и детях" он скупится на описание, не обращает внимания на природу; после незначительных отступлении он торопится к своим героям, бережет место и силы для чего-то другого и вместо полных картин проводит одни только штрихи, да и то неважные и нехарактеристические, вроде того, что "одни петухи задорно перекликались на деревне; да где-то высоко в верхушке деревьев звенел плаксивым призывом немолчный писк молодого ястребка" (стр. 589).	408:412	0:443
писк	NOUN	1700	1700-1916	1700-1916_писк_3292-14		Хворый ребенок не сходил с рук, даже мне надрывая душу непрестанным жалобным писком, а между тем нужно было добывать денег для прокормления семьи.	77:83	0:146
писк	NOUN	1700	1700-1916	1700-1916_писк_3254-14		Наконец хозяйка опять начала и все тем же тоненьким писком: -- Давно были, Марфа Ивановна, у Палагеи Петровны -- Вчера, -- отвечала гостья, умная и насмешливая девица лет двадцати, -- вчера была у нее.	52:58	0:201
писк	NOUN	1700	1700-1916	1700-1916_писк_3256-14		Между прочим, следователь при входе в избу немало был изумлен писком и грохотом крыс, бросившихся по щелям, лишь только хлопнула дверь.	62:68	0:135
писк	NOUN	1700	1700-1916	1700-1916_писк_3290-14		Мне нравится, признаться, женское пение; но как знать -- может быть, из пристрастия Ведь и птичьим самцам, я уверен, писк их самок кажется очаровательнейшим пением.	117:121	0:164
писк	NOUN	1700	1700-1916	1700-1916_писк_3300-14		Первые любят действовать с наскоку и не без удовольствия поедают последних; вторые смотрят на это, как на неотразимое зло, которое можно объяснять себе тем-то и тем-то, и только изредка для очищения совести испускают слабый писк.	224:228	0:229
