lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3394-14		Этим мы и покончим с личностями романа, с отцами и детьми, и обратимся к философской стороне, к тем воззрениям и направлениям, которые изображаются в нем и которые составляют принадлежность не молодого поколения только, а разделяются большинством и выражают общее современное направление и движение.	202:211	0:299
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3408-14		Дело в том, что писатели моего поколения жили и работали более или менее обособленно, а если объединялись иногда под кровом того или иного журнала или издательства, то объединение это было вполне случайным: легко сходились, но еще легче расходились.	31:40	0:249
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3406-14		Странно сказать -- но какое-нибудь остроумное изречение, с силой и чувством написанное стихотворение, художественно и талантливо вымышленный образ какого-нибудь героя или страдальца способен влиять и определять настроение не только отдельных личностей, но целого поколения.	263:272	0:273
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3404-14		Наконец в половине девятого столетия хягасы ниспровергли могущество царствовавшего в то время Дома Ойхоров, мстительный Китай истребил остатки их, укрывшиеся под защиту Великой стены; оставшиеся поколения удалились от Хангая к западу в Или и Тарбагатай.	195:204	0:253
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3402-14		Еще здравствуют и даже издают свои журналы и поколение, воспитавшееся на выспренних одах -- старцы в котурнах, и поколение, пропитанное насквозь "Бедной Лизой" Карамзина, старцы "в бланжевых чулочках", которые после "Бедной Лизы" переварили только разве "Людмилу" Жуковского и, как председатель палаты в "Мертвых душах", читают ее с зажмуренными глазами и с особенным ударением на слове: чу!	45:54	0:391
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3412-14		Задача современного искусства воспроизводить действительность -- так необъятна, что на решение ее должны посвятить себя целые поколения художников.	126:135	0:147
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3376-14		Перед ними стояли группами молодые люди, с благоговением слушая, с жадностью ловя из уст сих мужей доблестных уроки мудрости, которой живые примеры видели в их жизни, -- обстоятельство, достойное замечания при малообразованности тогдашнего поколения.	240:249	0:250
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3386-14		Почему это брошено Почему не дописали, не договорили, не доделали, почему целые деревни, целые поколения неповинных людей оставлены в жертву этой ужасной болезни, самой ужасной из всех, с которыми борется человеческое знание, а мы только смотрим на это, сложивши в бессилии руки!	95:104	0:279
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3384-14		Семья есть ближайшее восстановление нравственной целости в одном основном отношении -- преемственности поколений.	103:112	0:113
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3382-14		Новое поколение соименников окружает тебя, и с удивлением смотришь ты на скороспелую молодежь: какой важный, надменный вид, какие толки об опытности, о разочаровании, хотя весь-то век их птичий без году шесть недель.	6:15	0:216
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3380-14		Мало ли что мы считаем теперь в истории целых поколений за галлюцинацию, фанатизм и т. п., а между тем под влиянием этих иллюзий народы жили целые века, проливали за них потоки крови и умирали с ними.	46:55	0:200
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3378-14		Одному поколению не выполнить дела, но каждый шаг его будет частицей освобождения.	7:16	0:82
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3374-14		Лаврецкий имел право быть довольным: он сделался действительно хорошим хозяином, действительно выучился пахать землю и трудился не для одного себя; он, насколько мог, обеспечил и упрочил быт своих крестьян. Лаврецкий вышел из дома в сад, сел на знакомой ему скамейке -- и на этом дорогом месте, перед лицом того дома, где он в последний раз напрасно простирал свои руки к заветному кубку, в котором кипит и играет золотое вино наслажденья, -- он, одинокий, бездомный странник, под долетавшие до него веселые клики уже заменившего его молодого поколения, -- оглянулся на свою жизнь.	543:552	0:581
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3372-14		С подобными мнениями согласиться невозможно: Киреевский был плохой мыслитель, -- он боялся мысли; Киреевский никуда не подвинул русское самосознание, он даже не затронул его; его статьи никогда не производили впечатления; их читали мало, и теперь их совсем забыли, несмотря на то, что последняя из них была написана всего лет семь тому назад; пользы Киреевский не принес никакой, и если последующие поколения по какому-нибудь чуду запомнят его имя, то они пожалеют только о печальных заблуждениях этого даровитого человека.	399:408	0:523
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3422-14		Эти люди были, есть и будут от первого размножения рода человеческого до страшного суда; вечно будут они считать себя единицами земного населения и смотреть на потребности живой и движущейся половины общества, как на "пустые воображения" (выражаясь языком одного из отживших поколений).	275:284	0:286
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3428-14		Психологию этого поколения интеллигенции г.	17:26	0:43
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3426-14		Четыре главные Поколения Элютов, составлявших Ойратство, разделены на дивизии или военные уделы, как то: Дурбот на 22 Чорос на 8 Хошот 8 Хойт 5 Дурботы расположены в Кобдо около Алтая, прочие Поколения кочуют в разных местах Тарбагтайского Округа.	15:24	0:247
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3424-14		Бесспорно, что и он некоторое время принадлежал к знаменитой плеяде иных прославленных деятелей нашего прошедшего поколения, и одно время, -- впрочем, всего только одну самую маленькую минуточку, -- его имя многими тогдашними торопившимися людьми произносилось чуть не наряду с именами Чаадаева, Белинского, Грановского и только что начинавшего тогда за границей Герцена.	114:123	0:371
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3410-14		Перед рядом поколений И в затишье и в разгул, Целый ряд его творений Ярким всполохом блеснул!.	12:21	0:94
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3414-14		Потом обращался я в разных местах и комиссиях, командуя казанскою дивизиею; до заключения конвенции с турками командовал я кубанским корпусом, в 1783 году привел нагайские орды ко всеподданической ее императорского величества присяге, и как они, учиня мятеж, знатною частью ушли за Кубань, то имел я туда на них поход, с регулярным и сильным иррегулярным войском; были они нами за Кубанью и на реке Лабе на рассвете при Керменчике так супренированы, что потеряли множество народа и всех своих мурз, и того ж числа другой раз их и иные поколения равно сему разбиты были; одни сутки кончили все дело.	535:544	0:598
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3388-14		Но требовалось такое непрерывное и напряженное внимание при наблюдении за машинами и материалом, которое было очень тяжело для моего мозга: очевидно, только в ряде нескольких поколений могла развиться эта способность до той степени, какая здесь являлась обычной и средней.	175:184	0:272
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3416-14		Хохлов вспоминал, что всякий Кай, как бы ни был он велик, умрет, и нелепым казалось ему жить и работать для будущих поколений, которые тоже умрут.	116:125	0:146
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3396-14		Надюша и все известное Вам молодое поколение, всех известных Вам преступных отцов и матерей, растет не по дням, а по часам, цветет, -- но, по к[райней] мере я, ничего не вижу ни для них, ни поэтому для себя в будущем хорошего.	35:44	0:226
поколение	NOUN	1700	1700-1916	1700-1916_поколение_3418-14		Доехав до Анконы, я предпринял оттуда довольно оригинальное путешествие, которое покажется баснословным, когда железные дороги в Италии уничтожат последний отпрыск поколения ветуринов.	164:173	0:184
