lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
путь	NOUN	1700	1700-1916	1700-1916_путь_4158-14		Хотя, сказать правду, и это весьма хороший путь к бессмертию, и многие не хуже меня достигли им громкой знаменитости, однако ж к принятию его предложения я скорее убедился бы следующим обстоятельством, чем надеждою быть дружески произведенным в предпотопные скоты.	43:47	0:264
путь	NOUN	1700	1700-1916	1700-1916_путь_4200-14		Кажется какъ будто вс училища превратились въ школы развратовъ, и кто оттуда ни выдетъ, тотчасъ покажетъ, что онъ совращенъ съ истиннаго пути, и голова у него набита пустотою, а сердце самолюбемъ, первымъ врагомъ благоразумю.	137:141	0:225
путь	NOUN	1700	1700-1916	1700-1916_путь_4190-14		Есть водяной путь, которым имеют сообщение с китайскими областями И-чжеу и Юн-чан; много редкостей.	13:17	0:99
путь	NOUN	1700	1700-1916	1700-1916_путь_4188-14		-- Обратный путь в Пекин.	12:16	0:25
путь	NOUN	1700	1700-1916	1700-1916_путь_4168-14		Ибо всякий молодой человек истиною почитает токмо то, что он чувствует и чем услаждается, а что не благоприятствует его чувствам, то приемлет он за выдумку и за изобретение человеческой хитрости для пользы собственной изобретателей, хотя оная выдумка есть единый путь к совершенству человеческому и благоденствию.	263:267	0:313
путь	NOUN	1700	1700-1916	1700-1916_путь_4166-14		Они оба были увлечены, хотели великого, хотели добра, ломали, что им мешало, и сверх того верили, что это единственный путь.	119:123	0:124
путь	NOUN	1700	1700-1916	1700-1916_путь_4148-14		На нее же ведет путь из Киндерлинского залива на колодезь Думбай, Чулак-Таш, Черкегле, к Ильтеидже, расстоянием 640 верст.	16:20	0:122
путь	NOUN	1700	1700-1916	1700-1916_путь_4186-14		Вечно спокойное, бессмертное солнце ярко светило на своем пути к зениту, разливая потоки благодатного света на хлопотливый, деловой город, на плодоносную землю и на глупых, драчливых людей.	58:62	0:189
путь	NOUN	1700	1700-1916	1700-1916_путь_4172-14		Княгиня Анна Аркадьевна Шелешпанская, оставив Москву за два дня до вступления туда французов, изнемогла дорогою от огорчений и суеты и, с остановками, то разбивая палатку у дороги, то заезжая на постоялые дворы, успела добраться только до своего коломенского поместья, сельца Ярцева, через которое обыкновенно лежал ее дальнейший путь в ее тамбовскую вотчину, село Паншино.	330:334	0:373
путь	NOUN	1700	1700-1916	1700-1916_путь_4194-14		Я распрощался с господином Дыбковым, пожелал ему счастливого пути и отправился домой.	61:65	0:85
путь	NOUN	1700	1700-1916	1700-1916_путь_4198-14		Путь лежал в деревушку за Батуриным, резиденцией гетмана Кириллы Разумовского.	0:4	0:78
путь	NOUN	1700	1700-1916	1700-1916_путь_4164-14		Через год водяного пути от малорослых на юго-восток лежит царство нагих и царство чернозубых.	19:23	0:93
путь	NOUN	1700	1700-1916	1700-1916_путь_4196-14		Мы третий день в пути.	17:21	0:22
путь	NOUN	1700	1700-1916	1700-1916_путь_4174-14		Этот кретин, который осветил ей путь, указал, куда нужно идти, где истина, в глазах Марьи Мих. представляется чуть ли не идеалом.	32:36	0:129
путь	NOUN	1700	1700-1916	1700-1916_путь_4192-14		Новая рукопись представляет то преимущество перед первой, что она не приводит ни к каким чересчур неожиданным выводам, за исключением изменчивости силы тяготения в зависимости от физических условий, хотя и представляет совершенно новый метод обработки физических вопросов чисто математическим путем.	293:298	0:299
путь	NOUN	1700	1700-1916	1700-1916_путь_4176-14		Не доезжая Екатеринослава, остановились и сделали хорошую прогулку вдоль пути около 21/2 верст.	73:77	0:95
путь	NOUN	1700	1700-1916	1700-1916_путь_4170-14		Пути тактильного рефлекса от чувствительных клеток к двигательным невредимы, между тем как страстные рефлексы отсутствуют или чрезвычайно сильно задержаны.	0:4	0:155
путь	NOUN	1700	1700-1916	1700-1916_путь_4178-14		Густый туман способствовал им в пути, и они напали нечаянно на Фокиан защищавших Фермопилы, сие прославившееся место храбростию Леонида и трех сот Спартян.	32:36	0:155
путь	NOUN	1700	1700-1916	1700-1916_путь_4162-14		Они начали с того, что "так как адмирал не соглашается остаться, то губернатор не решается удерживать его, но он предлагает ему на рассуждение одно обстоятельство, чтоб адмирал поступил сообразно этому, именно: губернатору известно наверное, что дней чрез десять, и никак не более одиннадцати, а может быть, и чрез семь придет ответ, который почему-то замедлился в пути".	365:369	0:371
путь	NOUN	1700	1700-1916	1700-1916_путь_4146-14		Понеже Святейший Правительствующий Синод довольно известен, какие в Российской империи в подлых людях от незнания совершенно закону и правил истинного ко спасению пути разные вредительные и душе пагубные поступки происходят, что искоренить и таких заблужденных на истинный путь приводить прилежными по приличности каждого дела священническим наставлением наиближайше способ есть, и хотя о том блаженныя и вечнодостойныя памяти император Петр Великий, имея отеческие попечения, еще в 1721 году, между прочим, в Духовном регламенте, дабы сочинить для лучшего знания священникам и поучение прихожан, книжицы с разных святых учителей ясные проповеди как о главнейших догматах, так и наипаче о грехах и добродетелей и о собственной должностях всякого чина, также и в прибавлениях к Регламенту духовному в правилах причта церковного, под числом седьмым напечатанными, священникам же главизны и наставление на исповеди кающимся, болящим, умирающим и на смерть ведомым и прочим, как пространно о том в Духовном регламенте значит, определить соизволил; но точию оные душеполезные для мирских людей наставления и поныне не сочинены; того ради да соблаговолит Святейший Правительствующий Синод, кому за благоизобретет приказать вышеупомянутые книжицы без продолжения сочинить и по апробации в Святейшем Правительствующем Синоде повелено б было довольное число напечатав и во все Российского государства церкви и священнослужителей теми снабдить и наикрепчайше во все духовные команды указами подтвердить, дабы того всегда наблюдали, чтоб при всех церквах оные во надлежащем, по силе Духовного регламента, употреблении были неотменно.	163:167	0:1622
путь	NOUN	1700	1700-1916	1700-1916_путь_4160-14		Казалось, не было конца пути.	24:28	0:29
путь	NOUN	1700	1700-1916	1700-1916_путь_4204-14		Военный транспорт черноморского флота "Прут", назначенный для присутствования на торжестве открытия памятника Суворову в Очакове, потерпел аварию по пути из Одессы в Очаков.	149:153	0:173
путь	NOUN	1700	1700-1916	1700-1916_путь_4154-14		Живущий на земле, совершивший земной путь, не созданный для земного пути (как ангелы), не начинавший еще земного пути (будущие поколения), все соединены в одной Церкви -- в одной благодати Божией; ибо еще не явленное творение Божие для Него явно, и Бог слышит молитвы и знает веру того, кто еще не вызван им из небытия к бытию.	37:41	0:327
путь	NOUN	1700	1700-1916	1700-1916_путь_4152-14		Употребив следующий за тем день на отдание грустного долга нашему общему любимцу, мы изготовились в ночь и выступили на зорьке в дальнейший путь.	140:144	0:145
путь	NOUN	1700	1700-1916	1700-1916_путь_4184-14		Грозное ополчение сухим путем и водою двинулось к югу.	24:29	0:54
путь	NOUN	1700	1700-1916	1700-1916_путь_4202-14		Мы повинуемся приказу показать тебе путь.	36:40	0:41
путь	NOUN	1700	1700-1916	1700-1916_путь_4182-14		(И нам не один раз случалось сбиваться в сторону под руководством этнх невежественных проводников и ожидать на месте, в глухой пустыне, утренней зари, чтобы, по какому нибудь кусточку или пальме на дальнем горизонте, они вывели нас на прямой путь к назначенному месту).	242:246	0:269
путь	NOUN	1700	1700-1916	1700-1916_путь_4156-14		Не желали идти по пути дальнейшего расследования!	18:22	0:49
путь	NOUN	1700	1700-1916	1700-1916_путь_4180-14		Но каким путем совершить это "великое моральное освобождение" Как соединить эту новую задачу, с другими священными задачами интеллигенции Искушение было велико: требовалось особое "гражданское" мужество, чтобы не счесть эту новую задачу за ближайшую, важнейшую задачу интеллигенции, чтобы стать выше односторонних забот о самосохранении.	9:14	0:337
путь	NOUN	1700	1700-1916	1700-1916_путь_4150-14		Три дня посвящены были на прощальные визиты, три другие дня -- на приготовления и снаряжение в путь.	95:99	0:100
