identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_радикал_534-14	1918-1990_радикал_535-14	0	1		радикал
1700-1916_радикал_542-14	1918-1990_радикал_543-14	0	1		радикал
1700-1916_радикал_540-14	1918-1990_радикал_541-14	0	1		радикал
1700-1916_радикал_504-14	1918-1990_радикал_505-14	0	3		радикал
1700-1916_радикал_514-14	1918-1990_радикал_515-14	0	1		радикал
1700-1916_радикал_552-14	1918-1990_радикал_553-14	0	1		радикал
1700-1916_радикал_550-14	1918-1990_радикал_551-14	0	1		радикал
1700-1916_радикал_520-14	1918-1990_радикал_521-14	0	1		радикал
1700-1916_радикал_506-14	1918-1990_радикал_507-14	0	1		радикал
1700-1916_радикал_516-14	1918-1990_радикал_517-14	0	4		радикал
1700-1916_радикал_508-14	1918-1990_радикал_509-14	0	4		радикал
1700-1916_радикал_546-14	1918-1990_радикал_547-14	0	1		радикал
1700-1916_радикал_554-14	1918-1990_радикал_555-14	0	1		радикал
1700-1916_радикал_544-14	1918-1990_радикал_545-14	0	3		радикал
1700-1916_радикал_510-14	1918-1990_радикал_511-14	0	1		радикал
1700-1916_радикал_548-14	1918-1990_радикал_549-14	0	1		радикал
1700-1916_радикал_526-14	1918-1990_радикал_527-14	0	3		радикал
1700-1916_радикал_502-14	1918-1990_радикал_503-14	0	4		радикал
1700-1916_радикал_528-14	1918-1990_радикал_529-14	0	1		радикал
1700-1916_радикал_538-14	1918-1990_радикал_539-14	0	2		радикал
1700-1916_радикал_556-14	1918-1990_радикал_557-14	0	1		радикал
1700-1916_радикал_524-14	1918-1990_радикал_525-14	0	1		радикал
1700-1916_радикал_536-14	1918-1990_радикал_537-14	0	1		радикал
1700-1916_радикал_522-14	1918-1990_радикал_523-14	0	1		радикал
1700-1916_радикал_532-14	1918-1990_радикал_533-14	0	1		радикал
1700-1916_радикал_518-14	1918-1990_радикал_519-14	0	1		радикал
1700-1916_радикал_498-14	1918-1990_радикал_499-14	0	1		радикал
1700-1916_радикал_530-14	1918-1990_радикал_531-14	0	4		радикал
1700-1916_радикал_512-14	1918-1990_радикал_513-14	0	1		радикал
1700-1916_радикал_500-14	1918-1990_радикал_501-14	0	3		радикал
1700-1916_радикал_518-14	1918-1990_радикал_519-14	1	2		радикал
1700-1916_радикал_520-14	1918-1990_радикал_521-14	1	1		радикал
1700-1916_радикал_506-14	1918-1990_радикал_507-14	1	1		радикал
1700-1916_радикал_498-14	1918-1990_радикал_499-14	1	1		радикал
1700-1916_радикал_502-14	1918-1990_радикал_503-14	1	3		радикал
1700-1916_радикал_522-14	1918-1990_радикал_523-14	1	1		радикал
1700-1916_радикал_500-14	1918-1990_радикал_501-14	1	3		радикал
1700-1916_радикал_524-14	1918-1990_радикал_525-14	1	1		радикал
1700-1916_радикал_504-14	1918-1990_радикал_505-14	1	4		радикал
1700-1916_радикал_554-14	1918-1990_радикал_555-14	1	3		радикал
1700-1916_радикал_546-14	1918-1990_радикал_547-14	1	1		радикал
1700-1916_радикал_532-14	1918-1990_радикал_533-14	1	1		радикал
1700-1916_радикал_534-14	1918-1990_радикал_535-14	1	1		радикал
1700-1916_радикал_556-14	1918-1990_радикал_557-14	1	1		радикал
1700-1916_радикал_536-14	1918-1990_радикал_537-14	1	1		радикал
1700-1916_радикал_510-14	1918-1990_радикал_511-14	1	1		радикал
1700-1916_радикал_526-14	1918-1990_радикал_527-14	1	1		радикал
1700-1916_радикал_530-14	1918-1990_радикал_531-14	1	4		радикал
1700-1916_радикал_528-14	1918-1990_радикал_529-14	1	1		радикал
1700-1916_радикал_512-14	1918-1990_радикал_513-14	1	1		радикал
1700-1916_радикал_540-14	1918-1990_радикал_541-14	1	1		радикал
1700-1916_радикал_538-14	1918-1990_радикал_539-14	1	4		радикал
1700-1916_радикал_508-14	1918-1990_радикал_509-14	1	4		радикал
1700-1916_радикал_552-14	1918-1990_радикал_553-14	1	1		радикал
1700-1916_радикал_514-14	1918-1990_радикал_515-14	1	1		радикал
1700-1916_радикал_550-14	1918-1990_радикал_551-14	1	1		радикал
1700-1916_радикал_548-14	1918-1990_радикал_549-14	1	1		радикал
1700-1916_радикал_544-14	1918-1990_радикал_545-14	1	3		радикал
1700-1916_радикал_516-14	1918-1990_радикал_517-14	1	3		радикал
1700-1916_радикал_542-14	1918-1990_радикал_543-14	1	1		радикал
1700-1916_радикал_518-14	1918-1990_радикал_519-14	2	1		радикал
1700-1916_радикал_520-14	1918-1990_радикал_521-14	2	1		радикал
1700-1916_радикал_510-14	1918-1990_радикал_511-14	2	1		радикал
1700-1916_радикал_514-14	1918-1990_радикал_515-14	2	1		радикал
1700-1916_радикал_512-14	1918-1990_радикал_513-14	2	1		радикал
1700-1916_радикал_516-14	1918-1990_радикал_517-14	2	1		радикал
1700-1916_радикал_522-14	1918-1990_радикал_523-14	2	1		радикал
1700-1916_радикал_556-14	1918-1990_радикал_557-14	2	1		радикал
1700-1916_радикал_534-14	1918-1990_радикал_535-14	2	1		радикал
1700-1916_радикал_536-14	1918-1990_радикал_537-14	2	1		радикал
1700-1916_радикал_532-14	1918-1990_радикал_533-14	2	1		радикал
1700-1916_радикал_530-14	1918-1990_радикал_531-14	2	4		радикал
1700-1916_радикал_528-14	1918-1990_радикал_529-14	2	1		радикал
1700-1916_радикал_526-14	1918-1990_радикал_527-14	2	1		радикал
1700-1916_радикал_544-14	1918-1990_радикал_545-14	2	4		радикал
1700-1916_радикал_524-14	1918-1990_радикал_525-14	2	1		радикал
1700-1916_радикал_550-14	1918-1990_радикал_551-14	2	1		радикал
1700-1916_радикал_508-14	1918-1990_радикал_509-14	2	4		радикал
1700-1916_радикал_548-14	1918-1990_радикал_549-14	2	1		радикал
1700-1916_радикал_542-14	1918-1990_радикал_543-14	2	1		радикал
1700-1916_радикал_540-14	1918-1990_радикал_541-14	2	1		радикал
1700-1916_радикал_538-14	1918-1990_радикал_539-14	2	2		радикал
1700-1916_радикал_504-14	1918-1990_радикал_505-14	2	4		радикал
1700-1916_радикал_502-14	1918-1990_радикал_503-14	2	3		радикал
1700-1916_радикал_506-14	1918-1990_радикал_507-14	2	1		радикал
1700-1916_радикал_500-14	1918-1990_радикал_501-14	2	4		радикал
1700-1916_радикал_498-14	1918-1990_радикал_499-14	2	1		радикал
1700-1916_радикал_554-14	1918-1990_радикал_555-14	2	1		радикал
1700-1916_радикал_546-14	1918-1990_радикал_547-14	2	1		радикал
1700-1916_радикал_552-14	1918-1990_радикал_553-14	2	1		радикал
