identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_риторика_4412-14	1918-1990_риторика_4413-14	0	1		риторика
1700-1916_риторика_4402-14	1918-1990_риторика_4403-14	0	1		риторика
1700-1916_риторика_4428-14	1918-1990_риторика_4429-14	0	3		риторика
1700-1916_риторика_4436-14	1918-1990_риторика_4437-14	0	3		риторика
1700-1916_риторика_4394-14	1918-1990_риторика_4395-14	0	2		риторика
1700-1916_риторика_4392-14	1918-1990_риторика_4393-14	0	3		риторика
1700-1916_риторика_4438-14	1918-1990_риторика_4439-14	0	3		риторика
1700-1916_риторика_4408-14	1918-1990_риторика_4409-14	0	2		риторика
1700-1916_риторика_4432-14	1918-1990_риторика_4433-14	0	2		риторика
1700-1916_риторика_4440-14	1918-1990_риторика_4441-14	0	2		риторика
1700-1916_риторика_4390-14	1918-1990_риторика_4391-14	0	3		риторика
1700-1916_риторика_4396-14	1918-1990_риторика_4397-14	0	4		риторика
1700-1916_риторика_4406-14	1918-1990_риторика_4407-14	0	2		риторика
1700-1916_риторика_4416-14	1918-1990_риторика_4417-14	0	4		риторика
1700-1916_риторика_4434-14	1918-1990_риторика_4435-14	0	4		риторика
1700-1916_риторика_4442-14	1918-1990_риторика_4443-14	0	4		риторика
1700-1916_риторика_4418-14	1918-1990_риторика_4419-14	0	3		риторика
1700-1916_риторика_4386-14	1918-1990_риторика_4387-14	0	4		риторика
1700-1916_риторика_4420-14	1918-1990_риторика_4421-14	0	4		риторика
1700-1916_риторика_4410-14	1918-1990_риторика_4411-14	0	3		риторика
1700-1916_риторика_4430-14	1918-1990_риторика_4431-14	0	4		риторика
1700-1916_риторика_4422-14	1918-1990_риторика_4423-14	0	4		риторика
1700-1916_риторика_4404-14	1918-1990_риторика_4405-14	0	4		риторика
1700-1916_риторика_4398-14	1918-1990_риторика_4399-14	0	2		риторика
1700-1916_риторика_4400-14	1918-1990_риторика_4401-14	0	4		риторика
1700-1916_риторика_4444-14	1918-1990_риторика_4445-14	0	3		риторика
1700-1916_риторика_4426-14	1918-1990_риторика_4427-14	0	3		риторика
1700-1916_риторика_4424-14	1918-1990_риторика_4425-14	0	3		риторика
1700-1916_риторика_4388-14	1918-1990_риторика_4389-14	0	3		риторика
1700-1916_риторика_4414-14	1918-1990_риторика_4415-14	0	4		риторика
1700-1916_риторика_4444-14	1918-1990_риторика_4445-14	1	2		риторика
1700-1916_риторика_4406-14	1918-1990_риторика_4407-14	1	4		риторика
1700-1916_риторика_4408-14	1918-1990_риторика_4409-14	1	1		риторика
1700-1916_риторика_4390-14	1918-1990_риторика_4391-14	1	3		риторика
1700-1916_риторика_4388-14	1918-1990_риторика_4389-14	1	4		риторика
1700-1916_риторика_4386-14	1918-1990_риторика_4387-14	1	3		риторика
1700-1916_риторика_4396-14	1918-1990_риторика_4397-14	1	4		риторика
1700-1916_риторика_4410-14	1918-1990_риторика_4411-14	1	2		риторика
1700-1916_риторика_4392-14	1918-1990_риторика_4393-14	1	4		риторика
1700-1916_риторика_4404-14	1918-1990_риторика_4405-14	1	2		риторика
1700-1916_риторика_4394-14	1918-1990_риторика_4395-14	1	1		риторика
1700-1916_риторика_4428-14	1918-1990_риторика_4429-14	1	4		риторика
1700-1916_риторика_4422-14	1918-1990_риторика_4423-14	1	2		риторика
1700-1916_риторика_4426-14	1918-1990_риторика_4427-14	1	3		риторика
1700-1916_риторика_4424-14	1918-1990_риторика_4425-14	1	3		риторика
1700-1916_риторика_4420-14	1918-1990_риторика_4421-14	1	2		риторика
1700-1916_риторика_4418-14	1918-1990_риторика_4419-14	1	2		риторика
1700-1916_риторика_4442-14	1918-1990_риторика_4443-14	1	4		риторика
1700-1916_риторика_4416-14	1918-1990_риторика_4417-14	1	1		риторика
1700-1916_риторика_4398-14	1918-1990_риторика_4399-14	1	3		риторика
1700-1916_риторика_4414-14	1918-1990_риторика_4415-14	1	4		риторика
1700-1916_риторика_4432-14	1918-1990_риторика_4433-14	1	4		риторика
1700-1916_риторика_4400-14	1918-1990_риторика_4401-14	1	4		риторика
1700-1916_риторика_4438-14	1918-1990_риторика_4439-14	1	4		риторика
1700-1916_риторика_4436-14	1918-1990_риторика_4437-14	1	4		риторика
1700-1916_риторика_4402-14	1918-1990_риторика_4403-14	1	1		риторика
1700-1916_риторика_4412-14	1918-1990_риторика_4413-14	1	1		риторика
1700-1916_риторика_4430-14	1918-1990_риторика_4431-14	1	1		риторика
1700-1916_риторика_4434-14	1918-1990_риторика_4435-14	1	4		риторика
1700-1916_риторика_4440-14	1918-1990_риторика_4441-14	1	4		риторика
1700-1916_риторика_4400-14	1918-1990_риторика_4401-14	2	4		риторика
1700-1916_риторика_4408-14	1918-1990_риторика_4409-14	2	4		риторика
1700-1916_риторика_4442-14	1918-1990_риторика_4443-14	2	3		риторика
1700-1916_риторика_4402-14	1918-1990_риторика_4403-14	2	2		риторика
1700-1916_риторика_4404-14	1918-1990_риторика_4405-14	2	4		риторика
1700-1916_риторика_4422-14	1918-1990_риторика_4423-14	2	4		риторика
1700-1916_риторика_4396-14	1918-1990_риторика_4397-14	2	4		риторика
1700-1916_риторика_4424-14	1918-1990_риторика_4425-14	2	4		риторика
1700-1916_риторика_4418-14	1918-1990_риторика_4419-14	2	1		риторика
1700-1916_риторика_4416-14	1918-1990_риторика_4417-14	2	4		риторика
1700-1916_риторика_4426-14	1918-1990_риторика_4427-14	2	3		риторика
1700-1916_риторика_4420-14	1918-1990_риторика_4421-14	2	4		риторика
1700-1916_риторика_4432-14	1918-1990_риторика_4433-14	2	4		риторика
1700-1916_риторика_4438-14	1918-1990_риторика_4439-14	2	4		риторика
1700-1916_риторика_4436-14	1918-1990_риторика_4437-14	2	4		риторика
1700-1916_риторика_4434-14	1918-1990_риторика_4435-14	2	4		риторика
1700-1916_риторика_4410-14	1918-1990_риторика_4411-14	2	3		риторика
