identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_роспись_4476-14	1918-1990_роспись_4477-14	0	1		роспись
1700-1916_роспись_4496-14	1918-1990_роспись_4497-14	0	1		роспись
1700-1916_роспись_4452-14	1918-1990_роспись_4453-14	0	1		роспись
1700-1916_роспись_4448-14	1918-1990_роспись_4449-14	0	3		роспись
1700-1916_роспись_4498-14	1918-1990_роспись_4499-14	0	1		роспись
1700-1916_роспись_4492-14	1918-1990_роспись_4493-14	0	1		роспись
1700-1916_роспись_4500-14	1918-1990_роспись_4501-14	0	1		роспись
1700-1916_роспись_4502-14	1918-1990_роспись_4503-14	0	1		роспись
1700-1916_роспись_4458-14	1918-1990_роспись_4459-14	0	3		роспись
1700-1916_роспись_4470-14	1918-1990_роспись_4471-14	0	1		роспись
1700-1916_роспись_4490-14	1918-1990_роспись_4491-14	0	4		роспись
1700-1916_роспись_4454-14	1918-1990_роспись_4455-14	0	3		роспись
1700-1916_роспись_4468-14	1918-1990_роспись_4469-14	0	1		роспись
1700-1916_роспись_4450-14	1918-1990_роспись_4451-14	0	1		роспись
1700-1916_роспись_4466-14	1918-1990_роспись_4467-14	0	1		роспись
1700-1916_роспись_4494-14	1918-1990_роспись_4495-14	0	1		роспись
1700-1916_роспись_4478-14	1918-1990_роспись_4479-14	0	1		роспись
1700-1916_роспись_4486-14	1918-1990_роспись_4487-14	0	2		роспись
1700-1916_роспись_4446-14	1918-1990_роспись_4447-14	0	3		роспись
1700-1916_роспись_4504-14	1918-1990_роспись_4505-14	0	1		роспись
1700-1916_роспись_4484-14	1918-1990_роспись_4485-14	0	1		роспись
1700-1916_роспись_4456-14	1918-1990_роспись_4457-14	0	1		роспись
1700-1916_роспись_4488-14	1918-1990_роспись_4489-14	0	1		роспись
1700-1916_роспись_4472-14	1918-1990_роспись_4473-14	0	1		роспись
1700-1916_роспись_4460-14	1918-1990_роспись_4461-14	0	1		роспись
1700-1916_роспись_4462-14	1918-1990_роспись_4463-14	0	1		роспись
1700-1916_роспись_4480-14	1918-1990_роспись_4481-14	0	1		роспись
1700-1916_роспись_4474-14	1918-1990_роспись_4475-14	0	1		роспись
1700-1916_роспись_4464-14	1918-1990_роспись_4465-14	0	4		роспись
1700-1916_роспись_4482-14	1918-1990_роспись_4483-14	0	1		роспись
1700-1916_роспись_4452-14	1918-1990_роспись_4453-14	1	1		роспись
1700-1916_роспись_4454-14	1918-1990_роспись_4455-14	1	1		роспись
1700-1916_роспись_4488-14	1918-1990_роспись_4489-14	1	1		роспись
1700-1916_роспись_4470-14	1918-1990_роспись_4471-14	1	1		роспись
1700-1916_роспись_4448-14	1918-1990_роспись_4449-14	1	1		роспись
1700-1916_роспись_4458-14	1918-1990_роспись_4459-14	1	1		роспись
1700-1916_роспись_4460-14	1918-1990_роспись_4461-14	1	1		роспись
1700-1916_роспись_4468-14	1918-1990_роспись_4469-14	1	1		роспись
1700-1916_роспись_4466-14	1918-1990_роспись_4467-14	1	1		роспись
1700-1916_роспись_4464-14	1918-1990_роспись_4465-14	1	3		роспись
1700-1916_роспись_4462-14	1918-1990_роспись_4463-14	1	1		роспись
1700-1916_роспись_4502-14	1918-1990_роспись_4503-14	1	1		роспись
1700-1916_роспись_4500-14	1918-1990_роспись_4501-14	1	1		роспись
1700-1916_роспись_4450-14	1918-1990_роспись_4451-14	1	3		роспись
1700-1916_роспись_4456-14	1918-1990_роспись_4457-14	1	1		роспись
1700-1916_роспись_4504-14	1918-1990_роспись_4505-14	1	1		роспись
1700-1916_роспись_4472-14	1918-1990_роспись_4473-14	1	1		роспись
1700-1916_роспись_4476-14	1918-1990_роспись_4477-14	1	3		роспись
1700-1916_роспись_4446-14	1918-1990_роспись_4447-14	1	2		роспись
1700-1916_роспись_4478-14	1918-1990_роспись_4479-14	1	1		роспись
1700-1916_роспись_4486-14	1918-1990_роспись_4487-14	1	1		роспись
1700-1916_роспись_4498-14	1918-1990_роспись_4499-14	1	1		роспись
1700-1916_роспись_4496-14	1918-1990_роспись_4497-14	1	1		роспись
1700-1916_роспись_4482-14	1918-1990_роспись_4483-14	1	1		роспись
1700-1916_роспись_4480-14	1918-1990_роспись_4481-14	1	1		роспись
1700-1916_роспись_4484-14	1918-1990_роспись_4485-14	1	3		роспись
1700-1916_роспись_4492-14	1918-1990_роспись_4493-14	1	1		роспись
1700-1916_роспись_4490-14	1918-1990_роспись_4491-14	1	3		роспись
1700-1916_роспись_4474-14	1918-1990_роспись_4475-14	1	1		роспись
1700-1916_роспись_4494-14	1918-1990_роспись_4495-14	1	1		роспись
1700-1916_роспись_4482-14	1918-1990_роспись_4483-14	2	1		роспись
1700-1916_роспись_4480-14	1918-1990_роспись_4481-14	2	1		роспись
1700-1916_роспись_4466-14	1918-1990_роспись_4467-14	2	2		роспись
1700-1916_роспись_4478-14	1918-1990_роспись_4479-14	2	1		роспись
1700-1916_роспись_4502-14	1918-1990_роспись_4503-14	2	1		роспись
1700-1916_роспись_4462-14	1918-1990_роспись_4463-14	2	1		роспись
1700-1916_роспись_4476-14	1918-1990_роспись_4477-14	2	4		роспись
1700-1916_роспись_4464-14	1918-1990_роспись_4465-14	2	3		роспись
1700-1916_роспись_4484-14	1918-1990_роспись_4485-14	2	1		роспись
1700-1916_роспись_4474-14	1918-1990_роспись_4475-14	2	1		роспись
1700-1916_роспись_4460-14	1918-1990_роспись_4461-14	2	1		роспись
1700-1916_роспись_4488-14	1918-1990_роспись_4489-14	2	1		роспись
1700-1916_роспись_4468-14	1918-1990_роспись_4469-14	2	1		роспись
1700-1916_роспись_4454-14	1918-1990_роспись_4455-14	2	1		роспись
1700-1916_роспись_4452-14	1918-1990_роспись_4453-14	2	1		роспись
1700-1916_роспись_4492-14	1918-1990_роспись_4493-14	2	1		роспись
