identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_собрат_4668-14	1918-1990_собрат_4669-14	0	2		собрат
1700-1916_собрат_4628-14	1918-1990_собрат_4629-14	0	3		собрат
1700-1916_собрат_4670-14	1918-1990_собрат_4671-14	0	4		собрат
1700-1916_собрат_4630-14	1918-1990_собрат_4631-14	0	3		собрат
1700-1916_собрат_4656-14	1918-1990_собрат_4657-14	0	4		собрат
1700-1916_собрат_4632-14	1918-1990_собрат_4633-14	0	4		собрат
1700-1916_собрат_4654-14	1918-1990_собрат_4655-14	0	2		собрат
1700-1916_собрат_4660-14	1918-1990_собрат_4661-14	0	4		собрат
1700-1916_собрат_4634-14	1918-1990_собрат_4635-14	0	3		собрат
1700-1916_собрат_4648-14	1918-1990_собрат_4649-14	0	4		собрат
1700-1916_собрат_4662-14	1918-1990_собрат_4663-14	0	3		собрат
1700-1916_собрат_4650-14	1918-1990_собрат_4651-14	0	4		собрат
1700-1916_собрат_4664-14	1918-1990_собрат_4665-14	0	3		собрат
1700-1916_собрат_4666-14	1918-1990_собрат_4667-14	0	3		собрат
1700-1916_собрат_4672-14	1918-1990_собрат_4673-14	0	4		собрат
1700-1916_собрат_4652-14	1918-1990_собрат_4653-14	0	1		собрат
1700-1916_собрат_4626-14	1918-1990_собрат_4627-14	0	4		собрат
1700-1916_собрат_4658-14	1918-1990_собрат_4659-14	0	4		собрат
1700-1916_собрат_4676-14	1918-1990_собрат_4677-14	0	3		собрат
1700-1916_собрат_4640-14	1918-1990_собрат_4641-14	0	3		собрат
1700-1916_собрат_4684-14	1918-1990_собрат_4685-14	0	4		собрат
1700-1916_собрат_4642-14	1918-1990_собрат_4643-14	0	4		собрат
1700-1916_собрат_4674-14	1918-1990_собрат_4675-14	0	3		собрат
1700-1916_собрат_4636-14	1918-1990_собрат_4637-14	0	2		собрат
1700-1916_собрат_4644-14	1918-1990_собрат_4645-14	0	4		собрат
1700-1916_собрат_4678-14	1918-1990_собрат_4679-14	0	4		собрат
1700-1916_собрат_4682-14	1918-1990_собрат_4683-14	0	4		собрат
1700-1916_собрат_4646-14	1918-1990_собрат_4647-14	0	2		собрат
1700-1916_собрат_4680-14	1918-1990_собрат_4681-14	0	4		собрат
1700-1916_собрат_4638-14	1918-1990_собрат_4639-14	0	4		собрат
1700-1916_собрат_4670-14	1918-1990_собрат_4671-14	1	4		собрат
1700-1916_собрат_4682-14	1918-1990_собрат_4683-14	1	3		собрат
1700-1916_собрат_4672-14	1918-1990_собрат_4673-14	1	4		собрат
1700-1916_собрат_4668-14	1918-1990_собрат_4669-14	1	4		собрат
1700-1916_собрат_4658-14	1918-1990_собрат_4659-14	1	4		собрат
1700-1916_собрат_4684-14	1918-1990_собрат_4685-14	1	4		собрат
1700-1916_собрат_4662-14	1918-1990_собрат_4663-14	1	3		собрат
1700-1916_собрат_4680-14	1918-1990_собрат_4681-14	1	4		собрат
1700-1916_собрат_4650-14	1918-1990_собрат_4651-14	1	3		собрат
1700-1916_собрат_4656-14	1918-1990_собрат_4657-14	1	3		собрат
1700-1916_собрат_4678-14	1918-1990_собрат_4679-14	1	4		собрат
1700-1916_собрат_4652-14	1918-1990_собрат_4653-14	1	4		собрат
1700-1916_собрат_4676-14	1918-1990_собрат_4677-14	1	4		собрат
1700-1916_собрат_4654-14	1918-1990_собрат_4655-14	1	2		собрат
1700-1916_собрат_4660-14	1918-1990_собрат_4661-14	1	3		собрат
1700-1916_собрат_4638-14	1918-1990_собрат_4639-14	1	4		собрат
1700-1916_собрат_4674-14	1918-1990_собрат_4675-14	1	2		собрат
1700-1916_собрат_4632-14	1918-1990_собрат_4633-14	1	4		собрат
1700-1916_собрат_4646-14	1918-1990_собрат_4647-14	1	2		собрат
1700-1916_собрат_4628-14	1918-1990_собрат_4629-14	1	4		собрат
1700-1916_собрат_4634-14	1918-1990_собрат_4635-14	1	4		собрат
1700-1916_собрат_4642-14	1918-1990_собрат_4643-14	1	4		собрат
1700-1916_собрат_4644-14	1918-1990_собрат_4645-14	1	3		собрат
1700-1916_собрат_4630-14	1918-1990_собрат_4631-14	1	4		собрат
1700-1916_собрат_4640-14	1918-1990_собрат_4641-14	1	4		собрат
1700-1916_собрат_4664-14	1918-1990_собрат_4665-14	1	3		собрат
1700-1916_собрат_4666-14	1918-1990_собрат_4667-14	1	3		собрат
1700-1916_собрат_4626-14	1918-1990_собрат_4627-14	1	4		собрат
1700-1916_собрат_4636-14	1918-1990_собрат_4637-14	1	4		собрат
1700-1916_собрат_4648-14	1918-1990_собрат_4649-14	1	4		собрат
1700-1916_собрат_4678-14	1918-1990_собрат_4679-14	2	4		собрат
1700-1916_собрат_4644-14	1918-1990_собрат_4645-14	2	1		собрат
1700-1916_собрат_4680-14	1918-1990_собрат_4681-14	2	4		собрат
1700-1916_собрат_4684-14	1918-1990_собрат_4685-14	2	4		собрат
1700-1916_собрат_4642-14	1918-1990_собрат_4643-14	2	4		собрат
1700-1916_собрат_4674-14	1918-1990_собрат_4675-14	2	2		собрат
1700-1916_собрат_4640-14	1918-1990_собрат_4641-14	2	3		собрат
1700-1916_собрат_4672-14	1918-1990_собрат_4673-14	2	4		собрат
1700-1916_собрат_4682-14	1918-1990_собрат_4683-14	2	4		собрат
1700-1916_собрат_4638-14	1918-1990_собрат_4639-14	2	4		собрат
1700-1916_собрат_4676-14	1918-1990_собрат_4677-14	2	3		собрат
1700-1916_собрат_4646-14	1918-1990_собрат_4647-14	2	4		собрат
1700-1916_собрат_4662-14	1918-1990_собрат_4663-14	2	4		собрат
1700-1916_собрат_4636-14	1918-1990_собрат_4637-14	2	4		собрат
1700-1916_собрат_4666-14	1918-1990_собрат_4667-14	2	4		собрат
1700-1916_собрат_4670-14	1918-1990_собрат_4671-14	2	4		собрат
1700-1916_собрат_4664-14	1918-1990_собрат_4665-14	2	2		собрат
1700-1916_собрат_4648-14	1918-1990_собрат_4649-14	2	4		собрат
1700-1916_собрат_4660-14	1918-1990_собрат_4661-14	2	4		собрат
1700-1916_собрат_4634-14	1918-1990_собрат_4635-14	2	4		собрат
1700-1916_собрат_4650-14	1918-1990_собрат_4651-14	2	2		собрат
1700-1916_собрат_4632-14	1918-1990_собрат_4633-14	2	4		собрат
1700-1916_собрат_4630-14	1918-1990_собрат_4631-14	2	4		собрат
1700-1916_собрат_4654-14	1918-1990_собрат_4655-14	2	4		собрат
1700-1916_собрат_4628-14	1918-1990_собрат_4629-14	2	4		собрат
1700-1916_собрат_4656-14	1918-1990_собрат_4657-14	2	2		собрат
1700-1916_собрат_4626-14	1918-1990_собрат_4627-14	2	4		собрат
1700-1916_собрат_4668-14	1918-1990_собрат_4669-14	2	4		собрат
1700-1916_собрат_4652-14	1918-1990_собрат_4653-14	2	2		собрат
1700-1916_собрат_4658-14	1918-1990_собрат_4659-14	2	4		собрат
