lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4694-14		-- В этих главах вы гораздо ближе к действительности, чем в первом томе; тут везде слышится жизнь, как она есть, без всяких преувеличений; а описание сада -- верх совершенства".	163:175	0:177
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4742-14		Но существование общества зависит не от совершенства некоторых, а от безопасности всех.	40:52	0:87
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4720-14		На том же ложном основании стоит и господствующее ныне учение о совершенствах демократии и демократического правления.	64:77	0:118
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4726-14		Ясно в самом деле, что бесконечная сила представления и понимания всего может дать нам лишь образ ("схему") совершенства, тогда как бесконечное стремление, имея целью действительное осуществление совершенства, есть начало нашего подобия живому Богу, который есть совершенство не в идее только, а в действительности, к чему и мы стремимся.	108:120	0:338
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4718-14		Те же члены церквей, которые лично достигали тогда совершенства, уже не имели и не могли иметь рабов, потому что таковые обращались в братьев, а брат, воистину брат, не может иметь своего брата у себя рабом.	51:63	0:207
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4722-14		Когда же Божество сие должно иметь в себе все совершенства в высочайшей степени, когда премудрость его есть беспредельная, то следует, что все сие создано на особливый и известный конец.	46:58	0:186
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4716-14		За пределами знакомого села и ближайших полей, которые он изучил в совершенстве, Петр терялся, больше чувствовал свою слепоту и становился раздражителен и беспокоен.	67:79	0:165
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4714-14		Вы -- совершенство, вы -- "бурный паладин свободного искусства", Вы -- надежда наша, я люблю, я чту Вас".	6:18	0:105
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4712-14		-- Чудное, ясное небо, распростертое надо мною, возбуждает во мне какое-то невыразимое чувство восторга и стремление к высшему совершенству".	127:139	0:141
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4686-14		Немного Выше он сказал, что "добро не может содействовать рождению зла"; но теперешним своим рассуждением, утверждая, что существо, произведшее его, было сама благость и совершенство, он поставляет, что добро не только содействовало злу, но и было причиною происхождения его; следственно, столь разногласные предложения взаимно одно другое испровергают и уничтожают.	170:182	0:366
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4710-14		Да, мессеры, скажу не о себе, -- я знаю, сколь многого недостает мне, -- но о таком художнике, который достиг совершенства: воистину, по силе созерцания, он уже не человек.	110:122	0:172
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4724-14		Здсь то, сказалъ я, есть согласе всего различнаго, слдовательно и самое большее совершенство.	80:92	0:93
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4736-14		Ну как сравнить себя хоть одно мгновение с таким существом, как светская девица, с таким утонченным совершенством, начиная с воспитания, с локонов, с газового платья, с танцев, с невинности, с простодушной, но вместе с тем со светской прелестью суждений и чувств ее И представить себе, что всё это войдет в мою квартиру, а я буду даже в халате, -- вы смеетесь А между тем это ужасная мысль!	100:113	0:390
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4734-14		Она вправе даже предвидеть время, когда люди достигнут такой степени совершенства, что вместо удовольствия от пользования симпатией ближнего они будут положительно отвергать ее.	69:81	0:177
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4732-14		и вообще о всем том, что принадлежит так сказать к вещественному совершенству речи, были разрешаемы, под руководством Греков и римлян, Бодмерами и Брейтингерами, и превосходство древних в расположении и слог признано было их отличительным качеством.	65:77	0:249
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4738-14		Требуется процесс совершенствования как неизбежный путь к совершенству, так что безусловное повеление "будьте совершенны" означает на деле: становитесь совершенными.	18:35	0:165
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4704-14		Подражание таким вышеестественным действиям мужей духоносных невозможно для тех, которые не достигли равного им христианского совершенства.	126:138	0:139
совершенство	NOUN	1700	1700-1916	1700-1916_совершенство_4730-14		Фактические победы европейцев над "дикарями" как доказательство большего "совершенства" европейской культуры по сравнению с культурами "дикарей" следует толковать в смысле большего "совершенства" культур с точки зрения силы.	74:86	0:224
