lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4826-14		И потом вскоре взята резолюция промысл чинить, а имянно: положено у всех союзников с общаго совету неприятеля, близ Тонинга в Гардинге стоящаго, атакировать.	73:82	0:157
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4862-14		Союзники спешили к Твери; там засели Зборовский и Керносицкий, быв подкреплены тушинским войском.	0:8	0:97
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4808-14		Что бы ни было далее -- мы не забудем этого "союзникам".	45:54	0:56
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4806-14		Мазепа жаловался на ослушанье, Август просил удовлетворения; Петр повелевал оставить в покое своего союзника, но ожесточенные полководцы делали свое, ничему не внимая.	100:108	0:167
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4812-14		Вследствие этого обстоятельства Кисель тянул к Руси, к русскому народу, был врагом унии; но, с другой стороны, будучи знатным и богатым землевладельцем на Украйне, он смотрел на народонаселение своих земель совершенно панскими глазами и сильно не сочувствовал козакам, которые, являясь защитниками православия, прежде всего были союзниками хлопства: в козаки бежали хлопы, не хотевшие жить в крестьянстве, а этого пан Кисель не мог сносить хладнокровно.	329:339	0:453
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4842-14		В ту минуту, как я пишу к тебе, союзник, пастор Фриц уезжает в Берн, чтобы отклонить врагов республики от унизительного для нас требования; но если он не успеет в своем предприятии до полудня, то нам, как и другим нашим союзникам, остается умереть, отстаивая наши штандарты.	32:39	0:274
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4860-14		Гарнизон должен по условию возвратиться во Францию и в течение одного года не служить против союзников.	93:102	0:103
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4814-14		Союз с татарами не по душе был народу, потому что эти союзники, вступая в русскую землю, под видом дружбы, уводили в плен женщин и детей.	54:62	0:137
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4858-14		Мансфельд, верный союзник короля датского, желая воспрепятствовать соединению армии имперской с баварскою, повел свои войска к Дессау и, расположась на берегу Эльбы, стал укрепляться там за окопами.	18:25	0:198
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4816-14		Это -- говорят союзники, -- нужно для того, чтобы православнее духовенство по ошибке не делало покупок у евреев.	15:23	0:112
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4818-14		въ провожани 500 человкъ вооруженныхъ пошелъ въ Ханской лагерь на аудэнцю; и дабы ни подданные ни союзники Хана отъ Россянъ, ниже си отъ оныхъ никакова не имли опасеня: то об парти, каждая по своему обыкновеню, учинили взаимную присягу.	98:106	0:236
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4856-14		Да хотя бы Арат и надеялся на покровительство своих союзников, то бы много прошло между тем времени, как бы он послал послов, и вступал бы в переговоры, а проворный, прилежный, неутомимый Клеомен вел бы в то время войну стремительно, и не терял бы ни единаго мгновения.	52:61	0:269
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4820-14		Петр Великий, не приобыкший жертвовать своих союзников собственным прибыткам, лучше желал уступить туркам знатную часть земли, которую при случае паки возвратить мог, нежели отдать им в руки князя, который из одной любви к нему оставил свое княжение.	45:54	0:250
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4810-14		В то же время черниговцы, дружина Святославова и половцы, их союзники, опустошили Брагин.	61:69	0:89
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4854-14		По телеграфу, телефону, почте от наших корреспондентов, Петербургскаго Телеграфнаго Агентства Жертва киевских союзников Киев, 9, IX.	110:119	0:132
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4824-14		Даниил Александрович Московский, брат и союзник Андреев, дружелюбно впустив татар в свой город, не мог защитить его от грабежа.	40:47	0:127
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4822-14		-- Хотя дрезденское дело и нельзя считать поражением, как о том гласили тогда все французские бюллетени, оно было только неудачною аттакою, но со всем тем оно имело совершенно вид поражения потому, что войска союзников должны были отступить, и отступление это в бурную осеннюю ночь, со множеством раненных, по размокшим от дождя дорогам и в ужасном беспорядке, производило весьма печальное действие.	209:218	0:399
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4852-14		Наши заводы, вырабатывающие в Японии ружья по системе Маузера, заводы в Японии, работающие пушки по системе Круппа, превосходные пушки Canot и орудия Армстронга для моря, -- вот наши лучшие союзники.	190:198	0:199
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4830-14		Но и прежние союзники не обижаются и всеми мерами переманивают Александра на свою сторону.	13:21	0:90
союзник	NOUN	1700	1700-1916	1700-1916_союзник_4846-14		Разразилась свирепая война между нами и Турцией и англо-французскими ее союзниками в виду Европы, приготовляющейся к коалиции...	72:82	0:128
