identifier1	identifier2	annotator	judgment	comment	lemma
5106	5107	0	4		стол
5106	5107	1	4		стол
5106	5107	2	4		стол
5108	5109	0	4		стол
5108	5109	1	4		стол
5108	5109	2	4		стол
5110	5111	0	4		стол
5110	5111	1	4		стол
5110	5111	2	4		стол
5112	5113	0	4		стол
5112	5113	1	4		стол
5112	5113	2	4		стол
5114	5115	0	4		стол
5114	5115	1	4		стол
5114	5115	2	4		стол
5116	5117	0	4		стол
5116	5117	1	4		стол
5116	5117	2	4		стол
5118	5119	0	4		стол
5118	5119	1	4		стол
5118	5119	2	NaN		стол
5120	5121	0	4		стол
5120	5121	1	4		стол
5120	5121	2	3		стол
5122	5123	0	3		стол
5122	5123	1	1		стол
5122	5123	2	1		стол
5124	5125	0	4		стол
5124	5125	1	4		стол
5124	5125	2	4		стол
5126	5127	0	4		стол
5126	5127	1	4		стол
5126	5127	2	4		стол
5128	5129	0	2		стол
5128	5129	1	4		стол
5128	5129	2	4		стол
5130	5131	0	4		стол
5130	5131	1	4		стол
5130	5131	2	4		стол
5132	5133	0	1		стол
5132	5133	1	2		стол
5132	5133	2	4		стол
5134	5135	0	4		стол
5134	5135	1	1		стол
5134	5135	2	4		стол
5136	5137	0	2		стол
5136	5137	1	1		стол
5136	5137	2	1		стол
5138	5139	0	4		стол
5138	5139	1	4		стол
5138	5139	2	4		стол
5140	5141	0	4		стол
5140	5141	1	4		стол
5140	5141	2	4		стол
5142	5143	0	4		стол
5142	5143	1	4		стол
5142	5143	2	4		стол
5144	5145	0	2		стол
5144	5145	1	4		стол
5144	5145	2	4		стол
5146	5147	0	1		стол
5146	5147	1	1		стол
5146	5147	2	1		стол
5148	5149	0	4		стол
5148	5149	1	2		стол
5148	5149	2	4		стол
5150	5151	0	4		стол
5150	5151	1	4		стол
5150	5151	2	4		стол
5152	5153	0	4		стол
5152	5153	1	4		стол
5152	5153	2	4		стол
5154	5155	0	4		стол
5154	5155	1	4		стол
5154	5155	2	4		стол
5156	5157	0	3		стол
5156	5157	1	4		стол
5156	5157	2	3		стол
5158	5159	0	4		стол
5158	5159	1	4		стол
5158	5159	2	4		стол
5160	5161	0	4		стол
5160	5161	1	4		стол
5160	5161	2	4		стол
5162	5163	0	4		стол
5162	5163	1	4		стол
5162	5163	2	4		стол
5164	5165	0	1		стол
5164	5165	1	4		стол
5164	5165	2	4		стол
