identifier1	identifier2	annotator	judgment	comment	lemma
5406	5407	0	4		удобство
5406	5407	1	4		удобство
5406	5407	2	3		удобство
5408	5409	0	1		удобство
5408	5409	1	1		удобство
5408	5409	2	2		удобство
5410	5411	0	2		удобство
5410	5411	1	1		удобство
5410	5411	2	4		удобство
5412	5413	0	3		удобство
5412	5413	1	2		удобство
5412	5413	2	3		удобство
5414	5415	0	1		удобство
5414	5415	1	4		удобство
5414	5415	2	4		удобство
5416	5417	0	3		удобство
5416	5417	1	2		удобство
5416	5417	2	1		удобство
5418	5419	0	1		удобство
5418	5419	1	4		удобство
5418	5419	2	1		удобство
5420	5421	0	4		удобство
5420	5421	1	1		удобство
5420	5421	2	2		удобство
5422	5423	0	3		удобство
5422	5423	1	1		удобство
5422	5423	2	1		удобство
5424	5425	0	1		удобство
5424	5425	1	4		удобство
5424	5425	2	4		удобство
5426	5427	0	2		удобство
5426	5427	1	1		удобство
5426	5427	2	1		удобство
5428	5429	0	1		удобство
5428	5429	1	1		удобство
5428	5429	2	1		удобство
5430	5431	0	1		удобство
5430	5431	1	4		удобство
5430	5431	2	3		удобство
5432	5433	0	2		удобство
5432	5433	1	2		удобство
5432	5433	2	2		удобство
5434	5435	0	2		удобство
5434	5435	1	4		удобство
5434	5435	2	2		удобство
5436	5437	0	4		удобство
5436	5437	1	1		удобство
5436	5437	2	1		удобство
5438	5439	0	3		удобство
5438	5439	1	3		удобство
5438	5439	2	4		удобство
5440	5441	0	1		удобство
5440	5441	1	2		удобство
5440	5441	2	1		удобство
5442	5443	0	2		удобство
5442	5443	1	4		удобство
5442	5443	2	4		удобство
5444	5445	0	1		удобство
5444	5445	1	1		удобство
5444	5445	2	1		удобство
5446	5447	0	4		удобство
5446	5447	1	4		удобство
5446	5447	2	2		удобство
5448	5449	0	4		удобство
5448	5449	1	4		удобство
5448	5449	2	3		удобство
5450	5451	0	2		удобство
5450	5451	1	4		удобство
5450	5451	2	4		удобство
5452	5453	0	1		удобство
5452	5453	1	1		удобство
5452	5453	2	1		удобство
5454	5455	0	2		удобство
5454	5455	1	2		удобство
5454	5455	2	2		удобство
5456	5457	0	4		удобство
5456	5457	1	3		удобство
5456	5457	2	2		удобство
5458	5459	0	4		удобство
5458	5459	1	1		удобство
5458	5459	2	1		удобство
5460	5461	0	4		удобство
5460	5461	1	4		удобство
5460	5461	2	2		удобство
5462	5463	0	4		удобство
5462	5463	1	4		удобство
5462	5463	2	2		удобство
5464	5465	0	4		удобство
5464	5465	1	2		удобство
5464	5465	2	4		удобство
