lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
удобство	NOUN	1700	1700-1916	1700-1916_удобство_5406		"Одна петербургская газета, в корреспонденции из Москвы, полученная здесь как раз накануне торжества, зловеще сулила какой-то индийский танец, качучу () на могиле великого поэта, качучу, которую хотят якобы проплясать ""ожиревшие краснокожие либерализма"", прибавляя, что пропляшут этот танец вышеуказанные краснокожие ""для удобства своего дебоша""!"	321:329	0:345	5406	rushifteval	ru
удобство	NOUN	1918	1918-1990	1918-1990_удобство_5407		"-- Я знаю, что вы сейчас вне революционных дел, это меня радует, но все-таки для удобства нашего разговора я буду говорить ""вы, большевики""."	81:89	0:140	5407	rushifteval	ru
удобство	NOUN	1700	1700-1916	1700-1916_удобство_5408		Удобства, на которые указывает Морозов, относятся не к одной только географической науке.	0:8	0:89	5408	rushifteval	ru
удобство	NOUN	1918	1918-1990	1918-1990_удобство_5409		Изъ ученаго педантизма и для удобства изложеня я обозначилъ ихъ буквами.	29:37	0:72	5409	rushifteval	ru
удобство	NOUN	1700	1700-1916	1700-1916_удобство_5410		Для удобства публики слушание перенесено в Большой зал.	4:12	0:55	5410	rushifteval	ru
удобство	NOUN	1918	1918-1990	1918-1990_удобство_5411		При всей грандиозности строений Америки, при всей недосягаемости для Европы быстроты американской стройки, высоты американских небоскребов, их удобств и вместительности -- и дома Америки, в общем, производят странное временное впечатление.	143:150	0:239	5411	rushifteval	ru
удобство	NOUN	1700	1700-1916	1700-1916_удобство_5412		А между тем Аврора по целым часам скакала верхом или одна, или в сопровождении конюха; она ходила с Дешартром на охоту и к больным (старик занимался леченьем и искусно делал мелкие операции), иногда ради удобства при длинных прогулках надевая мужской костюм; встречаясь с некоторыми молодыми людьми, детьми бывших друзей своего отца, она протягивала им руку и смело заговаривала с ними о разных серьезных вопросах; один из этих молодых людей даже несколько недель сряду давал ей уроки физики и анатомии.	204:212	0:503	5412	rushifteval	ru
удобство	NOUN	1918	1918-1990	1918-1990_удобство_5413		Душевную приязнь, чувство душевного удобства возбуждали во мне очень немногие из моих собратьев.	36:44	0:96	5413	rushifteval	ru
удобство	NOUN	1700	1700-1916	1700-1916_удобство_5414		Прибавим к этому единственное в мире как по удобству защиты, так и по важности защищаемого стратегическое положение, прелестный климат, несравненную красоту окружающей природы, наконец, великие мировые, истинно царственные исторические воспоминания и соединенное с ними громадное нравственное значение.	44:52	0:302	5414	rushifteval	ru
удобство	NOUN	1918	1918-1990	1918-1990_удобство_5415		При решении улиц необходимо достигать максимального удобства сообщений между отдельными частями города по возможно кратчайшим направлениям.	52:60	0:139	5415	rushifteval	ru
удобство	NOUN	1700	1700-1916	1700-1916_удобство_5416		Но тем не менее такая быстрая смена поколений не может считаться нормальным явлением; она, так же как и небольшая средняя продолжительность жизни отдельных индивидов, указывает на плохое санитарное состояние народа и прежде всего на недостаток самых необходимых средств к существованию и всех удобств жизни.	293:300	0:307	5416	rushifteval	ru
удобство	NOUN	1918	1918-1990	1918-1990_удобство_5417		"Комичность здесь условна; она вызвана только тем, что автор пользуется традиционной литературной формой сатиры; но возьмем, например, Данте и его ""Inferno"" с трагическим описанием людских пороков и галереей страдальцев (вот случай, когда перемена мест и экспозиция лиц не диктуется ""удобством"" для осмеяния, как обыкновенно объясняют структуру сатиры), и мы поймем, что перед нами один и тот же материал, в прошлом -- культовый, оформление которого в двух различных социальных условиях дает различный жанр."	283:292	0:506	5417	rushifteval	ru
удобство	NOUN	1700	1700-1916	1700-1916_удобство_5418		"Удовлетворение потребностей -- хорошая пища, чистота, свобода -- теперь, когда он был лишен всего этого, казались Пьеру совершенным счастием, а выбор занятия, то есть жизнь, теперь, когда выбор этот был так ограничен, казался ему таким легким делом, что он забывал то, что избыток удобств жизни уничтожает все счастие удовлетворения потребностей, а большая свобода выбора занятий, -- та свобода, которую ему в его жизни давали образование, богатство, положение в свете, -- что эта-то свобода и делает выбор занятий неразрешимо трудным и уничтожает самую потребность и возможность занятия""."	281:288	0:589	5418	rushifteval	ru
удобство	NOUN	1918	1918-1990	1918-1990_удобство_5419		В башенном отд., куда газ поступает, пройдя пыльную камеру, сконцентрирован для удобства наблюдения весь механический и регулирующий аппарат.	80:88	0:141	5419	rushifteval	ru
удобство	NOUN	1700	1700-1916	1700-1916_удобство_5420		Ясно, что при подобной постановке проблемы, можно с большим удобством именовать себя социалистом, не будучи им.	60:69	0:111	5420	rushifteval	ru
удобство	NOUN	1918	1918-1990	1918-1990_удобство_5421		Классификация, таким образом, проводится для удобства и в значительной мере искусственна.	45:53	0:89	5421	rushifteval	ru
