lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
фаворит	NOUN	1700	1700-1916	1700-1916_фаворит_5646		-- А знаешь ли ты, что сейчас, сию минуту, ты первый вылетишь вон из спальни -- задал он вопрос всесильному фавориту.	108:116	0:117	5646	rushifteval	ru
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5647		Хотя фаворитом Васильчиковым он и был отодвинут на задворки в сердце коварной императрицы, хотя невзирая на все попытки, он и не надеялся восстановить былой взаимности с Екатериной, тем не менее он продолжал жить во дворце и пользоваться покровительством её величества.	5:14	0:269	5647	rushifteval	ru
фаворит	NOUN	1700	1700-1916	1700-1916_фаворит_5648		Это была Венерка, которая оплыла хозяина мимо самого его носа и, легко выскочив на берег, в десять прыжков догнала своего фаворита.	122:130	0:131	5648	rushifteval	ru
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5649		Неважно, кого он наземь поверг и ногами топтал с громкими криками и поношениями, важно лишь, что оказал тем самым неуважение фавориту Анны Иоанновны.	125:133	0:149	5649	rushifteval	ru
фаворит	NOUN	1700	1700-1916	1700-1916_фаворит_5650		С тех пор я -- ее фаворит, и нас, что называется, водой не разольешь.	18:25	0:69	5650	rushifteval	ru
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5651		Есть у нас такая примета: Корифей угадывает только битейших фаворитов.	60:69	0:70	5651	rushifteval	ru
фаворит	NOUN	1700	1700-1916	1700-1916_фаворит_5652		"Если мы обратим внимание на условия, при которых приходилось жить и действовать Воронцовым, то должны признаться, что в атмосфере лести и угодничества, в раболепной обстановке, окружавшей фаворитов и ""случайных"" людей тогдашнего времени, и притом в стране, где ""почти не было общественного мнения"" (по выражению автобиографической записки графа Александра Воронцова), самостоятельность убеждений и отсутствие льстивой угодливости составляли, несомненно, редкое и высокое достоинство."	189:198	0:483	5652	rushifteval	ru
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5653		Придворные угадывали, что фортуна неудачливого фаворита Васильчикова уже клонится долу, а князь Орлов, вызванный Екатериной из Гатчины, вряд ли сумеет вернуть себе утраченное расположение императрицы.	47:55	0:200	5653	rushifteval	ru
фаворит	NOUN	1700	1700-1916	1700-1916_фаворит_5654		Кочнев его не брал с собою, оберегая своего фаворита от гнева Чертовой Зуды, которого угрюмый матрос ненавидел, казалось, больше, чем другие.	44:52	0:141	5654	rushifteval	ru
фаворит	NOUN	1918	1918-1990	1918-1990_фаворит_5655		За креслом Петра стоял осиротевший фаворит покойной императрицы Иван Иванович Шувалов.	35:42	0:86	5655	rushifteval	ru
