lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
формат	NOUN	1700	1700-1916	1700-1916_формат_5714-14		Эту процедуру при конспирации фамилий присутствующих решено было проделать следующим образом: все заняли строго определённое место, и всякий был назван известным номером; мне пришлось числиться, кажется, 13-м, каждый получил по кусочку чистой бумаги равного формата, вписывал на эту бумажку номер человека, которого он желал выбрать, свёртывал её, потом клал, кажется, в шапку, где перемешанные бумажки просчитывались, и чей номер был написан больше раз, тот и считался выбранным.	258:265	0:480
формат	NOUN	1700	1700-1916	1700-1916_формат_5738-14		Приготовил я теперь 10-ый том, и, собрав все это, я увидел, что корреспонденции этих так много, что одни они, напечатанные сплошь, составят около 22 печ[атных] листов такого формата, как беллетрист[ика] "Рус[ской] мысли".	174:181	0:221
формат	NOUN	1700	1700-1916	1700-1916_формат_5736-14		Одно из них, второе, было на двух почтовых листах, мелко исписанных, большого формата.	78:85	0:86
формат	NOUN	1700	1700-1916	1700-1916_формат_5764-14		Прежде всего, по своему формату, будучи построена не в длину, а в высоту.	24:31	0:73
формат	NOUN	1700	1700-1916	1700-1916_формат_5708-14		Затем он издал в одном томе форматом in 16R "Афоризмы" Гиппократа и "Ars parva" Галена в латинских переводах с комментариями и ссылками на греческий текст.	28:36	0:155
формат	NOUN	1700	1700-1916	1700-1916_формат_5762-14		Не употребляя почти никогда пера и чернил, он писал всегда карандашом, на бумаге самого большого формата, перегибая ее в пол-листа, и тут -- особенно в работах важнейших -- и поля были исписываемы, и самый текст беспощадно перемарываем, так что иногда стоило большого труда разобрать его, впрочем, мужественный и прекрасный почерк.	97:104	0:331
формат	NOUN	1700	1700-1916	1700-1916_формат_5734-14		На столе лежали не карты, а фотографические карточки обыкновенного формата, снятые с картона и наклеенные на игральные карты.	67:74	0:125
формат	NOUN	1700	1700-1916	1700-1916_формат_5760-14		Прощай; живи счастливо с твоим Ч. Перебелив духовную на большого формата почтовый лист, Бреднева, прикусив губу, со вниманием перечла еще раз написанное, исправила кое-где знаки препинания, потом зажгла черновую на свечке, бросила ее на пол и обождала, пока не обуглился и не свернулся последний уголок ее.	65:72	0:306
формат	NOUN	1700	1700-1916	1700-1916_формат_5722-14		Сидит, сказывал, лоскут красного, чернилами испятнанного сукна подостлавши, затирает чернильные орешки с купоросом, с камедью, чинит перья-скорописчики, ножички подтачивает, смолку на подчистку изготовляет; сват Демьян подошел было к нему сдуру во сне, хотел поглядеть на него, так тот накормил его палями, напоил чернилами да начал было на него писать на листе форменного формата донос; так мой Демьян от него отрекся, отчурался; я, говорит, ни вор, ни пьяница, в домостроительстве не замечен, так во мне для тебя, хоть ты двадцать стоп испиши, ни русла, ни ремесла; человек я маленький, полуграмотный, шкурка на мне тоненькая, да и та казенная; пишу я по-казацки, супостата шашкою по затылку, коня донского нагайкою по ребрам; так ты отвяжись и не пятнай доброй славы моей, чтобы всяк мог говорить и ныне, как говаривали встарь: Таки не гуляе!	373:380	0:845
формат	NOUN	1700	1700-1916	1700-1916_формат_5758-14		Этого времени было нам вдоволь и для дружеских бесед, и для занимательного, а иногда и полезного чтения, так как каждый из нас приносил с собою какую-нибудь книжку, обыкновенно небольшого формата, чтобы укладывалась в задний карман сюртука.	188:195	0:240
формат	NOUN	1700	1700-1916	1700-1916_формат_5712-14		Дочь моя приехала из Петербурга и привезла карточку Гурко, большого формата.	68:75	0:76
формат	NOUN	1700	1700-1916	1700-1916_формат_5756-14		Что это -- обратился генерал к Гане, который тем временем вынул из своего портфеля и подал ему фотографический портрет большого формата: -- ба!	128:135	0:143
формат	NOUN	1700	1700-1916	1700-1916_формат_5732-14		В Китае всякую неделю издавна выходят газеты в большой формат, печатаемые на шелковой материи.	55:61	0:94
формат	NOUN	1700	1700-1916	1700-1916_формат_5754-14		Нынешнее -- или теперешнее, не знаю, как правильнее сказать, -- поколение, уже внуки мои, имея своих Галушкинских в другом формате, то есть костюме, с другими выражениями о тех же понятиях, с другими поступками по прежним правилам, от них-то, новых реверендиссимов наслушавшись, говорят уже, что любовь есть приятное занятие, что для него можно пожертвовать свободным получасом; часто необходимость при заботах тяжелых для головы, стакан лимонаду жаждущему, а не в спокойном состоянии находящемуся, недостойная малейшего размышления, не только позволения владеть душою, недостойная и не могущая причинять человеку малейшей досады и тем менее горести.	123:130	0:650
формат	NOUN	1700	1700-1916	1700-1916_формат_5720-14		Судите же о моем ужасе, когда книги, маленькие, большие, всевозможных форматов, всевозможной величины и толщины, ринулись с полки, полетели, запрыгали под столом, под стульями по всей комнате.	70:78	0:192
формат	NOUN	1700	1700-1916	1700-1916_формат_5718-14		Так вот, чтобы покончить с могущим быть недоразумением и чтобы сборник был один и покупался бы как одно издание, -- то есть сохранил бы всех покупателей, а не половину для одного сб[орника] и полов[ину] для другого, -- предполагается сойтись обеим партиям на следующем: 1) Как "Сев[ерный] вестн[ик]", так и те, другие, издают каждый свой сборник так, как они задуманы, каждый с своими сотрудн[иками], рисунками и т. д. 2) Но оба сборника, во-1-х, носят одно название "Красный цветок", во-2-х, печатаются в одном формате, одним шрифтом и размером букв в листе и 3) делятся на два тома.	512:519	0:584
формат	NOUN	1700	1700-1916	1700-1916_формат_5710-14		С этих же диапозитивов могут быть исполняемы металлические клише, в сильно увеличенном виде, для печати в типографских машинах на бумаге согласно прилагаемым образцам: формат цветного изображения может быть еще значительно увеличен, но это вызовет увеличение стоимости издания.	168:174	0:277
формат	NOUN	1700	1700-1916	1700-1916_формат_5750-14		Она одновременно пила чай и читала книжку, вернее всего французскую, как решил Возницын, судя по компактности, небольшому размеру, формату и переплету канареечного цвета.	131:138	0:170
формат	NOUN	1700	1700-1916	1700-1916_формат_5706-14		Вправо, выше лампы, около бронзового календаря, лежало письмо большого формата.	71:78	0:79
формат	NOUN	1700	1700-1916	1700-1916_формат_5748-14		Приятель был обложен кругом иностранными газетами и журналами, статейками различного формата и кипами стихов и антикритик.	85:92	0:122
формат	NOUN	1700	1700-1916	1700-1916_формат_5728-14		По окончании речи Глик подал фельдмаршалу "Славянскую Библию" в огромном формате, которую держал доселе под мышкою и которая мешала ему порядочно размахнуться.	73:80	0:159
формат	NOUN	1700	1700-1916	1700-1916_формат_5746-14		Вместе с тем сообщаю вам, что с 1 января 1910 г. в Вятке, вместо "Вятского Вестника", по расширенной программе и в увеличенном формате, будет выходить в свет новая литературно-политическая и общественная газета "Голос Вятки", в которой, кроме всестороннего и правильного освещения жизни и нужд местного края, будут помещаться все важнейшие распоряжения мои и подведомственных мне учреждений.	127:134	0:391
формат	NOUN	1700	1700-1916	1700-1916_формат_5730-14		Конечно, тут вопрос был не столько в величине, сколько в удлиненном формате холста.	68:75	0:83
формат	NOUN	1700	1700-1916	1700-1916_формат_5744-14		Может быть, окажется таким же "капитаном большие усы", только еще большего формата.	75:82	0:83
