identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_хор_5888-14	1918-1990_хор_5889-14	0	4		хор
1700-1916_хор_5930-14	1918-1990_хор_5931-14	0	4		хор
1700-1916_хор_5916-14	1918-1990_хор_5917-14	0	1		хор
1700-1916_хор_5942-14	1918-1990_хор_5943-14	0	1		хор
1700-1916_хор_5890-14	1918-1990_хор_5891-14	0	3		хор
1700-1916_хор_5940-14	1918-1990_хор_5941-14	0	4		хор
1700-1916_хор_5892-14	1918-1990_хор_5893-14	0	2		хор
1700-1916_хор_5894-14	1918-1990_хор_5895-14	0	3		хор
1700-1916_хор_5938-14	1918-1990_хор_5939-14	0	4		хор
1700-1916_хор_5900-14	1918-1990_хор_5901-14	0	4		хор
1700-1916_хор_5936-14	1918-1990_хор_5937-14	0	3		хор
1700-1916_хор_5896-14	1918-1990_хор_5897-14	0	2		хор
1700-1916_хор_5934-14	1918-1990_хор_5935-14	0	4		хор
1700-1916_хор_5898-14	1918-1990_хор_5899-14	0	4		хор
1700-1916_хор_5932-14	1918-1990_хор_5933-14	0	2		хор
1700-1916_хор_5944-14	1918-1990_хор_5945-14	0	1		хор
1700-1916_хор_5914-14	1918-1990_хор_5915-14	0	4		хор
1700-1916_хор_5912-14	1918-1990_хор_5913-14	0	2		хор
1700-1916_хор_5902-14	1918-1990_хор_5903-14	0	3		хор
1700-1916_хор_5886-14	1918-1990_хор_5887-14	0	4		хор
1700-1916_хор_5910-14	1918-1990_хор_5911-14	0	2		хор
1700-1916_хор_5920-14	1918-1990_хор_5921-14	0	4		хор
1700-1916_хор_5928-14	1918-1990_хор_5929-14	0	1		хор
1700-1916_хор_5908-14	1918-1990_хор_5909-14	0	4		хор
1700-1916_хор_5922-14	1918-1990_хор_5923-14	0	3		хор
1700-1916_хор_5906-14	1918-1990_хор_5907-14	0	4		хор
1700-1916_хор_5926-14	1918-1990_хор_5927-14	0	3		хор
1700-1916_хор_5918-14	1918-1990_хор_5919-14	0	2		хор
1700-1916_хор_5924-14	1918-1990_хор_5925-14	0	2		хор
1700-1916_хор_5904-14	1918-1990_хор_5905-14	0	1		хор
1700-1916_хор_5944-14	1918-1990_хор_5945-14	1	1		хор
1700-1916_хор_5898-14	1918-1990_хор_5899-14	1	4		хор
1700-1916_хор_5886-14	1918-1990_хор_5887-14	1	4		хор
1700-1916_хор_5896-14	1918-1990_хор_5897-14	1	4		хор
1700-1916_хор_5894-14	1918-1990_хор_5895-14	1	2		хор
1700-1916_хор_5912-14	1918-1990_хор_5913-14	1	1		хор
1700-1916_хор_5892-14	1918-1990_хор_5893-14	1	1		хор
1700-1916_хор_5890-14	1918-1990_хор_5891-14	1	2		хор
1700-1916_хор_5906-14	1918-1990_хор_5907-14	1	1		хор
1700-1916_хор_5908-14	1918-1990_хор_5909-14	1	4		хор
1700-1916_хор_5888-14	1918-1990_хор_5889-14	1	4		хор
1700-1916_хор_5900-14	1918-1990_хор_5901-14	1	4		хор
1700-1916_хор_5910-14	1918-1990_хор_5911-14	1	1		хор
1700-1916_хор_5902-14	1918-1990_хор_5903-14	1	4		хор
1700-1916_хор_5904-14	1918-1990_хор_5905-14	1	1		хор
1700-1916_хор_5914-14	1918-1990_хор_5915-14	1	4		хор
1700-1916_хор_5916-14	1918-1990_хор_5917-14	1	4		хор
1700-1916_хор_5920-14	1918-1990_хор_5921-14	1	4		хор
1700-1916_хор_5942-14	1918-1990_хор_5943-14	1	1		хор
1700-1916_хор_5922-14	1918-1990_хор_5923-14	1	2		хор
1700-1916_хор_5924-14	1918-1990_хор_5925-14	1	3		хор
1700-1916_хор_5938-14	1918-1990_хор_5939-14	1	4		хор
1700-1916_хор_5930-14	1918-1990_хор_5931-14	1	4		хор
1700-1916_хор_5940-14	1918-1990_хор_5941-14	1	4		хор
1700-1916_хор_5918-14	1918-1990_хор_5919-14	1	2		хор
1700-1916_хор_5926-14	1918-1990_хор_5927-14	1	3		хор
1700-1916_хор_5934-14	1918-1990_хор_5935-14	1	4		хор
1700-1916_хор_5932-14	1918-1990_хор_5933-14	1	2		хор
1700-1916_хор_5928-14	1918-1990_хор_5929-14	1	2		хор
1700-1916_хор_5936-14	1918-1990_хор_5937-14	1	1		хор
1700-1916_хор_5918-14	1918-1990_хор_5919-14	2	3		хор
1700-1916_хор_5908-14	1918-1990_хор_5909-14	2	3		хор
1700-1916_хор_5900-14	1918-1990_хор_5901-14	2	3		хор
1700-1916_хор_5906-14	1918-1990_хор_5907-14	2	4		хор
1700-1916_хор_5924-14	1918-1990_хор_5925-14	2	4		хор
1700-1916_хор_5904-14	1918-1990_хор_5905-14	2	1		хор
1700-1916_хор_5928-14	1918-1990_хор_5929-14	2	2		хор
1700-1916_хор_5926-14	1918-1990_хор_5927-14	2	3		хор
1700-1916_хор_5902-14	1918-1990_хор_5903-14	2	3		хор
1700-1916_хор_5920-14	1918-1990_хор_5921-14	2	4		хор
1700-1916_хор_5922-14	1918-1990_хор_5923-14	2	1		хор
1700-1916_хор_5936-14	1918-1990_хор_5937-14	2	2		хор
1700-1916_хор_5916-14	1918-1990_хор_5917-14	2	3		хор
1700-1916_хор_5896-14	1918-1990_хор_5897-14	2	4		хор
1700-1916_хор_5932-14	1918-1990_хор_5933-14	2	1		хор
1700-1916_хор_5894-14	1918-1990_хор_5895-14	2	2		хор
1700-1916_хор_5934-14	1918-1990_хор_5935-14	2	3		хор
1700-1916_хор_5938-14	1918-1990_хор_5939-14	2	3		хор
1700-1916_хор_5890-14	1918-1990_хор_5891-14	2	1		хор
1700-1916_хор_5940-14	1918-1990_хор_5941-14	2	4		хор
1700-1916_хор_5888-14	1918-1990_хор_5889-14	2	4		хор
1700-1916_хор_5886-14	1918-1990_хор_5887-14	2	4		хор
1700-1916_хор_5892-14	1918-1990_хор_5893-14	2	1		хор
1700-1916_хор_5914-14	1918-1990_хор_5915-14	2	1		хор
1700-1916_хор_5942-14	1918-1990_хор_5943-14	2	1		хор
1700-1916_хор_5930-14	1918-1990_хор_5931-14	2	4		хор
1700-1916_хор_5898-14	1918-1990_хор_5899-14	2	1		хор
1700-1916_хор_5912-14	1918-1990_хор_5913-14	2	1		хор
1700-1916_хор_5910-14	1918-1990_хор_5911-14	2	1		хор
1700-1916_хор_5944-14	1918-1990_хор_5945-14	2	1		хор
