identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_частица_6214-14	1918-1990_частица_6215-14	0	1		частица
1700-1916_частица_6240-14	1918-1990_частица_6241-14	0	1		частица
1700-1916_частица_6244-14	1918-1990_частица_6245-14	0	3		частица
1700-1916_частица_6210-14	1918-1990_частица_6211-14	0	1		частица
1700-1916_частица_6218-14	1918-1990_частица_6219-14	0	1		частица
1700-1916_частица_6186-14	1918-1990_частица_6187-14	0	1		частица
1700-1916_частица_6196-14	1918-1990_частица_6197-14	0	1		частица
1700-1916_частица_6188-14	1918-1990_частица_6189-14	0	1		частица
1700-1916_частица_6238-14	1918-1990_частица_6239-14	0	1		частица
1700-1916_частица_6236-14	1918-1990_частица_6237-14	0	3		частица
1700-1916_частица_6216-14	1918-1990_частица_6217-14	0	3		частица
1700-1916_частица_6220-14	1918-1990_частица_6221-14	0	1		частица
1700-1916_частица_6224-14	1918-1990_частица_6225-14	0	1		частица
1700-1916_частица_6226-14	1918-1990_частица_6227-14	0	1		частица
1700-1916_частица_6228-14	1918-1990_частица_6229-14	0	3		частица
1700-1916_частица_6206-14	1918-1990_частица_6207-14	0	4		частица
1700-1916_частица_6242-14	1918-1990_частица_6243-14	0	1		частица
1700-1916_частица_6202-14	1918-1990_частица_6203-14	0	3		частица
1700-1916_частица_6204-14	1918-1990_частица_6205-14	0	4		частица
1700-1916_частица_6208-14	1918-1990_частица_6209-14	0	2		частица
1700-1916_частица_6192-14	1918-1990_частица_6193-14	0	1		частица
1700-1916_частица_6198-14	1918-1990_частица_6199-14	0	1		частица
1700-1916_частица_6232-14	1918-1990_частица_6233-14	0	1		частица
1700-1916_частица_6194-14	1918-1990_частица_6195-14	0	1		частица
1700-1916_частица_6200-14	1918-1990_частица_6201-14	0	3		частица
1700-1916_частица_6212-14	1918-1990_частица_6213-14	0	2		частица
1700-1916_частица_6234-14	1918-1990_частица_6235-14	0	4		частица
1700-1916_частица_6230-14	1918-1990_частица_6231-14	0	2		частица
