lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
четверть	NOUN	1700	1700-1916	1700-1916_четверть_618		Толстой, -- говорил мне Пазухин, -- он хочет энергично взяться за проведение проекта, но я боюсь, выдержит ли его здоровье: ведь на него накинутся чуть ли не три четверти Государственного совета, как бешеные.	162:170	0:208	618	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_619		Худенькая, болезненная княжна Волконская, начальник всех военных учебных заведений, генерал Беляев, жена министра, дочь сенатора, сестра профессора и старый-старый, уже на три четверти потерявший зрение, герой Порт-Артура, генерал Фок...	176:184	0:237	619	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_620		Через четверть часа возвращается Рожок, запыхавшийся, весь в поту: -- Готова!	6:14	0:77	620	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_621		Нужно, значит, обратиться к другим, -- и самым разнообразным, -- способам передвижения, вплоть до подземной железной дороги, привозившей очень удобно из любой части города (а окружной путь был необходим, -- хотя пешком можно было дойти в четверть часа) на ту улицу, которая выходила на площадь, где по вторникам и пятницам продавалась рыба, шерстяные носки, всякая всячина.	238:246	0:373	621	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_622		Когда в середине второй четверти Меклер задал для повторения громадный урок, всего 70 страниц, то Раевский и Рухлов ходили депутацией к Ивановскому, который сбавил 20 страниц.	24:32	0:175	622	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_623		И поэтому Леня Голубков, на рекламу которого три четверти населения попалось, национальный герой был.	49:57	0:101	623	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_624		Однако на Лэфу, где мне удалось найти только одно гнездо голубой сороки, оно было устроено совершенно иначе, именно: внутри пустого, расколотого с одной стороны дуба, дупло которого имело только четверть аршина в поперечнике, так что высиживающая сорока принуждена была сидеть в нём, поднявши вертикально свой хвост.	195:203	0:316	624	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_625		"Но мне кажется уместным посвятить несколько слов нашей давней соименнице, той ""Зеленой Лампе"", которая существовала в Петербурге, в первой четверти минувшаго века."	139:147	0:163	625	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_626		Напротивъ того полосатое и травчетое бываетъ въ три четверти локтя шириною и въ четырнадцатъ локтей длиною.	52:60	0:107	626	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_627		Через четверть часа я был вместе со своими товарищами.	6:14	0:54	627	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_628		Оно уже стало длиною не больше четверти аршина.	31:39	0:47	628	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_629		Им мешали, напоминали Федору, что он обещал на одну минуточку, сидит уже четверть часа.	73:81	0:87	629	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_630		Пронюхала, куда пошел он, и за ним следом, благовестя на дороге и встречному и поперечному, что вот какая напасть случилась у солдата; так что через четверть часа весь Крест знал о бегстве Наташи, и, увеличенное, измененное прибавками, известие это катилось по другим улицам, и в щепетильных лавках на Сретенке уже говорили, что дочь убила отца и скрылась.	149:157	0:356	630	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_631		Более четверти детей в Израиле в возрасте до 14 лет систематически недоедают, 25 тысяч детей лишены возможности посещать школу.	6:14	0:127	631	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_632		Три четверти средств, употребляемых в гомеопатии, совершенно не применяются в аллопатии.	4:12	0:88	632	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_633		Итак, в четверть 11-го вечера (а я на дежурстве), радио похрипело о разрыве отношений с польским правительством.	8:16	0:112	633	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_634		В четверть одиннадцатого пошли далее; через 15 мин. вошли в узкую лощину на запад; через 40, начали открываться снежные вершины Пир-Хадаран; левее его, Суркаул.	2:10	0:160	634	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_635		-- Никак нет! -- докладываю на всякий случай, потому что четверть века назад Есенин был как бы не в почете.	57:65	0:107	635	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_636		Вообще пешее ученье не было тягостным, оно даже представляло собой некоторое развлечение -- если только из-за каких-нибудь трех -- пяти неудачников унтер-офицер Михайлов не заставлял нас всех без исключения четверть часа прыгать на корточках или стоять на одной ноге, вытянув вперед другую.	207:215	0:290	636	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_637		Они не прошли и четверти километра, как показался бегущий навстречу Сашко.	16:24	0:74	637	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_638		Через четверть часа купец, красный, с налившимися глазами, ревел, как боров, маленький кондуктор умильно улыбался губами, глазами, красной пуговичкой, белобрысыми бровями и ресницами, путаясь тонкой фистулой в рыкающем, бревноподобном голосе купца.	6:14	0:248	638	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_639		Там, у нас, начинается политический и культурный термидор, который будет длиться, с краткими перерывами, четверть века.	105:113	0:119	639	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_640		Мне и дают; только вместо семи рублей за четверть -- тринадцать дерут монахи.	41:49	0:77	640	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_641		Ветер южной четверти 7-10 м/с.	12:20	0:30	641	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_642		А за столбом целая Палестина с рожью -- частая, густая, словно кудель, колос-то, а колос-то, поверишь ли, батюшка С добрую четверть, инда матушке бедной тяжело головкой покачивать.	123:132	0:180	642	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_643		Чтобы пройти половину пути, предмет должен пройти половину этой половины, а для этого нужно пройти половину этой четверти и т. д.	113:121	0:129	643	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_644		Еще четверть часа -- нет!	4:12	0:25	644	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_645		Т.) медных 21, пушек медных разных калибров 323, чугунных разного калибра 187, ружей годных 5495, бомб разного калибра чиненных 545, не чиненных 36849, гранат чиненных 2116 нечиненных 209, древгаглов 1482, ядер чугунных разных калибров 137 тысяч, кнепелей (sic! -- Е. Т.) 12708, пуль свинцовых ружейных 132 тысячи, пороху разных сортов 3060 пудов, пшеницы немолотой в разных магазинах до 2500 четвертей и... морского и сухопутного провианта по числу французского гарнизона месяца на полтора, также оказалось во многих магазинах по разным должностям припасов и материалов немалое количество.	393:402	0:590	645	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_646		Через четверть часа они, протянувшись с страшным грохотом через десятки станков, уже складывались на другом конце мастерской длинными, гладкими, блестящими рельсами.	6:14	0:165	646	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_647		Смотрю на водомерное стекло левого котла, -- вода в нем достигает на три четверти.	73:82	0:82	647	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_648		"Там говорят: ""Я купила бархату семь носов и три четверти"" -- или: ""Куда как вздорожал канаус, за нос просят два абаза""."	48:57	0:119	648	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_649		"А за ужином он, с невозмутимым видом, Франца экзаменовал по прилавочной науке, задавал ему нелепые вопросы, вроде: ""как бы ты поступил, если б вот моя жена вошла в мой магазин и на твоих глазах украла воскового теннисиста"" или: ""какой номер обуви следует дать старушке ростом в метр с четвертью при продаже ей футбольных сапог"" Франц, у которого юмор был туговат, таращил глаза и облизывался."	285:294	0:392	649	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_650		Через четверть часа вдали визг и женские крики послышались.	6:14	0:59	650	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_651		Прошло около четверти часа, когда стук, раздавшийся очень недалеко, вернул его к сознанию.	13:21	0:90	651	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_652		Вслед за тем непосредственно же, без отдыха, начинает снова заниматься с первым, вторым и третьим классами элементарной школы умственными и словесными упражнениями, с каждым по четверти часа (следовательно, от 9 1/2 до 10 1/4 часа); а потом также по четверти часа (т. е. от 10 1/4 до 11 час.) отечественным языком с тремя последовательными классами.	177:185	0:349	652	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_653		И таким же образом можно зашифровать любой текст длиною не более 64 букв или знаков -- надо только внимательно вписывать их в свободные клеточки по 16 штук, поворачивая решетку на четверть оборота по часовой стрелке.	180:188	0:216	653	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_654		-- Что такое -- Одна, вишь, четверть лошади приходится, изволите видеть, на каждую какую-то там квадратную, что ли, душу.	28:36	0:121	654	rushifteval	ru
четверть	NOUN	1918	1918-1990	1918-1990_четверть_655		Набравшись смелости, я спросил у него разрешения давно уже мучившего меня вопроса: -- Скажите, Александр Николаевич, ваши Мити, Борисы, Андрюши, Бородкины -- во что они выродились Что они представляют теперь Прошло уже больше четверти века...	226:234	0:242	655	rushifteval	ru
четверть	NOUN	1700	1700-1916	1700-1916_четверть_656		Они показывают совершенно явно это возрастание, так как средний годовой заработок исполнителей в 1880 г. равнялся в С.-А. С. Штатах только 674 руб., т. е. за последнюю четверть века он поднялся почти на одну треть.	168:176	0:214	656	rushifteval	ru
