identifier1	identifier2	annotator	judgment	comment	lemma
6306	6307	0	4		штаб
6306	6307	1	4		штаб
6306	6307	2	4		штаб
6308	6309	0	3		штаб
6308	6309	1	4		штаб
6308	6309	2	4		штаб
6310	6311	0	4		штаб
6310	6311	1	4		штаб
6310	6311	2	3		штаб
6312	6313	0	4		штаб
6312	6313	1	4		штаб
6312	6313	2	4		штаб
6314	6315	0	1		штаб
6314	6315	1	1		штаб
6314	6315	2	4		штаб
6316	6317	0	4		штаб
6316	6317	1	4		штаб
6316	6317	2	2		штаб
6318	6319	0	4		штаб
6318	6319	1	4		штаб
6318	6319	2	3		штаб
6320	6321	0	4		штаб
6320	6321	1	4		штаб
6320	6321	2	2		штаб
6322	6323	0	4		штаб
6322	6323	1	4		штаб
6322	6323	2	4		штаб
6324	6325	0	4		штаб
6324	6325	1	4		штаб
6324	6325	2	4		штаб
6326	6327	0	3		штаб
6326	6327	1	4		штаб
6326	6327	2	4		штаб
6328	6329	0	2		штаб
6328	6329	1	4		штаб
6328	6329	2	4		штаб
6330	6331	0	4		штаб
6330	6331	1	4		штаб
6330	6331	2	4		штаб
6332	6333	0	4		штаб
6332	6333	1	4		штаб
6332	6333	2	4		штаб
6334	6335	0	4		штаб
6334	6335	1	4		штаб
6334	6335	2	4		штаб
6336	6337	0	3		штаб
6336	6337	1	4		штаб
6336	6337	2	4		штаб
6338	6339	0	4		штаб
6338	6339	1	3		штаб
6338	6339	2	4		штаб
6340	6341	0	4		штаб
6340	6341	1	4		штаб
6340	6341	2	3		штаб
6342	6343	0	2		штаб
6342	6343	1	3		штаб
6342	6343	2	3		штаб
6344	6345	0	4		штаб
6344	6345	1	4		штаб
6344	6345	2	4		штаб
6346	6347	0	4		штаб
6346	6347	1	3		штаб
6346	6347	2	4		штаб
6348	6349	0	4		штаб
6348	6349	1	4		штаб
6348	6349	2	4		штаб
6350	6351	0	4		штаб
6350	6351	1	4		штаб
6350	6351	2	4		штаб
6352	6353	0	4		штаб
6352	6353	1	4		штаб
6352	6353	2	4		штаб
6354	6355	0	4		штаб
6354	6355	1	3		штаб
6354	6355	2	1		штаб
6356	6357	0	3		штаб
6356	6357	1	2		штаб
6356	6357	2	4		штаб
6358	6359	0	4		штаб
6358	6359	1	4		штаб
6358	6359	2	4		штаб
6360	6361	0	4		штаб
6360	6361	1	3		штаб
6360	6361	2	4		штаб
6362	6363	0	4		штаб
6362	6363	1	3		штаб
6362	6363	2	4		штаб
6364	6365	0	4		штаб
6364	6365	1	4		штаб
6364	6365	2	4		штаб
