identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_эшелон_6424-14	1918-1990_эшелон_6425-14	0	4		эшелон
1700-1916_эшелон_6396-14	1918-1990_эшелон_6397-14	0	1		эшелон
1700-1916_эшелон_6366-14	1918-1990_эшелон_6367-14	0	4		эшелон
1700-1916_эшелон_6368-14	1918-1990_эшелон_6369-14	0	4		эшелон
1700-1916_эшелон_6422-14	1918-1990_эшелон_6423-14	0	4		эшелон
1700-1916_эшелон_6370-14	1918-1990_эшелон_6371-14	0	2		эшелон
1700-1916_эшелон_6420-14	1918-1990_эшелон_6421-14	0	1		эшелон
1700-1916_эшелон_6394-14	1918-1990_эшелон_6395-14	0	3		эшелон
1700-1916_эшелон_6372-14	1918-1990_эшелон_6373-14	0	1		эшелон
1700-1916_эшелон_6416-14	1918-1990_эшелон_6417-14	0	4		эшелон
1700-1916_эшелон_6374-14	1918-1990_эшелон_6375-14	0	4		эшелон
1700-1916_эшелон_6414-14	1918-1990_эшелон_6415-14	0	3		эшелон
1700-1916_эшелон_6376-14	1918-1990_эшелон_6377-14	0	4		эшелон
1700-1916_эшелон_6412-14	1918-1990_эшелон_6413-14	0	3		эшелон
1700-1916_эшелон_6378-14	1918-1990_эшелон_6379-14	0	4		эшелон
1700-1916_эшелон_6418-14	1918-1990_эшелон_6419-14	0	3		эшелон
1700-1916_эшелон_6410-14	1918-1990_эшелон_6411-14	0	1		эшелон
1700-1916_эшелон_6380-14	1918-1990_эшелон_6381-14	0	1		эшелон
1700-1916_эшелон_6384-14	1918-1990_эшелон_6385-14	0	1		эшелон
1700-1916_эшелон_6382-14	1918-1990_эшелон_6383-14	0	4		эшелон
1700-1916_эшелон_6398-14	1918-1990_эшелон_6399-14	0	2		эшелон
1700-1916_эшелон_6406-14	1918-1990_эшелон_6407-14	0	4		эшелон
1700-1916_эшелон_6404-14	1918-1990_эшелон_6405-14	0	1		эшелон
1700-1916_эшелон_6390-14	1918-1990_эшелон_6391-14	0	4		эшелон
1700-1916_эшелон_6400-14	1918-1990_эшелон_6401-14	0	1		эшелон
1700-1916_эшелон_6392-14	1918-1990_эшелон_6393-14	0	2		эшелон
1700-1916_эшелон_6386-14	1918-1990_эшелон_6387-14	0	1		эшелон
1700-1916_эшелон_6402-14	1918-1990_эшелон_6403-14	0	1		эшелон
1700-1916_эшелон_6408-14	1918-1990_эшелон_6409-14	0	4		эшелон
1700-1916_эшелон_6388-14	1918-1990_эшелон_6389-14	0	4		эшелон
1700-1916_эшелон_6392-14	1918-1990_эшелон_6393-14	1	3		эшелон
1700-1916_эшелон_6382-14	1918-1990_эшелон_6383-14	1	1		эшелон
1700-1916_эшелон_6376-14	1918-1990_эшелон_6377-14	1	1		эшелон
1700-1916_эшелон_6374-14	1918-1990_эшелон_6375-14	1	4		эшелон
1700-1916_эшелон_6384-14	1918-1990_эшелон_6385-14	1	3		эшелон
1700-1916_эшелон_6370-14	1918-1990_эшелон_6371-14	1	4		эшелон
1700-1916_эшелон_6386-14	1918-1990_эшелон_6387-14	1	4		эшелон
1700-1916_эшелон_6368-14	1918-1990_эшелон_6369-14	1	1		эшелон
1700-1916_эшелон_6388-14	1918-1990_эшелон_6389-14	1	4		эшелон
1700-1916_эшелон_6366-14	1918-1990_эшелон_6367-14	1	4		эшелон
1700-1916_эшелон_6390-14	1918-1990_эшелон_6391-14	1	4		эшелон
1700-1916_эшелон_6394-14	1918-1990_эшелон_6395-14	1	1		эшелон
1700-1916_эшелон_6380-14	1918-1990_эшелон_6381-14	1	4		эшелон
1700-1916_эшелон_6372-14	1918-1990_эшелон_6373-14	1	4		эшелон
1700-1916_эшелон_6378-14	1918-1990_эшелон_6379-14	1	4		эшелон
1700-1916_эшелон_6404-14	1918-1990_эшелон_6405-14	1	1		эшелон
1700-1916_эшелон_6410-14	1918-1990_эшелон_6411-14	1	1		эшелон
1700-1916_эшелон_6408-14	1918-1990_эшелон_6409-14	1	1		эшелон
1700-1916_эшелон_6396-14	1918-1990_эшелон_6397-14	1	1		эшелон
1700-1916_эшелон_6406-14	1918-1990_эшелон_6407-14	1	4		эшелон
1700-1916_эшелон_6400-14	1918-1990_эшелон_6401-14	1	4		эшелон
1700-1916_эшелон_6402-14	1918-1990_эшелон_6403-14	1	4		эшелон
1700-1916_эшелон_6398-14	1918-1990_эшелон_6399-14	1	4		эшелон
1700-1916_эшелон_6416-14	1918-1990_эшелон_6417-14	1	1		эшелон
1700-1916_эшелон_6422-14	1918-1990_эшелон_6423-14	1	4		эшелон
1700-1916_эшелон_6420-14	1918-1990_эшелон_6421-14	1	4		эшелон
1700-1916_эшелон_6424-14	1918-1990_эшелон_6425-14	1	4		эшелон
1700-1916_эшелон_6418-14	1918-1990_эшелон_6419-14	1	4		эшелон
1700-1916_эшелон_6412-14	1918-1990_эшелон_6413-14	1	4		эшелон
1700-1916_эшелон_6414-14	1918-1990_эшелон_6415-14	1	3		эшелон
1700-1916_эшелон_6418-14	1918-1990_эшелон_6419-14	2	4		эшелон
1700-1916_эшелон_6380-14	1918-1990_эшелон_6381-14	2	4		эшелон
1700-1916_эшелон_6404-14	1918-1990_эшелон_6405-14	2	1		эшелон
1700-1916_эшелон_6376-14	1918-1990_эшелон_6377-14	2	4		эшелон
1700-1916_эшелон_6382-14	1918-1990_эшелон_6383-14	2	4		эшелон
1700-1916_эшелон_6406-14	1918-1990_эшелон_6407-14	2	4		эшелон
1700-1916_эшелон_6384-14	1918-1990_эшелон_6385-14	2	1		эшелон
1700-1916_эшелон_6412-14	1918-1990_эшелон_6413-14	2	1		эшелон
1700-1916_эшелон_6374-14	1918-1990_эшелон_6375-14	2	4		эшелон
1700-1916_эшелон_6386-14	1918-1990_эшелон_6387-14	2	4		эшелон
1700-1916_эшелон_6400-14	1918-1990_эшелон_6401-14	2	4		эшелон
1700-1916_эшелон_6388-14	1918-1990_эшелон_6389-14	2	4		эшелон
1700-1916_эшелон_6398-14	1918-1990_эшелон_6399-14	2	1		эшелон
1700-1916_эшелон_6414-14	1918-1990_эшелон_6415-14	2	4		эшелон
1700-1916_эшелон_6390-14	1918-1990_эшелон_6391-14	2	4		эшелон
1700-1916_эшелон_6396-14	1918-1990_эшелон_6397-14	2	2		эшелон
1700-1916_эшелон_6408-14	1918-1990_эшелон_6409-14	2	3		эшелон
