lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
эшелон	NOUN	1700	1700-1916	1700-1916_эшелон_6366		Не доходя 15 верст до станции Текучи экспресс наш на шестидесятиверстной скорости врезался в следовавший на север эшелон.	114:120	0:121	6366	rushifteval	ru
эшелон	NOUN	1918	1918-1990	1918-1990_эшелон_6367		"А тебя овевает ветерок, пахнущий елями, соснами и близкой свободой, ибо ты сидишь на полу теплушки, свесив ноги через порог, ждешь очередной остановки эшелона и поешь с коллегами ""Прощайте, скалистые горы...""."	152:159	0:209	6367	rushifteval	ru
эшелон	NOUN	1700	1700-1916	1700-1916_эшелон_6368		С каждым новым эшелоном болгары заметно охлаждаются: у них отнимают коров, волов, птицу, продукты (недавно казак отрубил в Систове руку болгарину, защищавшему своего вола), врываются в дома, ухаживают за дочками и женами и т. п.	15:23	0:228	6368	rushifteval	ru
эшелон	NOUN	1918	1918-1990	1918-1990_эшелон_6369		Потом, по весне, когда эшелоны дивизии потянулись к фронту, мы ездили с мамой на Алма-Ату-Первую, где пролег Турксиб, все надеялись перехватить папу.	23:30	0:149	6369	rushifteval	ru
эшелон	NOUN	1700	1700-1916	1700-1916_эшелон_6370		выступила тремя эшелонами: первый, под начальством Великого Князя, двинулся 28-го марта, остальные -- 29-го и 30-го марта.	16:25	0:122	6370	rushifteval	ru
эшелон	NOUN	1918	1918-1990	1918-1990_эшелон_6371		Эшелоны полка потянулись в Петроград.	0:7	0:37	6371	rushifteval	ru
эшелон	NOUN	1700	1700-1916	1700-1916_эшелон_6372		В 2 часа ночи отправился наш первый эшелон (12 рот) на 150 понтонах.	36:42	0:68	6372	rushifteval	ru
эшелон	NOUN	1918	1918-1990	1918-1990_эшелон_6373		Несколько эшелонов подкреплений спешили к большевикам с запада по Туапсинской железной дороге, но заслон Самурского полка захватил один поезд целиком, другие встретил жестоким огнем, и эшелоны, бросив поезда, бежали на юг.	185:192	0:222	6373	rushifteval	ru
эшелон	NOUN	1700	1700-1916	1700-1916_эшелон_6374		-- В последние три дня нашего пребывания в Зимнице перешли чрез Дунай почти все эшелоны 11-го корпуса.	80:87	0:102	6374	rushifteval	ru
эшелон	NOUN	1918	1918-1990	1918-1990_эшелон_6375		Второй эшелон (управление тыла) с 15.00 14.10 -- Красная Поляна.	7:13	0:64	6375	rushifteval	ru
эшелон	NOUN	1700	1700-1916	1700-1916_эшелон_6376		Но при этом выступление войск эшелонами растянуто на такое продолжительное время, что не могу не подивиться чрезмерной медлительности, зная энергичный характер нашего главнокомандующего.	30:39	0:186	6376	rushifteval	ru
эшелон	NOUN	1918	1918-1990	1918-1990_эшелон_6377		Навстречу мимо -- на зеленый свет -- тяжело грохотал на стыках эшелон с нефтяными цистернами.	63:69	0:93	6377	rushifteval	ru
эшелон	NOUN	1700	1700-1916	1700-1916_эшелон_6378		Начальниками этих эшелонов были назначены: полковники Колокольцов, Новомлинский, Веймарн и подполковник Терейковский, помощниками же их: подполковник Полторацкий, полковник Блок, подполковник Принц и майор Сабуров.	18:26	0:214	6378	rushifteval	ru
эшелон	NOUN	1918	1918-1990	1918-1990_эшелон_6379		О чем могли договориться между собой этапники, которых через день, а может быть и через час, развезут по разным эшелонам, а затем и лагерям Но это не значило, конечно, что если часовой с вышки заметит ползущую по стене ксиву, он не сообщит о совершенном нарушении по телефону дежурному по тюрьме.	112:120	0:296	6379	rushifteval	ru
эшелон	NOUN	1700	1700-1916	1700-1916_эшелон_6380		Колонны наши приостановились, но только на одно мгновение, после чего снова устремились на штурм: впереди, 8-й и 4-й Селенгинские батальоны; позади их, эшелонами, четыре батальона Якутского полка.	152:161	0:196	6380	rushifteval	ru
эшелон	NOUN	1918	1918-1990	1918-1990_эшелон_6381		Эшелоны, которыми танковая бригада Климовича была переброшена из Горького в Москву, в ночь с 6 на 7 ноября разгружались на Курской-товарной.	0:7	0:140	6381	rushifteval	ru
эшелон	NOUN	1700	1700-1916	1700-1916_эшелон_6382		Прицепляясь к следовавшим на юг эшелонам мы, хотя и весьма медленно, стали продвигаться к фронту.	32:40	0:97	6382	rushifteval	ru
эшелон	NOUN	1918	1918-1990	1918-1990_эшелон_6383		Мы были здесь последней волной, последним эшелоном перед ликвидацией госпиталя.	42:50	0:79	6383	rushifteval	ru
эшелон	NOUN	1700	1700-1916	1700-1916_эшелон_6384		Кустарниковая растительность является очень разбросанной в песчаных урочищах и логах; ее надо собирать на большом пространстве, что будет затруднительно для первых эшелонов и еще труднее для последующих.	164:172	0:203	6384	rushifteval	ru
