lemma	judgments_per_edge	edgeshares	excluded_nodes	nodes	judgments_total
авторитет	3.0	3=1.00	0	60	90
амбиция	3.0	3=1.00	0	60	90
апостол	2.9310344827586206	2=0.07,3=0.93	0	58	85
благодарность	3.0	3=1.00	0	60	90
блин	2.966666666666667	2=0.03,3=0.97	0	60	89
блондин	3.0	3=1.00	0	60	90
брат	2.966666666666667	2=0.03,3=0.97	0	60	89
бригада	3.0	3=1.00	0	60	90
веер	2.966666666666667	2=0.03,3=0.97	0	60	89
век	2.9310344827586206	2=0.07,3=0.93	0	58	85
верховье	2.9	2=0.10,3=0.90	0	60	87
возраст	3.0	3=1.00	0	60	90
вызов	3.0	3=1.00	0	60	90
головка	2.933333333333333	2=0.07,3=0.93	0	60	88
грех	3.0	3=1.00	0	60	90
дух	3.0	3=1.00	0	60	90
дядька	2.9655172413793105	2=0.03,3=0.97	0	58	86
дядя	3.0	3=1.00	0	60	90
железо	3.0	3=1.00	0	60	90
жесть	2.966666666666667	2=0.03,3=0.97	0	60	89
живот	3.0	3=1.00	0	60	90
заблуждение	3.0	3=1.00	0	60	90
завод	3.0	3=1.00	0	60	90
закладка	3.0	3=1.00	0	60	90
земля	3.0	3=1.00	0	60	90
издательство	3.0	3=1.00	0	60	90
итальянец	2.966666666666667	2=0.03,3=0.97	0	60	89
кабан	3.0	3=1.00	0	60	90
карман	3.0	3=1.00	0	60	90
крушение	2.966666666666667	2=0.03,3=0.97	0	60	89
крыша	3.0	3=1.00	0	58	87
кулиса	3.0	3=1.00	0	60	90
лечение	3.0	3=1.00	0	60	90
линейка	2.966666666666667	2=0.03,3=0.97	0	60	89
лишение	2.966666666666667	2=0.03,3=0.97	0	60	89
локоть	3.0	3=1.00	0	60	90
лох	2.7777777777777777	1=0.11,3=0.89	0	18	25
любовник	3.0	3=1.00	0	60	90
любовь	2.966666666666667	2=0.03,3=0.97	0	60	89
маньяк	3.0	3=1.00	0	60	90
монстр	3.0	3=1.00	0	60	90
наволочка	2.966666666666667	2=0.03,3=0.97	0	60	89
название	3.0	3=1.00	0	60	90
наложение	3.0	3=1.00	0	60	90
облако	2.966666666666667	2=0.03,3=0.97	0	60	89
обоснование	2.966666666666667	2=0.03,3=0.97	0	60	89
огонь	2.966666666666667	2=0.03,3=0.97	0	60	89
памятник	3.0	3=1.00	0	60	90
пафос	3.0	3=1.00	0	60	90
писк	3.0	3=1.00	0	60	90
план	3.0	3=1.00	0	60	90
поколение	3.0	3=1.00	0	60	90
половинка	2.966666666666667	2=0.03,3=0.97	0	60	89
полоса	3.0	3=1.00	0	58	87
полость	3.0	3=1.00	0	60	90
полукруг	3.0	3=1.00	0	60	90
помощник	3.0	3=1.00	0	60	90
понедельник	3.0	3=1.00	0	60	90
поставщик	3.0	3=1.00	0	60	90
поэзия	3.0	3=1.00	0	58	87
правда	3.0	3=1.00	0	60	90
предательство	2.966666666666667	2=0.03,3=0.97	0	60	89
прецедент	3.0	3=1.00	0	60	90
пролетарий	3.0	3=1.00	0	60	90
промышленность	3.0	3=1.00	0	60	90
проникновение	3.0	3=1.00	0	60	90
прорыв	3.0	3=1.00	0	60	90
путь	2.966666666666667	2=0.03,3=0.97	0	60	89
радикал	3.0	3=1.00	0	60	90
размышление	3.0	3=1.00	0	60	90
ранец	3.0	3=1.00	0	60	90
расчет	2.966666666666667	2=0.03,3=0.97	0	60	89
риторика	2.966666666666667	2=0.03,3=0.97	0	60	89
роспись	2.966666666666667	2=0.03,3=0.97	0	60	89
сверстник	3.0	3=1.00	0	60	90
связка	3.0	3=1.00	0	60	90
собрат	3.0	3=1.00	0	60	90
совершенство	2.966666666666667	2=0.03,3=0.97	0	60	89
советчик	3.0	3=1.00	0	60	90
союзник	3.0	3=1.00	0	60	90
список	2.966666666666667	2=0.03,3=0.97	0	60	89
спутник	2.966666666666667	2=0.03,3=0.97	0	60	89
ссылка	3.0	3=1.00	0	60	90
стена	3.0	3=1.00	0	60	90
стипендия	3.0	3=1.00	0	60	90
стол	2.966666666666667	2=0.03,3=0.97	0	60	89
тачка	2.933333333333333	2=0.07,3=0.93	0	60	88
тупик	2.966666666666667	2=0.03,3=0.97	0	60	89
увольнение	3.0	3=1.00	0	60	90
углеводород	3.0	3=1.00	0	60	90
удобство	3.0	3=1.00	0	60	90
уклад	3.0	3=1.00	0	60	90
университет	3.0	3=1.00	0	60	90
установление	2.966666666666667	2=0.03,3=0.97	0	60	89
фаворит	3.0	3=1.00	0	60	90
формат	2.966666666666667	2=0.03,3=0.97	0	60	89
формула	3.0	3=1.00	0	60	90
хозяйка	3.0	3=1.00	0	60	90
хор	3.0	3=1.00	0	60	90
хрен	3.0	3=1.00	0	60	90
цензура	2.966666666666667	2=0.03,3=0.97	0	60	89
центр	3.0	3=1.00	0	60	90
цифра	3.0	3=1.00	0	60	90
частица	3.0	3=1.00	0	60	90
чек	3.0	3=1.00	0	60	90
четверть	2.966666666666667	2=0.03,3=0.97	0	60	89
штаб	3.0	3=1.00	0	60	90
эшелон	3.0	3=1.00	0	60	90
юбилей	3.0	3=1.00	0	60	90
ядро	3.0	3=1.00	0	60	90
ясли	2.966666666666667	2=0.03,3=0.97	0	60	89
