lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_678		Повышение авторитета комсомольской организации зависит от активного участия в ее работе каждого члена ВЛКСМ.	10:20	0:108	678	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_679		Всем известно, что зарплату он получает на предприятии последним, что, пользуясь опытом, авторитетом и честным словом, умудрился добиться увеличения объемов добычи угля за полугодие на 20 процентов (по сравнению с прошлым годом), что не дает отрасли умереть.	89:100	0:258	679	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_680		Но если жертва, принесенная Пастернаком во имя правды, не была напрасной ввиду его исключительного авторитета и заслуг, то в ненапрасности своей жертвы я не могу быть уверен.	99:109	0:174	680	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_681		"Не учел мужик только одного -- ""махновцам"" было плевать и на его дружбу, и на самих авторитетов."	84:95	0:96	681	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_682		Обещал поддерживать авторитет академика Лысенко, президента агробиологов.	20:29	0:73	682	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_683		Признание и исправление ошибки лишь добавит авторитета президенту, которого, видимо, кто-то неправильно информировал.	44:54	0:117	683	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_684		Видимо, пастух за это время успел завоевать авторитет и решил попросить прибавки.	44:53	0:81	684	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_685		"Неуверенные, как все узурпаторы, большевики пытались подпереть свое шаткое право на власть авторитетами прославленных имен; ради собственного утверждения над живыми скликали на помощь великих мертвых, внушая массам: ""вот кто за нас и с нами; вот кто наши предшественники и предтечи, провозвестники светлого будущего, имя которому большевизм!"""	91:103	0:342	685	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_686		Власти и авторитета Калинина еще достало на то, чтобы добиться такого послабления.	9:19	0:82	686	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_687		"Сколько раз за эти годы на него ""наезжали"" разные криминальные авторитеты, требуя процентов от доходов, сколько раз по телефону и напрямую ему угрожали конкуренты."	63:73	0:163	687	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_688		Как жаль, что в наше время нет подобного авторитета.	41:51	0:52	688	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_689		Вот, оказывается, как меня раскрутили -- я неожиданно для себя стал крупным, если не сказать крупнейшим, криминальным авторитетом.	118:129	0:130	689	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_690		Тут напомнил мне А. Т. по праву старшего, что даже некий (безымянный) буржуазный орган (ближе к моему беспартийному пониманию он давал более понятный авторитет) написал, что конечно Солженицына был бы недостоин образ действий Синявского и Даниэля.	150:159	0:247	690	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_691		Или -- если правительство обладает безупречным моральным авторитетом, олицетворяет собою законность и действует не от себя лично, а от имени Правовой Нормы.	57:68	0:156	691	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_692		"Я обращаюсь к публике, говорю, что утратил авторитет, и прошу разрешения ""предоставить им полноту власти"", хотя и не ручаюсь, что из этого выйдет."	43:52	0:146	692	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_693		"Любопытно, что при всей эпатажности натуры окружающие находят Музу Пегасовну дамой, добровольно и безоговорочно признают ее авторитет и жизненное кредо: ""Что хочу -- то и могу""."	124:133	0:177	693	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_694		До этого я украл из музея картину Рембрандта, чтобы самому найти ее и таким образом укрепить свой авторитет следователя.	98:107	0:120	694	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_695		Чайтанья не хотел (да и не мог) пошатнуть авторитет брахманов.	42:51	0:62	695	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_696		Мне надо было, однако, совершить большое усилие, чтобы в имевшихся сведениях отделить главное от второстепенного, решиться изменить ряд общепризнанных атомных весов, отступить от того, что было признано лучшими тогда авторитетами.	217:229	0:230	696	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_697		Мы исполняемся доброй воли пойти по указанию философа, мудреца, авторитета.	64:74	0:75	697	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_698		Многие видели, что этот начальник отделения (остальных не было) явно потворствует срывам дисциплины и, больше того, желая сохранить свой авторитет, поощряет всякую шалость и проступки, нередко граничащие с хулиганством.	137:146	0:219	698	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_699		До меня семь удалений доли сделал Лев Константинович Богуш, главный авторитет по торакопластикам.	68:77	0:97	699	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_700		Загрохочет не только первомайский рапорт, могут грохнуть и авторитет завода и лауреатство.	59:68	0:90	700	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_701		Теперь конкурс подтвердил свой авторитет, нам доверяют.	31:40	0:55	701	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_702		"Между этими двумя фотографиями прошло только десять лет, но в 32 году О. М. уже знал, чем обернулись его юношеские мечты о красивой ""социальной архитектуре"", авторитете и преодолении наследства девятнадцатого века."	158:168	0:214	702	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_703		Их оценки весьма высоки, особенно если учесть, что это первый случай, когда российский коммерческий банк получает рейтинги таких признанных авторитетов, как Standard & Poor's и Moody's.	140:151	0:185	703	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_704		Николай считал себя незыблемым и чуть ли не единственным авторитетом во всех вопросах кавалерийской службы.	57:68	0:107	704	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_705		Однако склоняюсь перед авторитетом Мастера купажа Martell Патрика Рагено -- он предлагает следующие сочетания: Martell Cordon Bleu и шоколад; Martell XO и китайский рыбный суп; Martell VS, разбавленный водой, и свежие салаты.	23:34	0:225	705	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_706		-- Только подрывают авторитет, -- сказала Таня.	20:29	0:47	706	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_707		"Дело доходило уже до того, что в адрес МО стали поступать телеграммы крупных преступных авторитетов, которые гарантировали ""полное спокойствие"" в гарнизонах, где дислоцировались десантники, если их не будут трогать."	88:99	0:215	707	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_708		Сначала Хлебовводов по привычке размахнулся и предложил взять на себя повышенные обязательства, например, чтобы в связи с возросшим авторитетом Тройки комендант товарищ Зубо обязался бы увеличить свой рабочий день до четырнадцати часов, а научный консультант товарищ Выбегалло отказался бы от обеденного перерыва.	132:143	0:313	708	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_709		Двор признал его авторитетом, хотя друзья Киваля были постарше.	17:28	0:63	709	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_710		"Полномочия и авторитет Петербурга оспаривали правительственные сферы, играя по-жирондистски на ""локальном"" значении Петербургского Совета и на идее узурпации им всероссийского мнения демократии."	13:22	0:194	710	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_711		Лечение инсулином, когда больные впадают в кому -- состояние очень близкое к смерти -- многие авторитеты считают единственно действенным при шизофрении.	94:104	0:152	711	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_712		"А этим вождем буду Я! Да, Я!"" Он организовывал издательства, создавал журналы, писал труды о стиховедении, переводил латинских авторов, спорил с признанными авторитетами, наставлял молодых; боялся одного -- отстать от своего времени."	157:169	0:233	712	rushifteval	ru
авторитет	NOUN	1992	1992-2016	1992-2016_авторитет_713		Для Колфилда не существует традиционной системы авторитетов, которую надо усвоить раз и навсегда со школы или от родителей: личное мнение и отношение для него важнее культурного веса писателя.	48:59	0:192	713	rushifteval	ru
авторитет	NOUN	1918	1918-1990	1918-1990_авторитет_714		И еще я хотела сказать вам, Сергей Петрович, в присутствии всего учительского коллектива: ваше личное участие в школьной самодеятельности безусловно подрывает ваш авторитет.	163:172	0:173	714	rushifteval	ru
