lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
блин	NOUN	1918	1918-1990	1918-1990_блин_918		Артем вывалил стопку блинов в пустую кастрюлю, и дети бросились наутек.	21:27	0:71	918	rushifteval	ru
блин	NOUN	1992	1992-2016	1992-2016_блин_919		Господин Анвельт, блин.	18:22	0:23	919	rushifteval	ru
блин	NOUN	1918	1918-1990	1918-1990_блин_920		-- У нас не то что на блины, на кашу нет его, пашана-то, -- сказала Авдотья.	22:27	0:76	920	rushifteval	ru
блин	NOUN	1992	1992-2016	1992-2016_блин_921		-- Блин, блин, блин, -- парило над ними, как звон бубенцов над стадом.	3:7	0:70	921	rushifteval	ru
блин	NOUN	1918	1918-1990	1918-1990_блин_922		Лермонтов Все в Петербурге на масленице завтракают блинами.	51:58	0:59	922	rushifteval	ru
блин	NOUN	1992	1992-2016	1992-2016_блин_923		-- Столько, блин, специалистов развелось по моему состоянию!	12:16	0:60	923	rushifteval	ru
блин	NOUN	1918	1918-1990	1918-1990_блин_924		Утешало его только то, что во главе всего этого мероприятия бодро и уверенно встал Борис Леонидович, -- Колю он, как известно, уважал и сочувствовал ему; в знак своего доверия Коля, не дрогнув, по первому его требованию отдал даже чашки от весов, -- Борис Леонидович считал, что в чашках от весов печь блины идеально.	302:307	0:317	924	rushifteval	ru
блин	NOUN	1992	1992-2016	1992-2016_блин_925		-- Типун, блин, тебе на язык!	10:14	0:29	925	rushifteval	ru
блин	NOUN	1918	1918-1990	1918-1990_блин_926		В прищуренном глазу плясала душа пьяная, русская -- мягкая да масленая, хоть блин в нее макай.	77:81	0:94	926	rushifteval	ru
блин	NOUN	1992	1992-2016	1992-2016_блин_927		Наконец, утомленный пешей прогулкой, завернул в ресторан, где и запил горячие блины водкой и русским квасом.	78:83	0:108	927	rushifteval	ru
блин	NOUN	1918	1918-1990	1918-1990_блин_928		Начинает из глубины, где сейчас у него блины, кажется мне, по голосу-ворчанью.	39:44	0:78	928	rushifteval	ru
блин	NOUN	1992	1992-2016	1992-2016_блин_929		"Интересна, если поменяться ролями, то как жена воспользуется спящим мужем Варианты: просмотрит звонки, тел книгу на сотовом, уберет носки в стирку, прильнет к какой либо части его тела притираться, пнет ""бревно блин"", етс.."	213:217	0:223	929	rushifteval	ru
блин	NOUN	1918	1918-1990	1918-1990_блин_930		Уверовали в него сильно, когда дьячок на масляной чуть было ног не протянул, да Барынькин помог: сразу определил, что он себе глотку блином горячим спек, -- дал какой-то настойки, прочел вроде молитвы, велел живот постным маслом растирать, -- дьячок в два дня и поправился.	133:139	0:273	930	rushifteval	ru
блин	NOUN	1992	1992-2016	1992-2016_блин_931		-- Каким, блин, еще утром Мы сюда неслись на дикой скорости.	10:14	0:60	931	rushifteval	ru
блин	NOUN	1918	1918-1990	1918-1990_блин_932		Я превращаюсь в кашу, в бесформенную массу, меня мнут, месят и тискают, как тесто, разрывают на куски и слепляют в ком, раскатывают, как блин, и моют вишневым соком.	137:141	0:165	932	rushifteval	ru
блин	NOUN	1992	1992-2016	1992-2016_блин_933		-- Вот у одной моей бабушки была специальная чугунная блинница из нескольких сковородок, скрепленных вместе, -- на ней очень удобно выпекать блины в печке, -- говорил Саша.	141:146	0:172	933	rushifteval	ru
блин	NOUN	1918	1918-1990	1918-1990_блин_934		-- Вот блин, -- сказал Съемщик.	7:11	0:31	934	rushifteval	ru
блин	NOUN	1992	1992-2016	1992-2016_блин_935		-- Гоша, в чем дело Тебе туда блины подавать -- спросила я.	30:35	0:59	935	rushifteval	ru
блин	NOUN	1918	1918-1990	1918-1990_блин_936		-- Какой блин, дурочка -- Горячий!	9:13	0:34	936	rushifteval	ru
блин	NOUN	1992	1992-2016	1992-2016_блин_937		А во-вторых, как-никак это был первый блин.	38:42	0:43	937	rushifteval	ru
блин	NOUN	1918	1918-1990	1918-1990_блин_938		Уже заранее напечены сочни (что-то среднее между блином и лепешкой, потоньше лепешки, но величиной с хороший блин, то есть во всю тарелку), уже заранее сварен горох (не суп, не размазня, не гороховая жижа, а крутой гopox), который кладется на сочень, сворачиваемый потом в трубку, и вот этот свернутый сочень с крутым горохом внутри нужно есть, запивая его непременно квасом.	109:113	0:375	938	rushifteval	ru
блин	NOUN	1992	1992-2016	1992-2016_блин_939		Производительность аппарата -- более 100 блинов за час.	41:47	0:55	939	rushifteval	ru
блин	NOUN	1918	1918-1990	1918-1990_блин_940		Понизу, на уровне моего роста, щелей не было, а вот повыше просвечивала светлая линейка, только уж очень узкая, даже самый тонкий блин не пройдет.	130:134	0:146	940	rushifteval	ru
блин	NOUN	1992	1992-2016	1992-2016_блин_941		После чего, водрузив на культю пуповины бирку с датой и порядковым номером, опускала эти разделанные блины в ведро с раствором формалина и относила в подвал.	101:106	0:157	941	rushifteval	ru
