identifier1	identifier2	annotator	judgment	comment	lemma
1918-1990_блондин_1022-15	1992-2016_блондин_1023-15	0	4		блондин
1918-1990_блондин_1032-15	1992-2016_блондин_1033-15	0	4		блондин
1918-1990_блондин_984-15	1992-2016_блондин_985-15	0	4		блондин
1918-1990_блондин_982-15	1992-2016_блондин_983-15	0	4		блондин
1918-1990_блондин_1006-15	1992-2016_блондин_1007-15	0	4		блондин
1918-1990_блондин_978-15	1992-2016_блондин_979-15	0	4		блондин
1918-1990_блондин_988-15	1992-2016_блондин_989-15	0	4		блондин
1918-1990_блондин_1008-15	1992-2016_блондин_1009-15	0	4		блондин
1918-1990_блондин_980-15	1992-2016_блондин_981-15	0	4		блондин
1918-1990_блондин_1024-15	1992-2016_блондин_1025-15	0	3		блондин
1918-1990_блондин_1010-15	1992-2016_блондин_1011-15	0	4		блондин
1918-1990_блондин_992-15	1992-2016_блондин_993-15	0	4		блондин
1918-1990_блондин_1012-15	1992-2016_блондин_1013-15	0	4		блондин
1918-1990_блондин_1030-15	1992-2016_блондин_1031-15	0	4		блондин
1918-1990_блондин_1004-15	1992-2016_блондин_1005-15	0	4		блондин
1918-1990_блондин_1028-15	1992-2016_блондин_1029-15	0	4		блондин
1918-1990_блондин_990-15	1992-2016_блондин_991-15	0	4		блондин
1918-1990_блондин_996-15	1992-2016_блондин_997-15	0	4		блондин
1918-1990_блондин_1036-15	1992-2016_блондин_1037-15	0	4		блондин
1918-1990_блондин_1020-15	1992-2016_блондин_1021-15	0	4		блондин
1918-1990_блондин_1034-15	1992-2016_блондин_1035-15	0	4		блондин
1918-1990_блондин_1014-15	1992-2016_блондин_1015-15	0	4		блондин
1918-1990_блондин_998-15	1992-2016_блондин_999-15	0	4		блондин
1918-1990_блондин_994-15	1992-2016_блондин_995-15	0	4		блондин
1918-1990_блондин_1000-15	1992-2016_блондин_1001-15	0	4		блондин
1918-1990_блондин_1026-15	1992-2016_блондин_1027-15	0	4		блондин
1918-1990_блондин_1016-15	1992-2016_блондин_1017-15	0	4		блондин
1918-1990_блондин_1002-15	1992-2016_блондин_1003-15	0	3		блондин
1918-1990_блондин_1018-15	1992-2016_блондин_1019-15	0	4		блондин
1918-1990_блондин_986-15	1992-2016_блондин_987-15	0	4		блондин
1918-1990_блондин_988-15	1992-2016_блондин_989-15	1	4		блондин
1918-1990_блондин_1006-15	1992-2016_блондин_1007-15	1	4		блондин
1918-1990_блондин_986-15	1992-2016_блондин_987-15	1	3		блондин
1918-1990_блондин_1034-15	1992-2016_блондин_1035-15	1	4		блондин
1918-1990_блондин_982-15	1992-2016_блондин_983-15	1	4		блондин
1918-1990_блондин_980-15	1992-2016_блондин_981-15	1	4		блондин
1918-1990_блондин_992-15	1992-2016_блондин_993-15	1	4		блондин
1918-1990_блондин_1004-15	1992-2016_блондин_1005-15	1	4		блондин
1918-1990_блондин_1002-15	1992-2016_блондин_1003-15	1	4		блондин
1918-1990_блондин_1000-15	1992-2016_блондин_1001-15	1	4		блондин
1918-1990_блондин_994-15	1992-2016_блондин_995-15	1	4		блондин
1918-1990_блондин_998-15	1992-2016_блондин_999-15	1	4		блондин
1918-1990_блондин_984-15	1992-2016_блондин_985-15	1	4		блондин
1918-1990_блондин_990-15	1992-2016_блондин_991-15	1	4		блондин
1918-1990_блондин_1022-15	1992-2016_блондин_1023-15	1	4		блондин
1918-1990_блондин_1010-15	1992-2016_блондин_1011-15	1	3		блондин
1918-1990_блондин_1032-15	1992-2016_блондин_1033-15	1	4		блондин
1918-1990_блондин_1014-15	1992-2016_блондин_1015-15	1	4		блондин
1918-1990_блондин_1012-15	1992-2016_блондин_1013-15	1	4		блондин
1918-1990_блондин_1030-15	1992-2016_блондин_1031-15	1	4		блондин
1918-1990_блондин_1018-15	1992-2016_блондин_1019-15	1	4		блондин
1918-1990_блондин_1008-15	1992-2016_блондин_1009-15	1	4		блондин
1918-1990_блондин_1020-15	1992-2016_блондин_1021-15	1	4		блондин
1918-1990_блондин_1028-15	1992-2016_блондин_1029-15	1	4		блондин
1918-1990_блондин_1026-15	1992-2016_блондин_1027-15	1	4		блондин
1918-1990_блондин_996-15	1992-2016_блондин_997-15	1	4		блондин
1918-1990_блондин_1036-15	1992-2016_блондин_1037-15	1	4		блондин
1918-1990_блондин_1024-15	1992-2016_блондин_1025-15	1	2		блондин
1918-1990_блондин_978-15	1992-2016_блондин_979-15	1	4		блондин
1918-1990_блондин_1016-15	1992-2016_блондин_1017-15	1	4		блондин
1918-1990_блондин_1002-15	1992-2016_блондин_1003-15	2	4		блондин
1918-1990_блондин_1012-15	1992-2016_блондин_1013-15	2	4		блондин
1918-1990_блондин_1022-15	1992-2016_блондин_1023-15	2	4		блондин
1918-1990_блондин_1016-15	1992-2016_блондин_1017-15	2	4		блондин
1918-1990_блондин_998-15	1992-2016_блондин_999-15	2	3		блондин
1918-1990_блондин_992-15	1992-2016_блондин_993-15	2	4		блондин
1918-1990_блондин_1036-15	1992-2016_блондин_1037-15	2	4		блондин
1918-1990_блондин_994-15	1992-2016_блондин_995-15	2	4		блондин
1918-1990_блондин_1034-15	1992-2016_блондин_1035-15	2	4		блондин
1918-1990_блондин_1014-15	1992-2016_блондин_1015-15	2	4		блондин
1918-1990_блондин_1000-15	1992-2016_блондин_1001-15	2	4		блондин
1918-1990_блондин_1008-15	1992-2016_блондин_1009-15	2	4		блондин
1918-1990_блондин_980-15	1992-2016_блондин_981-15	2	4		блондин
1918-1990_блондин_1026-15	1992-2016_блондин_1027-15	2	4		блондин
1918-1990_блондин_1024-15	1992-2016_блондин_1025-15	2	4		блондин
1918-1990_блондин_1004-15	1992-2016_блондин_1005-15	2	4		блондин
1918-1990_блондин_988-15	1992-2016_блондин_989-15	2	4		блондин
1918-1990_блондин_1006-15	1992-2016_блондин_1007-15	2	4		блондин
