lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1098		Эх, если бы иметь их в бригаде в первые дни войны!	23:30	0:50	1098	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1099		Туда отправилась целая бригада с целью собрать материал, который дал бы основания для освобождения от работы тамошнего первого секретаря обкома Вагапова.	23:30	0:153	1099	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1100		Дело в том, что недавно произведенный в штабс-капитаны и назначенный командиром нашей батареи Тесленко был, как тогда говорилось, из простых, чем очень отличался от других офицеров нашей бригады, в большинстве дворянских и помещичьих сыновей.	187:194	0:242	1100	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1101		Для бригад спецназа разрабатывались и новые программы боевой подготовки.	4:10	0:72	1101	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1102		В общезаводском соревновании творческих коллективов она уступила только бригаде заслуженного рационализатора республики И.	72:79	0:122	1102	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1103		В 1941-1945 годы актеры Малого на свои деньги построили эскадрилью, создали фронтовой театр и несколько фронтовых бригад!	114:120	0:121	1103	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1104		Меж штабелей бригада молодых укладчиков в спецовках.	13:20	0:52	1104	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1105		Согласно приказу министра, бригады ВДВ, дислоцированные на территории Северо-Кавказского, Сибирского, Забайкальского и Дальневосточных военных округов, переподчиняются командующим войсками этих округов.	27:34	0:202	1105	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1106		Весной, когда гвардия уходила в лагеря в Красное Село, и осенью, когда возвращалась в Петербург, можно было видеть прохождение войск целыми полками, бригадами.	149:158	0:159	1106	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1107		Предлагаю другое -- сформировать оперативную бригаду из журналистов нескольких изданий, с тем чтобы каждый месяц они проводили свое расследование тех случаев, когда какой-нибудь монополист мешает нашей деятельности.	45:52	0:215	1107	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1108		В одной бригаде при вечерней поверке не хватило человека.	8:15	0:57	1108	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1109		В Бардымском районе поставили своего рода рекорд: входившим в ударную бригаду Курицыной Афомии, Крыловой Агрофине, Ширинкиной Анне, Графильниковой Евгении и Ширинкиной Александре вместе было более 350 лет.	70:77	0:205	1109	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1110		Или если бы представилось необходимым одну из трех дивизий корпуса временно направить в другой корпус, то отправляемая дивизия должна была бы итти без артиллерии, так как в противном случае на две дивизии оставалась бы одна артиллерийская бригада и не могла бы обеспечить их достаточно сильной огневой поддержкой.	239:246	0:313	1110	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1111		"Впрочем, не сильно озабочена местная администрация и ""боеготовностью"" котельных: их вид и состояние привели экспертную бригаду в уныние."	122:129	0:136	1111	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1112		И тут к нему подошла Анфиса Петровна: -- А помнишь, Михаил, я однажды тебе говорила: придет, говорю, такое время -- бригадой поедут Пряслины на сенокос Не помнишь -- От волнения у Анфисы Петровны побелели щеки, росой окропились черные глаза.	116:124	0:241	1112	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1113		Дело в том, что не совсем было понятно, за что воюет бригада Махмуда Худойбердыева.	53:60	0:83	1113	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1114		Уезжал куда-то с бригадой.	17:25	0:26	1114	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1115		Дома отдыха локомотивных бригад больше напоминают ночлежки.	25:31	0:59	1115	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1116		Экспериментаторы утверждают, что скоро на фабрике совсем не останется отстающих бригад.	80:86	0:87	1116	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1117		Надо было все эти факты проверить, уточнить, и я обратился к командованию бригады.	74:81	0:82	1117	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1118		Большим упущением Упарта и верховного командования являлось оставление без изменения устаревшего положения о командире артиллерийской бригады.	134:141	0:142	1118	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1119		Целинные бригады, дружба с молодыми коллективами предприятий нашего района.	9:16	0:75	1119	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1120		Следует подчеркнуть, что Германия ко времени объявления указа о мобилизации уже в большой мере выполнила свои мобилизационные работы, и войска, назначенные для прикрытия границ с Бельгией и Францией, к 1 августа были уже перевезены к местам назначения: на бельгийскую границу для овладения Льежем -- 1-й кавалерийский корпус и шесть пехотных бригад различных корпусов 1-й и 2-й армий; на люксембургскую границу -- 4-й кавалерийский корпус, а в Лотарингию -- 3-й кавалерийский корпус.	342:348	0:483	1120	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1121		В 1914-1918 годах Кундт участвовал в первой мировой войне на польском и галицийском фронтах, находясь в штабе генерала Макензена, командовал полком, бригадой.	149:157	0:158	1121	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1122		4-я стрелковая бригада прославилась в русско-турецкую войну 1877-1878 гг.	15:22	0:73	1122	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1123		Работают на этом рынке как отдельные мастера (часто имеющие свои бригады), так и вполне официальные компании, чьи листовки каждый день выпадают из почтовых ящиков.	65:72	0:163	1123	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1124		Лесозаготовки, вернее, дровозаготовки, которые вела больница на ключе Дусканья -- близ устья реки Дебин, вела бригада человек в пятьдесят.	110:117	0:138	1124	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1125		Специально подобранная бригада профессионалов, руководил которой заместитель директора Владимир Сергеевич Мулюкин, блестяще реализовала замысел проектировщиков.	23:30	0:160	1125	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1126		Ее определили в третью бригаду, и она с охотой поселилась в бригадной будке.	23:30	0:76	1126	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1127		И в стоимость включать оплату выезда бригады.	37:44	0:45	1127	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1128		Вагапова, -- она первая среди бригад вышкомонтажников Главтюменьнефтегаза выполнила пятилетний план за четыре года, смонтировала 387 буровых вышек.	30:36	0:147	1128	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1129		Однако броской и сильной цели у бригады не было.	32:39	0:48	1129	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1130		Именно анализ работы бригады с точки зрения технолога, экономиста, грамотного организатора производства помог молодому мастеру Московского завода электровакуумных приборов Галине Арефьевой найти резервы повышения производительности труда.	21:28	0:238	1130	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1131		Обязанности командира 2-й бригады 34-й пехотной дивизии исполнял генерал-майор А. Е. Жданко.	26:33	0:92	1131	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1132		Но часто бывает на войне, что при полном напряжении сил и крепком желании невозможное оказывается возможным, и потребованные мною подкрепления, как будет дальше видно, к решающему моменту были подвезены и подошли своевременно, за исключением, к сожалению, моей бригады, упомянутой ранее, которую генерал Рузский отказался вернуть, сообщая, что она уже втянута в бой.	261:268	0:366	1132	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1133		Вскоре Гитлер назначил верного служаку командиром бригады, охранявшей его собственную особу.	50:57	0:92	1133	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1134		"-- В чем дело"" Я ему говорю: ""Так и так, не дают кушать, в чем дело"" А этот самый чи Михаил, чи Гавриил ему докладает: ""Это есть тот самый младший фейерверкер Лепко с первой батареи шестьдесят четвертой артиллерийской бригады, который в доблестном бою пострадал за веру, царя и отечество""."	223:230	0:289	1134	rushifteval	ru
бригада	NOUN	1992	1992-2016	1992-2016_бригада_1135		"Письмо шестое Зная заранее, что начало мая по-житейски будет тяжелым, что на носу Пасха, Первомай, День Победы, а вспахать-посеять -- это надо, бригада механизаторов из дальнего колхоза ""Коммунар"" в полном составе ""зашилась"" накануне страды и теперь не будет пить до самого ноября."	145:152	0:281	1135	rushifteval	ru
бригада	NOUN	1918	1918-1990	1918-1990_бригада_1136		А вообще вы не думайте, что в бригаде легко.	30:37	0:44	1136	rushifteval	ru
