lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
верховье	NOUN	1918	1918-1990	1918-1990_верховье_0		Теребовль был незначительный городок в верховьях реки Серета.	39:48	0:61	0	rushifteval	ru
верховье	NOUN	1992	1992-2016	1992-2016_верховье_1		Поданным археологии, языкознания и летописным источникам, балты до появления славян в Восточной Европе занимали огромную территорию по Неману, Западной Двине, в верховьях Днепра и Оки.	161:170	0:184	1	rushifteval	ru
верховье	NOUN	1918	1918-1990	1918-1990_верховье_2		Между прочим, здесь я узнал, что Анюй в верховьях течет некоторое время вдоль западного склона Сихотэ-Алиня, охватывая истоки Хора, а после принятия в себя притока Гобилли, текущего ему навстречу, поворачивает на запад, уклоняясь то немного к северу, то к югу, и впадает в протоку Дырен.	40:49	0:287	2	rushifteval	ru
верховье	NOUN	1992	1992-2016	1992-2016_верховье_3		"В верховьях Вилюя ""есть место, Туруханского ведомства народами, именующими себя журумжальцами, они же и самоеды, почитаемое""."	3:12	0:125	3	rushifteval	ru
верховье	NOUN	1918	1918-1990	1918-1990_верховье_4		Клад, найденный около деревни Турушевой, в верховьях Камы, содержит замечательно ценные в художественно-историческом отношении вещи, например, серебряное блюдо с изображением царя Шапура I на львиной охоте (III век), блюдо изображающее царя Бахрама Гура (V век) с невольницей Азадэ.	43:52	0:282	4	rushifteval	ru
верховье	NOUN	1992	1992-2016	1992-2016_верховье_5		Пожалуй, мы больше ходили, чем плавали, но такое перемещение с речки на речку позволило посмотреть самые красивые места в их верховьях и кратчайшим путём вернуться в Европу.	125:134	0:173	5	rushifteval	ru
верховье	NOUN	1918	1918-1990	1918-1990_верховье_6		Река Адимил в верховьях слагается из двух ручьёв, текущих навстречу друг другу.	14:23	0:79	6	rushifteval	ru
верховье	NOUN	1992	1992-2016	1992-2016_верховье_7		"Одно из самых поздних, самых массовых и самых южных мамонтовых ""кладбищ"" нашей страны находится на территории Каргатского района Новосибирской области, в верховьях реки Баган, в урочище Волчья Грива."	157:166	0:199	7	rushifteval	ru
верховье	NOUN	1918	1918-1990	1918-1990_верховье_8		Одну из таких морен в верховьях Ван-Мейен-фьорда нам показал Л. С. Троицкий, энтузиаст палеогляциологического изучения Шпицбергена.	22:31	0:131	8	rushifteval	ru
верховье	NOUN	1992	1992-2016	1992-2016_верховье_9		В верховьях Чусовой пока не найдено археологических памятников такой же древности, как на нижней Чусовой.	2:11	0:105	9	rushifteval	ru
