lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
возраст	NOUN	1918	1918-1990	1918-1990_возраст_76-15		Вне возраста -- никакой старости!	4:12	0:33
возраст	NOUN	1918	1918-1990	1918-1990_возраст_118-15		Между тем, смертность детей этого же возраста, принадлежащих к высшим классам, не превышала 20%.	37:45	0:96
возраст	NOUN	1918	1918-1990	1918-1990_возраст_92-15		Если несомненно единство советского народа в основных морально-политических вопросах, то это единство не снимает различий во многих других отношениях, как-то: по образованию и культурному уровню, по полу и возрасту, по профессии и роду занятий, по национальности, месту жительства (город, село, разные географические и климатические зоны) -- эти различия проявляются и в индивидуальных характерах, темпераментах, навыках и привычках, манере поведения, личных интересах, эстетических вкусах, в способах использования свободного времени, в отношении к разным видам и жанрам искусства и т. д. и т. д.	206:214	0:597
возраст	NOUN	1918	1918-1990	1918-1990_возраст_106-15		-- Зрелый возраст особенно неохотно расстается с ощущением молодости, -- еще очень недавно я чувствовал себя (про себя) молодым, хотя очень отчетливо отмечал про себя же зарубки возраста: 30, за 30, 40 и т.д. Сейчас уже и с этим приходится расставаться.	10:17	0:253
возраст	NOUN	1918	1918-1990	1918-1990_возраст_74-15		С первого года нужно так воспитывать, чтобы он мог быть активным, стремиться к чему-то, чего-то требовать, добиваться, и в то же время так нужно воспитывать, чтобы у него постепенно образовывались тормоза для таких его желаний, которые уже являются вредными или уводящими его дальше, чем это можно в его возрасте.	304:312	0:313
возраст	NOUN	1918	1918-1990	1918-1990_возраст_60-15		По словам больного, он с раннего возраста имел пристрастие ко всякого рода "таинственным явлениям в природе", а 16 лет, побывав у хироманта, решил серьезно посвятить себя занятиям оккультными науками.	33:41	0:200
возраст	NOUN	1918	1918-1990	1918-1990_возраст_64-15		-- Остальные давно уже пенсионный возраст перешагнули".	34:41	0:55
возраст	NOUN	1918	1918-1990	1918-1990_возраст_66-15		Я думаю, что это и есть переходный возраст, потому что Жан Кристоф переживал то же самое.	35:42	0:89
возраст	NOUN	1918	1918-1990	1918-1990_возраст_68-15		в) Телесная 3 (для пожилого и старческого возраста с прибавлением к 1 терра-де-сиена). г) Голубовато-серая (белила, сажа и немного синьки).	42:50	0:139
возраст	NOUN	1918	1918-1990	1918-1990_возраст_70-15		Он уже вошел в преклонный возраст, но по-прежнему в нем жил полный юмора наблюдатель.	26:33	0:85
возраст	NOUN	1918	1918-1990	1918-1990_возраст_72-15		В них принимали детей, начиная с двухлетнего возраста, и дети так хорошо проводили там время, что их трудно было увести домой .	45:53	0:127
возраст	NOUN	1918	1918-1990	1918-1990_возраст_90-15		-- Вроде бы склероз у тебя не по возрасту.	33:41	0:42
возраст	NOUN	1918	1918-1990	1918-1990_возраст_78-15		Против графы "возраст" карандаш медленно выводит: 18 лет.	14:21	0:57
возраст	NOUN	1918	1918-1990	1918-1990_возраст_80-15		Возраст участников олимпиады -- от 8 до 98 лет.	0:7	0:47
возраст	NOUN	1918	1918-1990	1918-1990_возраст_82-15		Приведенные данные об устойчивости и росте насаждений после выборочных рубок подтверждают, что реакция насаждений на рубку чрезвычайно разнообразна и зависит от строения древостоя (причем в рамках породы особенное значение имеют возраст и возрастная структура) и от интенсивности рубки.	229:236	0:286
возраст	NOUN	1918	1918-1990	1918-1990_возраст_84-15		В тех и других есть элемент "сочинительства" или, уж во всяком случае, стилизации, навеянных у Николая Павловича веселыми импровизациями Антоши Чехонте, в "паре" с которым он нередко выступал в журналах 80-х годов, а у Александра -- "набитостью" руки на расхожей газетной беллетристике и, быть может, бессознательным желанием использовать сочувственный и слегка сентиментальный интерес читателей начала века к не лишенному горечи детству недавно скончавшегося писателя ("приходилось с грустью и со слезами отказываться от всего того, что свойственно и даже настоятельно необходимо детскому возрасту, и проводить время в лавке, которая ему ненавистна").	590:598	0:652
возраст	NOUN	1918	1918-1990	1918-1990_возраст_86-15		-- Они различаются только по возрасту.	29:37	0:38
возраст	NOUN	1918	1918-1990	1918-1990_возраст_88-15		Пока еще были видны морщинки возле глаз и рта, обвисшие складки кожи, просвечивающие синевато-бардовые сосуды, тяжелые набрякшие веки, не спрячешь никакой косметикой, да она и не прятала, возраст есть возраст, еще удавалось сдерживаться, скрипя зубами и сжимая челюсти.	188:195	0:269
возраст	NOUN	1918	1918-1990	1918-1990_возраст_116-15		При поступлении самый высокий возраст для мужчин был 55 лет, для женщин -- 52 года.	30:37	0:83
возраст	NOUN	1918	1918-1990	1918-1990_возраст_114-15		Насколько припоминаю, меня уже с самого раннего возраста соседи считали каким-то странным мальчиком.	48:56	0:100
возраст	NOUN	1918	1918-1990	1918-1990_возраст_62-15		И, здесь наша дошкольная сеть должна иметь известную увязку с сетью ясель и до-дошкольных очагов, чтобы мать-работница, воспитывающая ребенка в наркомздравском очаге, не получила вдруг его на руки с достижением им трехлетнего возраста.	226:234	0:235
