lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
дух	NOUN	1918	1918-1990	1918-1990_дух_1458		"Впрочем, не будучи пророком, можно заранее сказать, что просвещенный пастырь не нашел бы в себе того духа истинной благости и всевмещения, который сказался так ярко в словах Вивекананды: ""Истинно, если бы я жил во времена Христа, я бы кровью сердца моего омыл Ему ноги""."	101:105	0:270	1458	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1459		Воздух был прохладным и свежим, и Коль жадно хлебал ночной таежный дух.	3:6	0:71	1459	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1460		"Духа"" -- ибо Дух Божий есть явление в ""этом мире"" красоты, глубины и полноты Божественной жизни."	0:4	0:96	1460	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1461		Была лишь несгибаемая сила духа.	27:31	0:32	1461	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1462		Каждому свое, и дух дышит, где хочет.	16:19	0:37	1462	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1463		Впрочем, не исключено, что он любил сплетни только о писателях и писательских женах, а все другие на дух не выносил.	101:104	0:116	1463	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1464		-- Пелагея перевела дух, снова откинулась на фуфайку, закрыла глаза.	20:23	0:68	1464	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1465		Говорил же Он о Духе, Который должны будут принять верующие в Него, то есть о благодати Духа Святого.	16:20	0:101	1465	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1466		На деньги, кои мне доставят духи, Я наберу солдат.	28:32	0:50	1466	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1467		Да и самому тошно на душе, и такие экспромты вполне в моём духе.	59:63	0:64	1467	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1468		"Ее ум, ее ""дух"", ее сдержанность были удивительны."	11:14	0:50	1468	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1469		Раньше правые подчеркнуто делали ставку на сильных и успешных в духе классического социал-дарвинизма.	64:68	0:101	1469	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1470		"Жизнь его ""утаивается"" от взоров, она протекает внутри, в духе его."	58:62	0:67	1470	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1471		Эта школа проповедовала братскую любовь друг к другу, отречение от внешнего мира, общность имущества и т.д. Пифагорейцы считали возможным добиться очищения духа при помощи математики.	156:160	0:183	1471	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1472		Все это было вполне в духе Сталина.	22:26	0:35	1472	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1473		И впрямь, когда глядишь на эту картину, кажется, что не живопись это уже, а живой дух, живое Слово.	82:85	0:99	1473	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1474		Прошла неделя, другая, третья -- о нашей работе по-прежнему ни слуху ни духу.	72:76	0:77	1474	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1475		Человеческий дух у допленных пророков определяется как способ бытия личности человека, в котором выражается его связь с Богом.	13:16	0:126	1475	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1476		Моисей с великой горестью понял, как глубоко овладел людьми дух рабский: хлеб в достатке и котлы с мясом им дороже свободы.	60:63	0:123	1476	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1477		Зато передачи переключаются очень четко -- в духе спортивных моделей от Mercedes.	45:49	0:81	1477	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1478		Так же ясно усмотрели мы различие и даже противоположность между глубиной и интенсивностью самой духовной жизни, с одной стороны, и экстенсивной распространенностью ее внешних результатов и плодов -- с другой, между истинной просвещенностью и блеском внешней образованности, между внутренними нравственными основами жизни и официально возвещаемыми лозунгами или внешне нормированными правовыми и политическими отношениями, между культурой духа и культурой тела.	97:105	0:461	1478	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1479		На дух не выношу!	3:6	0:17	1479	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1480		Он даже слышал, как хрипит старуха, испуская последний дух, и вечная жизнь уносится вдаль, в синее небо, сквозь зимние облака, просвечивающие луной и полярным сиянием.	55:58	0:167	1480	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1481		Жизнь, утверждает он, это боль и страх (ср. две субстанции Декарта: природа и дух).	78:81	0:83	1481	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1482		При таком глубоком и резком повороте назад создавалось разлагающее церковную жизнь положение церковных дел; они оказались в руках людей, хотя по плоти и русских, но по духу чуждых Церкви, в руках светских государственных чиновников; церковные интересы приносились ими в жертву интересам государственным.	168:172	0:303	1482	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1483		А это поднимет дух Томбра на невиданную высоту!	15:18	0:47	1483	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1484		В одном месте рассказа глаза Унгерна опять впились в арестованного: -- Ты видел духа, от которого побежали монголы!	80:84	0:115	1484	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1485		Тогда-то, мысленно помянув трёхгранный кремень Туннворна и укрепив тем самым свой дух, мальчик поднялся со скамьи.	82:85	0:114	1485	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1486		Новый театр не создал ни одного нового артиста-творца, сильного в изображении жизни человеческого духа, ни одного нового приема, ни одного намека на искания в области внутренней техники, ни одного блестящего ансамбля; словом, ни одного достижения в области духовного творчества.	98:102	0:278	1486	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1487		По существу, вся поэзия Шатрова -- единая песнь о становлении духа.	62:66	0:67	1487	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1488		"Не тронь, говорю, а то вот кокну -- и дух вон, лапти кверху""."	38:41	0:61	1488	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1489		Мы сегодня должны все направить на то, чтобы создать в области дух уверенности.	63:66	0:79	1489	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1490		-- О, это изображение духов, -- сказал удэхеец.	22:27	0:47	1490	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1491		Наоборот, были некий подъем духа и гордое сознание правоты; здесь он останавливался, поскольку дальше пришлось бы признать, что теперь никакого сознания правоты нет и неизвестно, когда будет.	28:32	0:191	1491	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1492		-- Ты что, Тимофей -- Как на духу, батюшка!	29:33	0:43	1492	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1493		Он уже не пах жизнью, он отдавал той тяжестью капустного духа, по которой как по нотам читается неблагополучие и даже начало больших несчастий.	57:61	0:143	1493	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1494		Казалось, новый дух веет над русской равниной, которую мы оставили такой безмолвной, аморфной и покорной.	16:19	0:105	1494	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1495		Больше играл, чем рассказывал, и его сказка была совершенно в духе сказки Лорда.	62:66	0:80	1495	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1496		Холод такой, что духу не переведешь -- это она льет и брызжет водой.	17:21	0:68	1496	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1497		Как ни странно, одним из открытий для ребят стал дух сплоченности, который возник за время проживания в лагере.	49:52	0:111	1497	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1498		"Все глядели потом стекло в окошке, напротив как раз протодьяконова духа, -- лопнуло, говорят, от воздушного сотрясения, ""от утробы""."	67:71	0:132	1498	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1499		Он почему-то всех узнает, рано или поздно, а вас... он вам не должен, случайно Ефим вернулся к обычному расположению духа.	117:121	0:122	1499	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1500		В этом огромном городе, кипящем лавой страстей, -- алчности, гнева, изворотливости, страха, тысячецветных вожделений, растерянности и наглости, -- Ранум испытывал острые мучения духа, стремящегося к покою блаженного созерцания, но вынужденного пребывать в грязи, крови и тьме несовершенных существ, проходящих низшие воплощения.	178:182	0:328	1500	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1501		Значит -- она четвертая ипостась И что же Четвероединство Богопородительница срединна, первоначальна и равнобожественна Отцу и Святому Духу.	135:139	0:140	1501	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1502		"Было чересчур жарко, душно, пахло чесноком, копченой скумбрией, спиртом-сырцом, потом, румынскими духами ""шануар""."	98:104	0:114	1502	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1503		Оба вместе характеризуют дух времени -- атмосферу заката американской мечты, наступления эпохи отрезвления и возврата к твердым истинам и самим вещам.	25:28	0:150	1503	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1504		Он был целиком поглощен своими ощущениями, вытекавшими из уверенности, что уже следующий толчок окончательно вышибет из него дух.	125:128	0:129	1504	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1505		Когда Сталину случайно довелось увидеть, как Авель втирает в мочки больших ушей заграничные духи, он засомневался в победе социализма больше, чем в восемнадцатом году при обороне Царицына.	92:96	0:188	1505	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1506		Немудрёно, что удэхейцы боятся этих мест: здесь, по их мнению, обиталище злого духа.	79:83	0:84	1506	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1507		Под нарами у печи теленок, ягнята, поросенок, от которых идет дух.	62:65	0:66	1507	rushifteval	ru
дух	NOUN	1918	1918-1990	1918-1990_дух_1508		Обозначилась кипящая стрежень реки, донесло пресный дух спертой стоялой воды.	52:55	0:77	1508	rushifteval	ru
дух	NOUN	1992	1992-2016	1992-2016_дух_1509		"Парни идут по тропе, а чуть в стороне ""духи"" спускаются."	39:43	0:56	1509	rushifteval	ru
