lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1736-15		Были тут и разбитные парни с консервной фабрики, с острыми, ядовитыми язычками и жесткими ладонями, порезанными кислой жестью.	81:89	0:126
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1738-15		От принятого порядка движения -- прижимаясь к стенам -- пришлось отказаться, потому что тротуары завалены осыпавшейся штукатуркой, битыми кирпичами, осколками оконного стекла, проржавевшей кровельной жестью, и уже дважды обломки карнизов без всякой видимой причины обрушивались чуть ли не нам на головы.	200:206	0:303
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1724-15		В комнате стоял длиннущий сундук, обитый снаружи цветной жестью в шашку, а внутри оклеенный пестрыми обоями: цветы, птицы и яблоки.	57:63	0:131
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1710-15		Странная была это картина: закат, белая, как жесть, равнина моря с красными отблесками на горизонте, согнувшаяся в буксирной лямке Евдокия, и за ней покорно тащились плоты.	45:50	0:172
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1708-15		Она вздрогнула, выпрямилась и перевела взгляд со Стеббса на Друда; отступила, волнуясь, взяла кружку и бросила вновь, прислушиваясь, как звякнула жесть.	146:151	0:152
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1694-15		Два парня в новых рубахах, сшитых как будто из розовой жести, похожие друг на друга, как два барана, остановились у крыльца, один из них посмотрел на дачников, подошел к слепой, взял ее за руку и сказал непреклонно: -- Бабка Анфиса, очисть место госполам.	55:60	0:255
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1696-15		Над калиткой стоял ангел, нарисованный на жести и вырезанный.	42:47	0:61
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1698-15		Наклонные эти косые скаты, смотря по тому, на какой высоте они находились, служили кровлями каким-то застрехам или чердакам, а иногда просто закуткам, и сквозь низкую их прогнившую жесть светил свет или неба, или поднебесья, или дворового воздуха, или сразу всего уличного захолустья.	181:186	0:284
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1748-15		Кустари-ёкальщики, чье искусство передается длинной цепью поколений, привычны к слаживанию из гирь узорных стрел и из иззубленной жести базарных ходиков, кое-как ковыляющих вслед за временем.	130:135	0:191
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1700-15		Железные шторы магазинов были прикреплены болтами к земле, у будок, где продавались жареные каштаны, стыли оставленные на произвол судьбы жаровни, ворота были заперты, сквозь их крошечные окошечки с фанерными задвижками было видно, как невысокий ветерок с моря, предвестник ожидаемой бури, медленно катил по опустевшим улицам свернувшиеся, как жесть, листья.	344:349	0:358
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1704-15		Мирон Вдовин принес ящик с походным имуществом штаба, фонарь, большой медный чайник, кружки из белой жести.	101:106	0:107
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1706-15		Он шуршал в листве над его постепенно влажнеющей головой (не совсем трезвой), он дробно позванивал о новую жесть, которой Мочалки третьего дня покрыли беседку.	107:112	0:159
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1712-15		"Ималист" стал ползать трусливыми мелкобуквенными каракулями с деревянных досочек на куски спрятанной в подворотне и внутри подъездов жести, ютился чернильными разводами на крохотных и диктовых листиках, создавая особый стиль нелегальной вывески, одновременно и зазывающей, и прячущей свой товар.	134:139	0:296
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1714-15		Там, где в мир вошли мы под луной, "Привези мне ветку дикой груши", -- наказал я женщине одной." "...Ни к чему мне талисман от сглаза иль чеканки золотая жесть.	154:159	0:160
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1716-15		Гришаня делает конкретное дело: он строит изгородь, возится у хлева, с пяти утра уже тюкает топором, постоянно подновляя что-то и пристраивая, он валит лес, пашет землю, подстригает волосы, ловит рыбу, обкладывает баранов, режет коров, набивает колбасу, изузоривает наличники, кроит из жести дымницы, починяет сапоги, строит детей, пьет вино, часто матерится и поет песни под тульскую гармонику, уронив голову на хромку и призакрыв глаза.	286:291	0:438
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1718-15		Якорь также можно спаять из нескольких слоев жести.	45:50	0:51
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1720-15		Двое грузчиков, открыв дверцу кабины, вытаскивали какой-то тяжелый ящик с окантовкой из жести.	88:93	0:94
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1702-15		Босиком, в летних галифе, завязанных у щиколоток, в синей майке -- тело у него белое, молодое, здоровое, а шея и кисти рук коричневые от загара, -- он оседлал железный лом на табуретке и вдохновенно стучит по нему молотком, что-то сгибая из жести.	241:246	0:247
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1746-15		Девочка расстроилась: ведро новенькое, из светлой жести, мать его совсем недавно купила в городе.	50:55	0:97
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1722-15		На огороде у Мелеховых оказалась швейная машина, принадлежавшая Богатыревым, а жесть со своего амбара Пантелей Прокофьевич разыскал на гумне у Аникушки.	79:84	0:152
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1744-15		Пахло мятой и крашеной жестью, догоряча нагретой солнцем.	23:29	0:57
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1726-15		Другая оказалась потертой, грязной и твердой, как из жести.	53:58	0:59
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1734-15		Таяли и испарялись крыши, жесть и черепица дымились рыхлым паром и исчезали на глазах.	26:31	0:86
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1730-15		Шахов послушно встал; они остановились недалеко от трактира, прямо под фонарем; свет его падал на огромные фабричные стены на разбитый цементный забор, усеянный стеклом и жестью.	171:177	0:178
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1728-15		Крышу сушилки (5) делают из жести, ножки -- из проволоки.	28:33	0:57
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1732-15		Сделали ему мои саперы здоровенный рупор из жести, и он целыми днями через этот рупор, вместе с переводчиком, немцев агитировал.	44:49	0:128
жесть	NOUN	1918	1918-1990	1918-1990_жесть_1750-15		Потому что из мрамора и гранита никак не сделаешь такого, как из жести и кирпича.	65:70	0:81
