lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
живот	NOUN	1918	1918-1990	1918-1990_живот_1768-15		Она оторвала его руки от больного места, сама расстегнула брючный ремень и быстро стала ощупывать живот, безжалостно запуская пальцы в тело.	98:103	0:140
живот	NOUN	1918	1918-1990	1918-1990_живот_1766-15		Среди них много беременных, с высокими отвратительными животами.	55:63	0:64
живот	NOUN	1918	1918-1990	1918-1990_живот_1808-15		Древние памяти Прение живота и смерти Живот рече: -- Кто ты, о страшное диво Кости наги, видение твое и голос твой -- говор водный.	22:28	0:131
живот	NOUN	1918	1918-1990	1918-1990_живот_1774-15		Люди хватаются за животы, визжат и стонут, показывают друг другу на Комариху пальцами.	18:24	0:86
живот	NOUN	1918	1918-1990	1918-1990_живот_1810-15		Так и у жены с другими разница по духу, а не по внешним показателям в виде там груди, ног или живота, хотя и тут могут быть отдельные и значительные несовпадения.	94:100	0:162
живот	NOUN	1918	1918-1990	1918-1990_живот_1812-15		Слухач, пошатываясь и заплетая кривые ноги, ходил кругами, расплескивая пригоршнями коричневый травобой из огромного горшка, подвешенного на животе.	141:147	0:148
живот	NOUN	1918	1918-1990	1918-1990_живот_1772-15		Летчик лихорадочно шарит по животу, но ему удается лишь кончиками пальцев коснуться холодной стали замка.	28:34	0:105
живот	NOUN	1918	1918-1990	1918-1990_живот_1776-15		В груди и в животе, опять где-то около солнечного сплетения, вновь заныл жутковатый холодок, тот самый холодок, который испытываешь во время опасности.	12:18	0:151
живот	NOUN	1918	1918-1990	1918-1990_живот_1770-15		И победителем бацал по доскам помоста, пропятив живот.	48:53	0:54
живот	NOUN	1918	1918-1990	1918-1990_живот_1754-15		Сейчас мы слишком близки сами все от Черты, чтобы чувствовать по-человечески, за других, не только за живот свой.	102:107	0:113
живот	NOUN	1918	1918-1990	1918-1990_живот_1784-15		Руслан, проехав по нему животом, перевернулся через голову и покатился в пыли.	24:31	0:78
живот	NOUN	1918	1918-1990	1918-1990_живот_1756-15		В заливчике, на берегу которого стоял Beaulieu, море было идеально спокойное, как всегда; глубоко на дне темнели камни, на прибрежных подводных островках росли альги, из которых живыми фонтанами расплывались целые стайки маленьких рыб; крохотные зеленые крабы бегали по камням, на дне, и, чтобы их увидеть, нужно было лежать на воде почти неподвижно, на животе, погрузив лицо в море и пристально глядя вниз.	354:360	0:407
живот	NOUN	1918	1918-1990	1918-1990_живот_1758-15		Он презрительно подмигнет ей вслед, когда она пойдет по улице со своим разросшимся животом.	83:90	0:91
живот	NOUN	1918	1918-1990	1918-1990_живот_1760-15		Гамбургское Страшилище взял в руку десятый стакан и, почесывая живот, начал: -- Мать тфаю, клянь-ка, как...	63:68	0:107
живот	NOUN	1918	1918-1990	1918-1990_живот_1762-15		Тот невероятно распух, видимо, по болезни, едва ходил, перекатывая громадный живот.	77:82	0:83
живот	NOUN	1918	1918-1990	1918-1990_живот_1786-15		Иван Почиталин принял с поклоном из рук государя лист, вскочил на телегу, где, хлопая крыльями, горланил на всю степь красноперый петух, и неспешно, смакуя каждое слово присяги, прочел: -- "Я, казак войска государева, обещаюсь и клянусь всемогущим богом, пред святым его евангелием, в том, что хощу и должен всепресветлейшему, державнейшему, великому государю императору Петру Федорычу служить и во всем повиноваться, не щадя живота своего, до последней капли крови, в чем да поможет мне господь бог всемогущий".	426:432	0:512
живот	NOUN	1918	1918-1990	1918-1990_живот_1804-15		И се, нет торжественного Великого славословия и священники в праздничных одеждах полагают земные поклоны на Господи и Владыко живота моего.	126:132	0:139
живот	NOUN	1918	1918-1990	1918-1990_живот_1806-15		Они лежали, прижавшись друг к другу, и она ощущала его всего -- щекой, животом, ногами, и ей было этого мало, ей хотелось чувствовать его спиной, затылком, чтобы всюду был он, завернуться в него.	71:78	0:195
живот	NOUN	1918	1918-1990	1918-1990_живот_1802-15		Увидев на пороге беременную дочь, бабушка запричитала: -- И что ж ты, горе мое, с таким животом отправилась в дорогу.	88:95	0:117
живот	NOUN	1918	1918-1990	1918-1990_живот_1788-15		А кармашка на животе не видно было.	14:20	0:35
живот	NOUN	1918	1918-1990	1918-1990_живот_1790-15		-- А как уж совсем в Миассе животы подвело, двинул отец всем кагалом на Златоустовский завод.	28:34	0:93
живот	NOUN	1918	1918-1990	1918-1990_живот_1782-15		днями" Но нет, это не интересует эгоцентричного юношу, нет места средь его игр чужим сантиментам, подробностям посторонних, смешных лаборанту, немолодых чувств; он, как сеттер, обегает челноком поля негатива, с азартом подмечая, что там есть пожива: случайное сцепление голов с животами, надстройки из чьих-то локтей к чьим-то носам, многорукость одних при полном отсутствии конечностей у других тел, парение лишенных опоры предметов.	278:286	0:434
живот	NOUN	1918	1918-1990	1918-1990_живот_1792-15		Харламов в трусах, лежит на животе.	28:34	0:35
