lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
закладка	NOUN	1918	1918-1990	1918-1990_закладка_182-15		Чтобы получить силос высокого качества, весь процесс от скашивания до закладки в хранилище должен занимать не более 1-2 ч.	70:78	0:122
закладка	NOUN	1918	1918-1990	1918-1990_закладка_236-15		Тит открыл книгу на зеленой закладке и, перекрестившись, стал гнусаво читать, спотыкаясь на каждом слове: -- "В Констянтине-граде бяше купец именем Феодор, богат зело.	28:36	0:167
закладка	NOUN	1918	1918-1990	1918-1990_закладка_230-15		Там 22 мая была закладка Соборного храма во имя Покрова Богородицы при Марфо-Мариинской обители.	16:24	0:96
закладка	NOUN	1918	1918-1990	1918-1990_закладка_238-15		Задача возмещения хлебного вывоза вывозом других товаров остается перед нами и на ближайшие годы, пока деятельность крупнейших государственных "хлебных фабрик" -- огромных совхозов, закладка которых начата с прошлого года, не позволит нам восстановить хлебный вывоз без всякого ущерба для внутреннего потребления страны.	182:190	0:320
закладка	NOUN	1918	1918-1990	1918-1990_закладка_212-15		Ветер унес из его книги закладку, и теперь нужное место предстояло найти.	24:32	0:73
закладка	NOUN	1918	1918-1990	1918-1990_закладка_228-15		Некоторые -- с закладками.	15:25	0:26
закладка	NOUN	1918	1918-1990	1918-1990_закладка_224-15		Ассигнования на его строительство -- 42,5 млн. долларов -- утвердили летом 1956 года, но только через 2 года на верфи "Нью-Йорк шипбилдинг корпорейшн" в Кемпдене состоялась торжественная закладка "Саванны".	187:195	0:206
закладка	NOUN	1918	1918-1990	1918-1990_закладка_194-15		А распространенным предположением было, что провода после закладки были повреждены по какой-нибудь случайности.	58:66	0:111
закладка	NOUN	1918	1918-1990	1918-1990_закладка_180-15		Проект, представленный Казаковым, получил утверждение, и на пустыре, принадлежавшем Петровскому монастырю, состоялась закладка Петровского дворца (рис. 1).	118:126	0:155
закладка	NOUN	1918	1918-1990	1918-1990_закладка_232-15		Он принял Муравьева в постели, вставать или даже сидеть ему все еще не разрешали, хотя, наверное, ему лучше было б встать, чем лежать так, как лежал он, -- беспорядочно заваленный со всех сторон кипами газет, разбросанных по одеялу, по полу возле кровати, под кроватью рядом с больничным судном и на столике поверх лекарств и нетронутых фруктов, газет русских, английских, испанских и каких-то еще, за все последние числа, а то и недели, что он был лишен возможности читать; между газетами видны были и книги, раскрытые где-нибудь посредине на нужной странице или заложенные бумажными, наспех нарванными из газетных полос закладками.	622:632	0:633
закладка	NOUN	1918	1918-1990	1918-1990_закладка_184-15		Закладки эти почти истлели, и я хочу сохранить этот список любимых Блоком стихов.	0:8	0:81
закладка	NOUN	1918	1918-1990	1918-1990_закладка_226-15		Завтраки сменялись обедами, обеды ужинами, в гардеробе появлялись новые наряды, а старые отказывались прислуге, на охоте досадным образом гибли роскошные породистые псы, а по весне двор снова наполнялся щенячьим визгом и тявканьем, времена года мелькали, словно листы раскрашенного альбома, с головокружительной быстротой, кое-где делались закладки, а какие-то страницы и вовсе казались нечитанными, родилась Аннушка, внешность моя, равно как и нрав, подверглись значительным переменам, я стала степеннее, терпимее, в облике моем прибавилось значительности, выразившейся также в увеличении веса моего тела, Жорж Аннушку обожал сверх всякой меры, к Маше относился несколько прохладнее, но все равно все в нашем семействе было хорошо.	340:348	0:732
закладка	NOUN	1918	1918-1990	1918-1990_закладка_186-15		Осенью же было приступлено к земляным работам, а весной предполагалась закладка храма.	71:79	0:86
закладка	NOUN	1918	1918-1990	1918-1990_закладка_234-15		Когда каменное здание выведено из цоколя, а деревянное имеет уже два венца, хозяин назначал день праздника -- закладки.	110:118	0:119
закладка	NOUN	1918	1918-1990	1918-1990_закладка_190-15		Кроме того, в зоне орошения предусмотрены планировка земель, устройство сбросной сети, закладка лесополос.	87:95	0:106
закладка	NOUN	1918	1918-1990	1918-1990_закладка_192-15		Начав с описания необыкновенного сада и опуская второстепенные эпизоды, он вскоре дошел до замечаний на закладках.	104:113	0:114
закладка	NOUN	1918	1918-1990	1918-1990_закладка_214-15		Вся работа по привитию гигиенических навыков должна развиваться по двум направлениям: с одной стороны, обработка сознания для привития определенных мотивов поведения, обеспечивающего личную и общественную охрану здоровья; с другой стороны, закладка в психику таких привычек, которые автоматически, без участия сознания, в каждом отдельном случае определяли бы целесообразное, поведение в гигиеническом отношении.	240:248	0:412
закладка	NOUN	1918	1918-1990	1918-1990_закладка_210-15		Закончив посадку лесных полос первой очереди, колхозы этой МТС, при участии Почвенно-агрономической станции имени В. Р. Вильямса, разработали план закладки основных, господствующих широких полос по главным водоразделам района.	147:155	0:226
закладка	NOUN	1918	1918-1990	1918-1990_закладка_188-15		Строительный обычай в Архангельске: при закладке дома сначала утверждали окладное бревно.	40:48	0:89
