lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1914-15		Все учреждения, заводы, издательства спешно расквитываются с долгами.	24:36	0:69
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1930-15		И что б ещё ни сделала на этом пути и для этих хозяев (сегодня она разговор провела не так, не склонила меня к частной встрече с гебистами, будем "ждать" предложения от издательства, -- зато уверенно доказано, что я не атакую, не печатаю "Архипелаг", что я мирно настроен) -- что б ни сделала она в будущем, никогда я не смогу отъединиться и швырнуть: "Это сделала -- ты!"	169:181	0:372
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1932-15		Но Лу Синь был человеком бесстрашным -- он задумал издание "Железного потока" и специально для этой цели создал издательство, назвав его, как говорят русские, "для отвода глаза "Издательство трех бездельников" -- по-китайски это звучит так!	112:124	0:240
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1904-15		У меня только что вышел роман в издательстве "Плён".	32:44	0:52
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1874-15		Так написано мною и целиком напечатано типографским способом в газете "Известия", в журнале "Новый мир" и в отдельной книжке, выпущенной издательством "Советский писатель".	137:150	0:172
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1876-15		Обычно изымаются все машинописные материалы, имеющие даже отдаленное сходство с самиздатом, все рукописи обыскиваемого (все это -- вне зависимости от их содержания и направленности), записные и телефонные книжки, часто изымаются сберкнижка и все наличные деньги (особенно если власти считают, что обыскиваемый имеет отношение к Фонду помощи политзаключенным и их семьям), изымаются книги зарубежных издательств, иногда -- все издания на иностранных языках, включая книги для детей самого младшего возраста (во время обыска у Анатолия Марченко изъяли французские детские книги для обучения письму и чтению самого начального уровня и тетрадки его семилетнего сына Павлика с рисунками и сделанными им подписями на французском языке), словари иврита, часто -- книги религиозного содержания.	399:410	0:786
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1878-15		Если найдется какое-нибудь издательство, которое пожелает эту вещь издать, договорись с ним.	27:39	0:92
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1880-15		Как известно, научное издательство у нас сейчас чрезвычайно стеснено и наша академия, поставленная в этом отношении в лучшее, чем другие учреждения положение, не может в этой области правильно развивать свою деятельность.	22:34	0:221
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1928-15		Издательство покорнйше проситъ высылать подписную плату за нсколько мсяцевъ впередъ, что необходимо ввиду отсутствiя оборотныхъ средствъ, позволившихъ бы сдлать "Встникъ" по своей цн наиболе доступнымъ. неизвестный.	0:12	0:215
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1882-15		В своих воспоминаниях детства, которые он печатал в "Последних новостях" (позже они вышли в Чеховском издательстве в Нью-Йорке в двух томах), он много говорит о своем детстве, о своем "тельце", о "ручках и ножках", о красавице-мамаше и красавце-папаше, и над ним часто смеялись, но мне никогда не казалось это ни смешным, ни странным: такова была его сущность, след воспитания, иным он быть не мог, все прошлое было для него безоблачно и свято, и особенно прошлое Петербурга, "Мира искусства", семейства (клана) Бенуа и всех их родственников, отмеченных, так сказать, богами.	102:114	0:575
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1886-15		Издательство "Молодая гвардия".	0:12	0:31
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1888-15		Министерству просвещения СССР, министерствам просвещения союзных республик, Государственному комитету СССР по делам издательств, полиграфии и книжной торговли подготовить и издать новые, усовершенствованные учебники в комплекте с пособиями и дидактическими материалами.	116:127	0:269
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1892-15		В деревянном торговом помещении на Верхнем базаре, занятом издательством губернского Союза потребительских обществ, нашел я Сергея Тимофеевича Патрашкина.	59:72	0:154
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1894-15		Сперва хотел писать ему (А.Е. Ферсману) -- думаю, что не буду, если не реагирую на издательство.	83:95	0:96
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1896-15		Книжечку выпустило издательство "Прогресс".	19:31	0:43
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1900-15		М., Государственное издательство художественной литературы, 1956, стр. 38.	20:32	0:74
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1902-15		Могла быть и другая причина, побудившая эту женщину послать в издательство свою рукопись,-- страх забвения случившегося с нею,-- автору хотелось, наверно, чтобы пережитое не кончилось для нее в ту самую секунду, когда оно ее покинуло.	62:74	0:234
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1884-15		Кто-то сказал в издательстве, что наборщики похвалили книгу -- верный признак, что ее ждет успех!	16:28	0:97
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1926-15		М., Государственное издательство художественной литературы, 1956.	20:32	0:65
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1898-15		Подумав немного, я решил не спешить с возвращением документов в дирекцию издательства.	73:85	0:86
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1890-15		О Финкельберге, тогда редакторе в издательстве "Мысль": "Он пока еще молодой, несется ввысь и думает, что так всегда было и будет.	34:46	0:130
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1906-15		Но все же, конечно, "Разговор" -- временная статья, и я не включил бы ее сборник, если бы издательство не считало, что сборник избранного не может обойтись без этого "шедевра"*.	90:102	0:177
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1912-15		Он поступил работать редактором в местное издательство, сразу и охотно воспринял и полюбил местный трудовой народ, его славную и причудливую историю, его приверженность к "рукомеслу", и когда поручили Ивану писать какую-то очередную историю оружейного завода с перечислением его заслуг и патриотических начинаний, Иван Панькин вместо книги, которые обычно никто не читает, кроме директора завода, парторга и руководящего состава предприятия, взял да и написал "Тульские сказы".	42:54	0:477
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1918-15		Я со смехом рассказал, что с издательства Академии наук я и начал, предложив рукопись с отзывом К. М. Быкова и Ф. П. Майорова.	29:41	0:126
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1908-15		С этого момента, точнее дня -- 6 июня 1947 года -- все издательства Советского Союза, вплоть до областных и национальных, стали включать книгу в свои планы.	55:67	0:156
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1920-15		Издательство закрыто.	0:12	0:21
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1910-15		Твардовский дал в издательство рецензию на Тусину книгу очень хвалебную, но директор издательства сказал ему: -- Мы все равно эту книгу не выпустим.	18:30	0:148
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1922-15		Впрочем, на это не могли претендовать и предшественники, в частности, первая жена Куприна -- Мария Карловна Куприна-Иорданская, автор воспоминаний "Годы молодости" (вышедших в 1960 году в издательстве "Советский писатель", затем, в расширенном и дополненном виде, опубликованных в 1966 году "Художественной литературой" в серии литературных мемуаров).	188:200	0:351
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1916-15		Поступил на службу в издательство Сытина корректором.	21:33	0:53
издательство	NOUN	1918	1918-1990	1918-1990_издательство_1924-15		Издательство выпустило (и немалым, к слову, тиражом) том не публиковавшихся прежде работ профессора Неведова, включив туда также и воспоминания о нем.	0:12	0:150
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1897-15		Издательство Московского университета 1985 г. стр.33] Однако не с такой ли ситуацией, но только на уровне культурно-исторических типов мы сталкиваемся сегодня И не горький ли опыт морального оправдания классовой взаимоисключительности, пережитый в уходящем веке, говорит нам, как опасно переносить подобную мораль расколотого общества на общечеловеческие отношения Конечно, основой планетарной консолидации могут стать сами по себе такие общечеловеческие ценности, как жизнь, свобода, достоинство и т.д. Однако в условиях цивилизации, разобщенной противостоянием различных морально-этических систем, эти ценности неизбежно подчинены самодовлеющей силе этого противостояния.	0:12	0:673
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1915-15		* * * Светлана Параскевич припарковала старенькие "Жигули" возле издательства и вошла в подъезд, неся в руках толстую папку.	65:77	0:124
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1895-15		БУХГАЛТЕРСКИЙ УЧЕТ В ИЗДАТЕЛЬСТВЕ И ПОЛИГРАФИИ (1 раз в месяц) Специфика финансово-хозяйственной деятельности СМИ, издательств и полиграфических предприятий, особенности учета и налогообложения.	21:33	0:194
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1887-15		Однако тома этой эпопей раскупались плохо и проводить допечатку тиража издательство не стало.	71:83	0:93
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1893-15		Каждое издательство по-своему ищет баланс этих трех параметров.	7:19	0:63
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1891-15		По заданию Москвы переключаюсь на оптовую торговлю книгами нашего издательства в Северо-западном регионе.	66:78	0:105
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1901-15		Что такое интеллектуальное издательство Определим социологически -- в понятиях самих действующих лиц книжного рынка.	27:39	0:116
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1889-15		Москва: Христианское издательство 1992, с. 19.	21:33	0:46
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1917-15		Издательства вынуждены постоянно запускать новые проекты.	0:12	0:57
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1911-15		Ольга Славникова и молодое, да раннее издательство "Пальмира" ждут всех заинтересованных лиц 4 сентября с 13 до 14 часов в конференц-зале 2 57-го павильона.	38:50	0:156
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1899-15		С конца 1997 года работает в издательстве "Вагриус" редакционным директором, с 1998 года -- заместителем генерального директора.	29:41	0:128
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1913-15		В этот же день состоялась и очередная консультация работников бухгалтерий редакций, издательств и распространительских предприятий -- членов Союза по этим вопросам.	84:95	0:164
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1927-15		Не убедил, пришлось издать книгу в местном издательстве на деньги меценатов.	43:55	0:76
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1909-15		Я знал этого "Нику", композитора Н. В. Набокова, его третья жена Патриция Блейк редактировала мое первое "Избранное" в американском издательстве.	132:144	0:145
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1929-15		Сегодня собеседник нашего корреспондента Юрия Майсурадзе -- заместитель генерального директора издательства Андрей Ильницкий, автор только что выпущенной "Вагриусом" книги "Книгоиздание современной России".	95:107	0:206
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1923-15		И мы уже было вздохнули легко, но тут новая беда -- издательство отказалось от аренды помещения: вы, мол, независимы, сами арендуйте, добивайтесь разрешения у исполкома.	52:64	0:169
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1931-15		Выпустило книгу в свет издательство "Либерея", хорошо известное на книжном рынке своей добротной, интересной и нередко уникальной продукцией.	23:35	0:141
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1933-15		Следствие утверждало, что в результате действий Исмаиловой оказались нарушенными авторские права издательства "Аванта +".	97:109	0:121
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1919-15		-- Я в издательство пойти не могу, придется уговаривать нашего младшенького.	7:19	0:76
издательство	NOUN	1992	1992-2016	1992-2016_издательство_1905-15		"Пришла бумага от Совнаркома с распоряжением дать мне машину (...) я через несколько дней, обегав издательства, наскреб необходимую сумму для выкупа автомобиля", и оказалось, что "машина, как волшебная сила, могущая в любой момент переносить меня к птицам на Журавлиную родину, входила в состав моей творческой личности".	98:110	0:321
