lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2692-15		Маньяк и садист.	0:6	0:16
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2712-15		Как известно, спекулянты-маньяки, вкусившие сладость сильных ощущений, не поддаются убеждениям -- они в этом безнадежны.	25:32	0:120
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2686-15		И здесь, в Наре, я, как маньяк, все тянусь на самые высокие горы, на лысые при этом горы, чтобы быть к нему ближе.	24:30	0:114
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2670-15		Дитрих, с упорством маньяка одержимый своей "новаторской идеей", уговорил Гвоздя полечить ногу, хотя Гвоздь и знал, чем ему грозит госпиталь.	20:27	0:141
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2656-15		Но уже, как маньяк, он не может отвязаться от своей безумной затеи.	12:18	0:67
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2658-15		В руки этого садиста и маньяка были отданы сотни людей.	23:30	0:55
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2660-15		Я еще сказал себе: -- Если ты, сволочь, гаденыш гунявый, маньяк сексуальный, не попробуешь помочь такой несчастной.	57:63	0:115
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2662-15		Так пишет замечательный человек, не поэт, не фантаст, не фанатик, не ослепленный доктриной политический деятель, не партийный маньяк, не церковный безумец, не демагог, не доктринер, не прожектер, не утопист, не аскет.	126:132	0:217
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2664-15		Создатели спектакля вслед за автором стремятся гневно развенчать убийц, маньяков, насильников.	72:80	0:94
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2666-15		По крайней мере, если Бурцев и будет кричать, -- то он останется единственным маньяком.	78:86	0:87
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2654-15		Что говорит в нем Слепое упорство маньяка А вдруг та проникновенность, что свойственна таланту Эти две крайности внешне сходны.	34:41	0:127
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2668-15		Что же касается прежнего вопроса, то более двух десятков лет назад известный вам маньяк из Мюнхена называл себя вторым Иисусом Христом, мессией, спасителем человечества.	81:87	0:169
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2672-15		Этот маньяк с неотступным упорством преследовал Милочку письмами.	5:11	0:65
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2674-15		В конце произведения обоим влюбленным какие-то краснокожие папуасы отрезают уши, оскорбляют и избивают, затем их самих кромсают, а потом на Мариэль набрасывается голодный обезумевший маньяк и откусывает оба соска.	183:189	0:213
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2676-15		Но все это, в сочетании с еще дополнительным сроком, только усилило навязчивую идею маньяка.	84:91	0:92
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2678-15		Сколько мы видели изображений Пушкина, где он похож на восторженного маньяка!	69:76	0:77
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2680-15		-- Вчера я разговаривал с одним сексуальным маньяком.	44:52	0:53
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2682-15		Пока не пропала последняя тень вновь воскресшей надежды, Вера, оставив свои кружки и даже единственное утешение -- работу в госпитале, как в дни нашей безумной попытки освободить Михаила, опять, словно маньяк, с горящими глазами, безмолвная, с нечеловеческим напряжением воли, хлопотала о доставлении записки Виктории куда следовало.	202:208	0:333
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2710-15		-- Что ж ты думаешь, Совет Министров и три министерства так враз и запляшут по твоему слову И в самом деле маньяк!	107:113	0:114
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2708-15		Мимо валила толпа: женщины, и нарядные и чудные, -- в одеждах из портьер, в национальных украинских костюмах, женщины с мокрыми от жары, подведенными глазами, со струйками пота на загримированных щеках; взволнованные спекулянты, продирающиеся, как маньяки, с протянутыми руками сквозь эту толпу женщин; гетманские, с трезубцем на картузах, глупо надутые чиновники, озабоченные идеями денежных комбинаций и хищения казенного имущества; рослые и широкоплечие, с воловьими затылками, гетманские сечевики, усатые гайдамаки в огромных шапках с малиновым верхом, в синих, как небо, жупанах и в чудовищных, с мотней шароварах, по которым два столетия тосковали самостийные учителя гимназий и галицийские романтики.	248:255	0:707
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2684-15		Периодически ползет, что по стране разгуливает маньяк.	47:53	0:54
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2700-15		Христофорову ясно представилось, что действительно это маньяк, и если гении сказали ему, что нужно драться, он драться будет.	55:61	0:125
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2706-15		Господам кажется, что у нас еще остались маньяки, вероятно искренне верившие, что стоит любого советского ученого выпустить за границу, как он сразу же с корабля или поезда побежит в английскую или американскую разведку.	41:48	0:220
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2696-15		Мы читали и перечитывали перечень лжеучений Толстого каждый раз со свежим изумлением и мысленно говорили себе: нет, на опыт всего человечества опираемся мы; будущее представляем мы, а там, наверху, сидят не только преступники, но и маньяки.	232:239	0:240
маньяк	NOUN	1918	1918-1990	1918-1990_маньяк_2698-15		Монархист всем своим существом, он со злобой маньяка мстил городу за расстрел Николая Второго.	45:52	0:94
