identifier1	identifier2	annotator	judgment	comment	lemma
1918-1990_огонь_3084-15	1992-2016_огонь_3085-15	0	1		огонь
1918-1990_огонь_3106-15	1992-2016_огонь_3107-15	0	1		огонь
1918-1990_огонь_3118-15	1992-2016_огонь_3119-15	0	1		огонь
1918-1990_огонь_3100-15	1992-2016_огонь_3101-15	0	1		огонь
1918-1990_огонь_3112-15	1992-2016_огонь_3113-15	0	1		огонь
1918-1990_огонь_3110-15	1992-2016_огонь_3111-15	0	4		огонь
1918-1990_огонь_3132-15	1992-2016_огонь_3133-15	0	1		огонь
1918-1990_огонь_3082-15	1992-2016_огонь_3083-15	0	4		огонь
1918-1990_огонь_3108-15	1992-2016_огонь_3109-15	0	4		огонь
1918-1990_огонь_3128-15	1992-2016_огонь_3129-15	0	4		огонь
1918-1990_огонь_3120-15	1992-2016_огонь_3121-15	0	1		огонь
1918-1990_огонь_3104-15	1992-2016_огонь_3105-15	0	4		огонь
1918-1990_огонь_3126-15	1992-2016_огонь_3127-15	0	4		огонь
1918-1990_огонь_3102-15	1992-2016_огонь_3103-15	0	1		огонь
1918-1990_огонь_3124-15	1992-2016_огонь_3125-15	0	4		огонь
1918-1990_огонь_3130-15	1992-2016_огонь_3131-15	0	4		огонь
1918-1990_огонь_3086-15	1992-2016_огонь_3087-15	0	3		огонь
1918-1990_огонь_3122-15	1992-2016_огонь_3123-15	0	1		огонь
1918-1990_огонь_3088-15	1992-2016_огонь_3089-15	0	3		огонь
1918-1990_огонь_3096-15	1992-2016_огонь_3097-15	0	3		огонь
1918-1990_огонь_3078-15	1992-2016_огонь_3079-15	0	1		огонь
1918-1990_огонь_3090-15	1992-2016_огонь_3091-15	0	3		огонь
1918-1990_огонь_3114-15	1992-2016_огонь_3115-15	0	1		огонь
1918-1990_огонь_3092-15	1992-2016_огонь_3093-15	0	4		огонь
1918-1990_огонь_3094-15	1992-2016_огонь_3095-15	0	3		огонь
1918-1990_огонь_3074-15	1992-2016_огонь_3075-15	0	1		огонь
1918-1990_огонь_3098-15	1992-2016_огонь_3099-15	0	3		огонь
1918-1990_огонь_3076-15	1992-2016_огонь_3077-15	0	3		огонь
1918-1990_огонь_3116-15	1992-2016_огонь_3117-15	0	1		огонь
1918-1990_огонь_3080-15	1992-2016_огонь_3081-15	0	3		огонь
1918-1990_огонь_3080-15	1992-2016_огонь_3081-15	1	2		огонь
1918-1990_огонь_3124-15	1992-2016_огонь_3125-15	1	4		огонь
1918-1990_огонь_3122-15	1992-2016_огонь_3123-15	1	1		огонь
1918-1990_огонь_3116-15	1992-2016_огонь_3117-15	1	1		огонь
1918-1990_огонь_3114-15	1992-2016_огонь_3115-15	1	1		огонь
1918-1990_огонь_3074-15	1992-2016_огонь_3075-15	1	1		огонь
1918-1990_огонь_3128-15	1992-2016_огонь_3129-15	1	1		огонь
1918-1990_огонь_3130-15	1992-2016_огонь_3131-15	1	2		огонь
1918-1990_огонь_3132-15	1992-2016_огонь_3133-15	1	1		огонь
1918-1990_огонь_3118-15	1992-2016_огонь_3119-15	1	1		огонь
1918-1990_огонь_3076-15	1992-2016_огонь_3077-15	1	1		огонь
1918-1990_огонь_3078-15	1992-2016_огонь_3079-15	1	1		огонь
1918-1990_огонь_3126-15	1992-2016_огонь_3127-15	1	4		огонь
1918-1990_огонь_3082-15	1992-2016_огонь_3083-15	1	4		огонь
1918-1990_огонь_3112-15	1992-2016_огонь_3113-15	1	1		огонь
1918-1990_огонь_3098-15	1992-2016_огонь_3099-15	1	3		огонь
1918-1990_огонь_3120-15	1992-2016_огонь_3121-15	1	2		огонь
1918-1990_огонь_3088-15	1992-2016_огонь_3089-15	1	1		огонь
1918-1990_огонь_3110-15	1992-2016_огонь_3111-15	1	4		огонь
1918-1990_огонь_3090-15	1992-2016_огонь_3091-15	1	1		огонь
1918-1990_огонь_3092-15	1992-2016_огонь_3093-15	1	4		огонь
1918-1990_огонь_3108-15	1992-2016_огонь_3109-15	1	4		огонь
1918-1990_огонь_3106-15	1992-2016_огонь_3107-15	1	1		огонь
1918-1990_огонь_3104-15	1992-2016_огонь_3105-15	1	1		огонь
1918-1990_огонь_3094-15	1992-2016_огонь_3095-15	1	1		огонь
1918-1990_огонь_3096-15	1992-2016_огонь_3097-15	1	4		огонь
1918-1990_огонь_3102-15	1992-2016_огонь_3103-15	1	1		огонь
1918-1990_огонь_3100-15	1992-2016_огонь_3101-15	1	2		огонь
1918-1990_огонь_3084-15	1992-2016_огонь_3085-15	1	1		огонь
1918-1990_огонь_3086-15	1992-2016_огонь_3087-15	1	4		огонь
1918-1990_огонь_3094-15	1992-2016_огонь_3095-15	2	1		огонь
1918-1990_огонь_3086-15	1992-2016_огонь_3087-15	2	1		огонь
1918-1990_огонь_3092-15	1992-2016_огонь_3093-15	2	4		огонь
1918-1990_огонь_3074-15	1992-2016_огонь_3075-15	2	1		огонь
1918-1990_огонь_3096-15	1992-2016_огонь_3097-15	2	1		огонь
1918-1990_огонь_3116-15	1992-2016_огонь_3117-15	2	1		огонь
1918-1990_огонь_3076-15	1992-2016_огонь_3077-15	2	1		огонь
1918-1990_огонь_3088-15	1992-2016_огонь_3089-15	2	1		огонь
1918-1990_огонь_3132-15	1992-2016_огонь_3133-15	2	1		огонь
1918-1990_огонь_3078-15	1992-2016_огонь_3079-15	2	3		огонь
1918-1990_огонь_3114-15	1992-2016_огонь_3115-15	2	1		огонь
1918-1990_огонь_3082-15	1992-2016_огонь_3083-15	2	4		огонь
1918-1990_огонь_3090-15	1992-2016_огонь_3091-15	2	1		огонь
1918-1990_огонь_3120-15	1992-2016_огонь_3121-15	2	2		огонь
1918-1990_огонь_3122-15	1992-2016_огонь_3123-15	2	1		огонь
1918-1990_огонь_3100-15	1992-2016_огонь_3101-15	2	1		огонь
1918-1990_огонь_3124-15	1992-2016_огонь_3125-15	2	4		огонь
1918-1990_огонь_3102-15	1992-2016_огонь_3103-15	2	4		огонь
1918-1990_огонь_3104-15	1992-2016_огонь_3105-15	2	3		огонь
1918-1990_огонь_3098-15	1992-2016_огонь_3099-15	2	1		огонь
1918-1990_огонь_3128-15	1992-2016_огонь_3129-15	2	1		огонь
1918-1990_огонь_3106-15	1992-2016_огонь_3107-15	2	2		огонь
1918-1990_огонь_3130-15	1992-2016_огонь_3131-15	2	3		огонь
1918-1990_огонь_3108-15	1992-2016_огонь_3109-15	2	4		огонь
1918-1990_огонь_3126-15	1992-2016_огонь_3127-15	2	4		огонь
1918-1990_огонь_3118-15	1992-2016_огонь_3119-15	2	1		огонь
1918-1990_огонь_3110-15	1992-2016_огонь_3111-15	2	4		огонь
1918-1990_огонь_3084-15	1992-2016_огонь_3085-15	2	1		огонь
1918-1990_огонь_3080-15	1992-2016_огонь_3081-15	2	1		огонь
1918-1990_огонь_3112-15	1992-2016_огонь_3113-15	2	1		огонь
