lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
пафос	NOUN	1918	1918-1990	1918-1990_пафос_3244-15		Весь свой большой талант, свой искренний революционный пафос, свою блестящую фантазию Мейерхольд вложил в этот свой театр.	55:60	0:122
пафос	NOUN	1918	1918-1990	1918-1990_пафос_3208-15		Не думаю, чтобы пафос современности заключался в трудовых карточках, пайках, отсутствии дров и комиссарских именинах.	16:21	0:117
пафос	NOUN	1918	1918-1990	1918-1990_пафос_3234-15		Работа над текстом происходила так: Вишневский шагал по номеру и с пафосом диктовал, а я записывал.	67:74	0:99
пафос	NOUN	1918	1918-1990	1918-1990_пафос_3202-15		Притом Изабелла была так мила, так полна юной прелести, и Леонардо так безошибочно угадывал все те разочарования семейной и политической жизни, которые подогревали в ней пафос к пустякам, что он охотно доставлял удовольствие молодой женщине.	170:175	0:241
пафос	NOUN	1918	1918-1990	1918-1990_пафос_3200-15		И далее: 1) картина произведения, 2) его пафос, напряженность процесса, 3) его музыка, словесный звукозвон -- должны составлять единый органический образ и его атмосферу -- будь то поэма, драма, роман, небольшое стихотворение.	41:46	0:226
пафос	NOUN	1918	1918-1990	1918-1990_пафос_3198-15		Впрочем, не только революция, революционный пафос вызывали у Блока ощущение музыки.	44:49	0:83
пафос	NOUN	1918	1918-1990	1918-1990_пафос_3194-15		-- А кого бы ты предпочла -- Конечно, сумасшедшего, -- сказала она с таким пафосом, что мы оба рассмеялись.	75:82	0:107
пафос	NOUN	1918	1918-1990	1918-1990_пафос_3214-15		По крайней мере на меня от всех ликов Врубеля-иконописца, из всех этих зрачков, пристальных, немыслимо расширенных, огромных, веет потусторонней жутью, что сродни соблазнительному пафосу его вечного спутника -- Демона.	180:186	0:218
пафос	NOUN	1918	1918-1990	1918-1990_пафос_3210-15		И, похоронив свою "единственную, милую Женни", он напишет близкому другу Фридриху Энгельсу: "...Ты знаешь, что мне более чем кому-либо чужд демонстративный пафос, однако было бы ложью не признаться, что мои мысли большей частью поглощены воспоминаниями о моей жене, которая неотделима от всего того, что было самого светлого в моей жизни".	156:161	0:339
пафос	NOUN	1918	1918-1990	1918-1990_пафос_3206-15		Но конечный, предельный пафос всех этих лозунгов, скрытый от официального штампа, есть, несомненно, протест (пусть опасный по существу и уродливый по форме) против того, что славянофилы называли "внешней правдой", "рационализмом западной культуры".	24:29	0:248
пафос	NOUN	1918	1918-1990	1918-1990_пафос_3226-15		Я сам переживал даже чувство некоторого пафоса, когда мне хорошо чинили ботинки, шили трусики и плохо делали табуретку.	40:46	0:119
