identifier1	identifier2	annotator	judgment	comment	lemma
3374	3375	0	4		поколение
3374	3375	1	4		поколение
3374	3375	2	4		поколение
3376	3377	0	4		поколение
3376	3377	1	4		поколение
3376	3377	2	4		поколение
3378	3379	0	4		поколение
3378	3379	1	4		поколение
3378	3379	2	4		поколение
3380	3381	0	4		поколение
3380	3381	1	4		поколение
3380	3381	2	4		поколение
3382	3383	0	4		поколение
3382	3383	1	4		поколение
3382	3383	2	4		поколение
3384	3385	0	3		поколение
3384	3385	1	4		поколение
3384	3385	2	3		поколение
3386	3387	0	3		поколение
3386	3387	1	3		поколение
3386	3387	2	4		поколение
3388	3389	0	3		поколение
3388	3389	1	4		поколение
3388	3389	2	4		поколение
3390	3391	0	4		поколение
3390	3391	1	4		поколение
3390	3391	2	3		поколение
3392	3393	0	4		поколение
3392	3393	1	4		поколение
3392	3393	2	4		поколение
3394	3395	0	4		поколение
3394	3395	1	4		поколение
3394	3395	2	4		поколение
3396	3397	0	4		поколение
3396	3397	1	3		поколение
3396	3397	2	4		поколение
3398	3399	0	4		поколение
3398	3399	1	3		поколение
3398	3399	2	4		поколение
3400	3401	0	4		поколение
3400	3401	1	4		поколение
3400	3401	2	4		поколение
3402	3403	0	3		поколение
3402	3403	1	1		поколение
3402	3403	2	4		поколение
3404	3405	0	4		поколение
3404	3405	1	4		поколение
3404	3405	2	4		поколение
3406	3407	0	4		поколение
3406	3407	1	4		поколение
3406	3407	2	4		поколение
3408	3409	0	4		поколение
3408	3409	1	4		поколение
3408	3409	2	4		поколение
3410	3411	0	2		поколение
3410	3411	1	1		поколение
3410	3411	2	4		поколение
3412	3413	0	4		поколение
3412	3413	1	3		поколение
3412	3413	2	1		поколение
3414	3415	0	4		поколение
3414	3415	1	4		поколение
3414	3415	2	4		поколение
3416	3417	0	4		поколение
3416	3417	1	4		поколение
3416	3417	2	4		поколение
3418	3419	0	3		поколение
3418	3419	1	4		поколение
3418	3419	2	4		поколение
3420	3421	0	1		поколение
3420	3421	1	4		поколение
3420	3421	2	4		поколение
3422	3423	0	4		поколение
3422	3423	1	4		поколение
3422	3423	2	4		поколение
3424	3425	0	4		поколение
3424	3425	1	4		поколение
3424	3425	2	4		поколение
3426	3427	0	4		поколение
3426	3427	1	3		поколение
3426	3427	2	3		поколение
3428	3429	0	4		поколение
3428	3429	1	3		поколение
3428	3429	2	4		поколение
3430	3431	0	4		поколение
3430	3431	1	1		поколение
3430	3431	2	2		поколение
3432	3433	0	4		поколение
3432	3433	1	3		поколение
3432	3433	2	1		поколение
