lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3518-15		Феникс взял самый большой кукуль, распорол его сбоку и вшил туда еще широкую полосу оленьего меха.	77:83	0:98
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3532-15		Иностранцам давать от 1,5 до 2 полос.	31:36	0:37
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3524-15		Сергей кое-как перебрался вместе с велосипедом через придорожную канаву, бросил возле нее велосипед, а сам пошел дальше к кустарнику и редким березкам, узкой полосой тянувшимся вдоль шоссе.	158:165	0:189
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3530-15		Долматов с Думчиковым пошли вперед метров на шестьсот смотреть полосу и растворились в снежной круговерти.	63:69	0:106
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3522-15		Потом -- сжатые полосы, потом -- снова хлеб на корню, вероятно, давно уже осыпавшийся: ведь было уже 12-ое сентября!	16:22	0:116
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3520-15		И я дорожу шахтерской полосой своей жизни: то был своего рода экзамен на аттестат революционной зрелости".	22:29	0:106
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3494-15		15 января выехал в Баку делать полосу о победителях соревнования нефтяников и пробыл там 3 недели.	31:37	0:98
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3512-15		На концах полученной тушевой полосы в точках А и Б ставим обыкновенные клеммы, в центре укрепляем гайкой телефонное гнездо Е, под которое поджимаем латунную полоску С, к концу ее присоединяем еще один контакт, к нему присоединяется конец -- D соединяющей CD.	29:35	0:258
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3498-15		Правда, пробежали под вечер какие-то тучки-полосы, а сейчас опять чисто.	43:49	0:72
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3516-15		Помогаем отойти моторке от полосы прибоя, и вот мы одни на западном берегу.	27:33	0:75
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3514-15		И вот из-за Майского мыса, от займища среди кипящего ледяного крошева, суетящихся, друг друга обгоняющих, друг друга толкающих, крушащих, скрежещущих льдин выносит льдину белую, широкую, что пашенная полоса.	200:206	0:207
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3500-15		Кто то Незримый и Могучй линовалъ по нему черныя полосы и сейчасъ же стиралъ блестящими, серебромъ играющими чертами.	49:55	0:117
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3528-15		Эту полосу, слагающую голец, названный Высочайшим, можно было бы разрабатывать в качестве коренного месторождения, так как невысокое, в среднем, содержание золота в этих породах окупалось бы добычей больших масс открытыми работами.	4:10	0:231
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3502-15		Замечать-то я их замечал, но никогда не задумывался над происхождением пятен и полос и даже думал, признаться, что они возникают на месте коровьих дорожек, удобряющих землю.	79:84	0:173
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3504-15		Чья-то соломенная шляпа уплывала за кормой, качаясь на широкой полосе пены.	63:69	0:75
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3536-15		На самом горизонте густо синела полоса незамерзшей воды.	32:38	0:56
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3510-15		Эти шесть полос не набирались в Магнитогорске.	10:15	0:46
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3544-15		А что такое -- откуда у тебя кошка -- Откуда, спрашиваешь Это уж, второй взвод, недопустимое безобразие, на глазах у вас животное с голоду может умереть, а вы что Лейтенант Княжко выглядел по обыкновению педантично опрятным, ни единой складки на гимнастерке, светлые волосы причесаны на косой пробор, гладко-влажны, грудь чуть выпукла, ослепляет полосой орденов, сапожки до безупречной чистоты зеркальны.	346:353	0:404
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3550-15		Кроме того, в область было назначено два лесничих, которые начали осматриваться по своей отрасли (фисташковые леса в горах близ Ашхабада и обложение казенным сбором саксауловых зарослей в некоторых частях пустынной полосы).	215:221	0:223
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3542-15		Пару раз и я считывал полосы.	22:28	0:29
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3540-15		"Советская литература на подъеме" -- прочитала я заголовок на первой полосе.	69:75	0:76
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3548-15		И каково же было их удивление, когда, придя на место, они не обнаружили моржа; только широкая полоса, видневшаяся на песке, указывала, куда был утащен зверь.	94:100	0:157
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3508-15		На другой день уныло свистал ветер, мотались на вешалах сети, мело песок по берегу, море волновалось, грохотало, вода была мутна далеко за полосой прибоя.	139:146	0:154
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3546-15		Таким образом будущий Художественный факультет проектируемого Фото-Кино-Института является учреждением уже вступившим в полосу учебно-производственной работы, имеющим перед собою не только упования на будущее, но и целый ряд оправданных дерзаний, дающих ему все права на самостоятельную жизнь и самодеятельность.	120:126	0:312
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3526-15		Поэтому между "освещенными" частями поверхности земного шара образуется кольцеобразная полоса "тени", доказывающая реальность существования земного ядра.	87:93	0:153
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3552-15		Но зато южные водохранилища позволили обводнить, вернуть к жизни такое количество ранее бесплодных земель, получить с них такие урожаи сельскохозяйственных культур, что выгода с лихвой перекрыла потери от засоления узкой прибрежной полосы.	232:238	0:239
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3506-15		Грунт вулканический, мощная полоса трапов.	28:34	0:42
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3534-15		Севернее полосы холода Снова самолет.	9:15	0:37
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3496-15		Супруга посла и в роскошном вечернем туалете от Пуаре осталась сельской учительницей из самой скудной полосы царской России.	102:108	0:124
полоса	NOUN	1918	1918-1990	1918-1990_полоса_3538-15		Привычный и пустой взор останавливался только на тех фото, которые были похожи на уже примелькавшиеся на страницах газетных полос.	124:129	0:130
полоса	NOUN	1992	1992-2016	1992-2016_полоса_3531-15		Только очень крупная вещь могла преодолеть перспективу и не кануть на студенистой равнине, где люди один за другим пропадали из глаз, не успев никуда дойти, исчезали прямо на открытом месте посреди сливающихся в полосы подробностей.	212:218	0:232
полоса	NOUN	1992	1992-2016	1992-2016_полоса_3505-15		Если обойти их ярус за ярусом, трехкилометровая полоса каменных картин шаг за шагом откроет взору житие Будды.	48:54	0:110
полоса	NOUN	1992	1992-2016	1992-2016_полоса_3497-15		Я оглядел низкие казармы, земляные склады, хороший тренировочный комплекс, полосу препятствий, площадку для медитаций, строевой плац и здоровенную, пяти шестиметровую, статую сидящего Кришны.	75:81	0:191
полоса	NOUN	1992	1992-2016	1992-2016_полоса_3499-15		Человек поистине выдающийся, Дмитрий Леонидович в те смутные времена сумел на протяжении длительного времени обеспечивать в полосе отчуждения КВЖД порядок и благополучие -- её, эту полосу, нарекли "благословенной Хорватией".	124:130	0:224
полоса	NOUN	1992	1992-2016	1992-2016_полоса_3501-15		Овчарка вдруг легла на живот и, поскуливая, поползла к Севастьянову, оставляя на траве темную полосу.	94:100	0:101
полоса	NOUN	1992	1992-2016	1992-2016_полоса_3507-15		Брюшко сверху с мембранозной полосой от середины 2-го до конца 8-го тергита; 7-й стернит несколько темнее и длиннее предыдущих; 8-й стернит удлинен, образуя субгенитальную пластинку, четко отделенную от боковых частей 8-го стернита лишь в дистальной трети; задний край субгенитальной пластинки равномерно округленный, окаймленный узкой темной полоской, прерванной в середине; 9-й стернит в передней половине мембранозный.	29:36	0:421
полоса	NOUN	1992	1992-2016	1992-2016_полоса_3509-15		Национальные транспортные коридоры, в полосе которых размещаются коммуникации опорной транспортной сети, стыкуются с международными транспортными коридорами европейской и азиатской транспортных сетей.	38:44	0:200
полоса	NOUN	1992	1992-2016	1992-2016_полоса_3529-15		Другая серия тканей обладает яркой цветовой гаммой: здесь и одноцветные решения, и многокрасочные полосы.	98:104	0:105
полоса	NOUN	1992	1992-2016	1992-2016_полоса_3503-15		Едкая, низкими, плотными полосами стелющаяся понизу, прогорклая вонь от жарящихся через каждые три-четыре метра шашлыков.	25:33	0:121
полоса	NOUN	1992	1992-2016	1992-2016_полоса_3541-15		На основании изложенного сделаны следующие выводы: лесные полосы на склонах северо-западной экспозиции снижают летнюю температуру воздуха и почвы (особенно в середине дня) на 4, 0-7, 8 C; на прилегающем к лесным полосам поле выделяются зоны наибольшего прогревания воздуха и почвы.	58:64	0:281
