identifier1	identifier2	annotator	judgment	comment	lemma
1918-1990_полость_3568-15	1992-2016_полость_3569-15	0	4		полость
1918-1990_полость_3560-15	1992-2016_полость_3561-15	0	1		полость
1918-1990_полость_3586-15	1992-2016_полость_3587-15	0	1		полость
1918-1990_полость_3608-15	1992-2016_полость_3609-15	0	2		полость
1918-1990_полость_3572-15	1992-2016_полость_3573-15	0	1		полость
1918-1990_полость_3602-15	1992-2016_полость_3603-15	0	1		полость
1918-1990_полость_3610-15	1992-2016_полость_3611-15	0	2		полость
1918-1990_полость_3582-15	1992-2016_полость_3583-15	0	1		полость
1918-1990_полость_3562-15	1992-2016_полость_3563-15	0	2		полость
1918-1990_полость_3612-15	1992-2016_полость_3613-15	0	2		полость
1918-1990_полость_3600-15	1992-2016_полость_3601-15	0	1		полость
1918-1990_полость_3558-15	1992-2016_полость_3559-15	0	2		полость
1918-1990_полость_3580-15	1992-2016_полость_3581-15	0	1		полость
1918-1990_полость_3598-15	1992-2016_полость_3599-15	0	1		полость
1918-1990_полость_3570-15	1992-2016_полость_3571-15	0	3		полость
1918-1990_полость_3604-15	1992-2016_полость_3605-15	0	1		полость
1918-1990_полость_3588-15	1992-2016_полость_3589-15	0	1		полость
1918-1990_полость_3566-15	1992-2016_полость_3567-15	0	1		полость
1918-1990_полость_3596-15	1992-2016_полость_3597-15	0	3		полость
1918-1990_полость_3556-15	1992-2016_полость_3557-15	0	1		полость
1918-1990_полость_3554-15	1992-2016_полость_3555-15	0	1		полость
1918-1990_полость_3594-15	1992-2016_полость_3595-15	0	3		полость
1918-1990_полость_3578-15	1992-2016_полость_3579-15	0	1		полость
1918-1990_полость_3584-15	1992-2016_полость_3585-15	0	2		полость
1918-1990_полость_3592-15	1992-2016_полость_3593-15	0	1		полость
1918-1990_полость_3574-15	1992-2016_полость_3575-15	0	1		полость
1918-1990_полость_3564-15	1992-2016_полость_3565-15	0	4		полость
1918-1990_полость_3590-15	1992-2016_полость_3591-15	0	3		полость
1918-1990_полость_3576-15	1992-2016_полость_3577-15	0	1		полость
1918-1990_полость_3606-15	1992-2016_полость_3607-15	0	1		полость
1918-1990_полость_3560-15	1992-2016_полость_3561-15	1	2		полость
1918-1990_полость_3564-15	1992-2016_полость_3565-15	1	4		полость
1918-1990_полость_3562-15	1992-2016_полость_3563-15	1	2		полость
1918-1990_полость_3568-15	1992-2016_полость_3569-15	1	4		полость
1918-1990_полость_3612-15	1992-2016_полость_3613-15	1	2		полость
1918-1990_полость_3570-15	1992-2016_полость_3571-15	1	3		полость
1918-1990_полость_3582-15	1992-2016_полость_3583-15	1	1		полость
1918-1990_полость_3566-15	1992-2016_полость_3567-15	1	1		полость
1918-1990_полость_3578-15	1992-2016_полость_3579-15	1	4		полость
1918-1990_полость_3576-15	1992-2016_полость_3577-15	1	1		полость
1918-1990_полость_3574-15	1992-2016_полость_3575-15	1	2		полость
1918-1990_полость_3572-15	1992-2016_полость_3573-15	1	1		полость
1918-1990_полость_3584-15	1992-2016_полость_3585-15	1	1		полость
1918-1990_полость_3556-15	1992-2016_полость_3557-15	1	1		полость
1918-1990_полость_3558-15	1992-2016_полость_3559-15	1	1		полость
1918-1990_полость_3580-15	1992-2016_полость_3581-15	1	1		полость
1918-1990_полость_3554-15	1992-2016_полость_3555-15	1	1		полость
1918-1990_полость_3604-15	1992-2016_полость_3605-15	1	1		полость
1918-1990_полость_3598-15	1992-2016_полость_3599-15	1	1		полость
1918-1990_полость_3588-15	1992-2016_полость_3589-15	1	1		полость
1918-1990_полость_3610-15	1992-2016_полость_3611-15	1	2		полость
1918-1990_полость_3608-15	1992-2016_полость_3609-15	1	3		полость
1918-1990_полость_3590-15	1992-2016_полость_3591-15	1	4		полость
1918-1990_полость_3606-15	1992-2016_полость_3607-15	1	3		полость
1918-1990_полость_3592-15	1992-2016_полость_3593-15	1	2		полость
1918-1990_полость_3602-15	1992-2016_полость_3603-15	1	1		полость
1918-1990_полость_3586-15	1992-2016_полость_3587-15	1	1		полость
1918-1990_полость_3600-15	1992-2016_полость_3601-15	1	1		полость
1918-1990_полость_3594-15	1992-2016_полость_3595-15	1	3		полость
1918-1990_полость_3596-15	1992-2016_полость_3597-15	1	3		полость
1918-1990_полость_3592-15	1992-2016_полость_3593-15	2	1		полость
1918-1990_полость_3572-15	1992-2016_полость_3573-15	2	2		полость
1918-1990_полость_3586-15	1992-2016_полость_3587-15	2	3		полость
1918-1990_полость_3590-15	1992-2016_полость_3591-15	2	2		полость
1918-1990_полость_3612-15	1992-2016_полость_3613-15	2	1		полость
1918-1990_полость_3574-15	1992-2016_полость_3575-15	2	2		полость
1918-1990_полость_3588-15	1992-2016_полость_3589-15	2	1		полость
1918-1990_полость_3594-15	1992-2016_полость_3595-15	2	3		полость
1918-1990_полость_3576-15	1992-2016_полость_3577-15	2	1		полость
1918-1990_полость_3556-15	1992-2016_полость_3557-15	2	4		полость
1918-1990_полость_3570-15	1992-2016_полость_3571-15	2	2		полость
1918-1990_полость_3554-15	1992-2016_полость_3555-15	2	4		полость
1918-1990_полость_3610-15	1992-2016_полость_3611-15	2	4		полость
1918-1990_полость_3566-15	1992-2016_полость_3567-15	2	1		полость
1918-1990_полость_3568-15	1992-2016_полость_3569-15	2	4		полость
1918-1990_полость_3564-15	1992-2016_полость_3565-15	2	1		полость
1918-1990_полость_3584-15	1992-2016_полость_3585-15	2	1		полость
1918-1990_полость_3598-15	1992-2016_полость_3599-15	2	2		полость
1918-1990_полость_3562-15	1992-2016_полость_3563-15	2	2		полость
1918-1990_полость_3600-15	1992-2016_полость_3601-15	2	4		полость
1918-1990_полость_3578-15	1992-2016_полость_3579-15	2	1		полость
1918-1990_полость_3560-15	1992-2016_полость_3561-15	2	2		полость
1918-1990_полость_3558-15	1992-2016_полость_3559-15	2	1		полость
1918-1990_полость_3604-15	1992-2016_полость_3605-15	2	1		полость
1918-1990_полость_3606-15	1992-2016_полость_3607-15	2	1		полость
1918-1990_полость_3582-15	1992-2016_полость_3583-15	2	1		полость
1918-1990_полость_3608-15	1992-2016_полость_3609-15	2	4		полость
1918-1990_полость_3580-15	1992-2016_полость_3581-15	2	1		полость
1918-1990_полость_3602-15	1992-2016_полость_3603-15	2	1		полость
1918-1990_полость_3596-15	1992-2016_полость_3597-15	2	4		полость
