identifier1	identifier2	annotator	judgment	comment	lemma
1918-1990_помощник_330-15	1992-2016_помощник_331-15	0	4		помощник
1918-1990_помощник_336-15	1992-2016_помощник_337-15	0	3		помощник
1918-1990_помощник_354-15	1992-2016_помощник_355-15	0	4		помощник
1918-1990_помощник_318-15	1992-2016_помощник_319-15	0	4		помощник
1918-1990_помощник_326-15	1992-2016_помощник_327-15	0	3		помощник
1918-1990_помощник_374-15	1992-2016_помощник_375-15	0	4		помощник
1918-1990_помощник_372-15	1992-2016_помощник_373-15	0	4		помощник
1918-1990_помощник_324-15	1992-2016_помощник_325-15	0	2		помощник
1918-1990_помощник_370-15	1992-2016_помощник_371-15	0	4		помощник
1918-1990_помощник_338-15	1992-2016_помощник_339-15	0	4		помощник
1918-1990_помощник_328-15	1992-2016_помощник_329-15	0	4		помощник
1918-1990_помощник_334-15	1992-2016_помощник_335-15	0	4		помощник
1918-1990_помощник_364-15	1992-2016_помощник_365-15	0	4		помощник
1918-1990_помощник_322-15	1992-2016_помощник_323-15	0	4		помощник
1918-1990_помощник_362-15	1992-2016_помощник_363-15	0	4		помощник
1918-1990_помощник_360-15	1992-2016_помощник_361-15	0	4		помощник
1918-1990_помощник_320-15	1992-2016_помощник_321-15	0	4		помощник
1918-1990_помощник_358-15	1992-2016_помощник_359-15	0	4		помощник
1918-1990_помощник_366-15	1992-2016_помощник_367-15	0	4		помощник
1918-1990_помощник_368-15	1992-2016_помощник_369-15	0	4		помощник
1918-1990_помощник_340-15	1992-2016_помощник_341-15	0	3		помощник
1918-1990_помощник_356-15	1992-2016_помощник_357-15	0	3		помощник
1918-1990_помощник_346-15	1992-2016_помощник_347-15	0	4		помощник
1918-1990_помощник_376-15	1992-2016_помощник_377-15	0	3		помощник
1918-1990_помощник_342-15	1992-2016_помощник_343-15	0	4		помощник
1918-1990_помощник_352-15	1992-2016_помощник_353-15	0	4		помощник
1918-1990_помощник_344-15	1992-2016_помощник_345-15	0	4		помощник
1918-1990_помощник_348-15	1992-2016_помощник_349-15	0	2		помощник
1918-1990_помощник_332-15	1992-2016_помощник_333-15	0	2		помощник
1918-1990_помощник_350-15	1992-2016_помощник_351-15	0	4		помощник
1918-1990_помощник_330-15	1992-2016_помощник_331-15	1	3		помощник
1918-1990_помощник_348-15	1992-2016_помощник_349-15	1	3		помощник
1918-1990_помощник_366-15	1992-2016_помощник_367-15	1	4		помощник
1918-1990_помощник_322-15	1992-2016_помощник_323-15	1	4		помощник
1918-1990_помощник_364-15	1992-2016_помощник_365-15	1	4		помощник
1918-1990_помощник_362-15	1992-2016_помощник_363-15	1	4		помощник
1918-1990_помощник_320-15	1992-2016_помощник_321-15	1	3		помощник
1918-1990_помощник_360-15	1992-2016_помощник_361-15	1	4		помощник
1918-1990_помощник_358-15	1992-2016_помощник_359-15	1	3		помощник
1918-1990_помощник_352-15	1992-2016_помощник_353-15	1	4		помощник
1918-1990_помощник_356-15	1992-2016_помощник_357-15	1	4		помощник
1918-1990_помощник_328-15	1992-2016_помощник_329-15	1	3		помощник
1918-1990_помощник_350-15	1992-2016_помощник_351-15	1	2		помощник
1918-1990_помощник_368-15	1992-2016_помощник_369-15	1	4		помощник
1918-1990_помощник_318-15	1992-2016_помощник_319-15	1	4		помощник
1918-1990_помощник_346-15	1992-2016_помощник_347-15	1	4		помощник
1918-1990_помощник_338-15	1992-2016_помощник_339-15	1	4		помощник
1918-1990_помощник_332-15	1992-2016_помощник_333-15	1	1		помощник
1918-1990_помощник_326-15	1992-2016_помощник_327-15	1	4		помощник
1918-1990_помощник_336-15	1992-2016_помощник_337-15	1	4		помощник
1918-1990_помощник_334-15	1992-2016_помощник_335-15	1	4		помощник
1918-1990_помощник_342-15	1992-2016_помощник_343-15	1	4		помощник
1918-1990_помощник_340-15	1992-2016_помощник_341-15	1	4		помощник
1918-1990_помощник_354-15	1992-2016_помощник_355-15	1	4		помощник
1918-1990_помощник_374-15	1992-2016_помощник_375-15	1	2		помощник
1918-1990_помощник_344-15	1992-2016_помощник_345-15	1	2		помощник
1918-1990_помощник_324-15	1992-2016_помощник_325-15	1	3		помощник
1918-1990_помощник_372-15	1992-2016_помощник_373-15	1	4		помощник
1918-1990_помощник_370-15	1992-2016_помощник_371-15	1	3		помощник
1918-1990_помощник_376-15	1992-2016_помощник_377-15	1	3		помощник
1918-1990_помощник_320-15	1992-2016_помощник_321-15	2	4		помощник
1918-1990_помощник_330-15	1992-2016_помощник_331-15	2	4		помощник
1918-1990_помощник_328-15	1992-2016_помощник_329-15	2	4		помощник
1918-1990_помощник_326-15	1992-2016_помощник_327-15	2	4		помощник
1918-1990_помощник_318-15	1992-2016_помощник_319-15	2	4		помощник
1918-1990_помощник_322-15	1992-2016_помощник_323-15	2	3		помощник
1918-1990_помощник_332-15	1992-2016_помощник_333-15	2	1		помощник
1918-1990_помощник_344-15	1992-2016_помощник_345-15	2	4		помощник
1918-1990_помощник_374-15	1992-2016_помощник_375-15	2	3		помощник
1918-1990_помощник_352-15	1992-2016_помощник_353-15	2	4		помощник
1918-1990_помощник_350-15	1992-2016_помощник_351-15	2	4		помощник
1918-1990_помощник_348-15	1992-2016_помощник_349-15	2	4		помощник
1918-1990_помощник_346-15	1992-2016_помощник_347-15	2	4		помощник
1918-1990_помощник_342-15	1992-2016_помощник_343-15	2	4		помощник
1918-1990_помощник_340-15	1992-2016_помощник_341-15	2	4		помощник
1918-1990_помощник_338-15	1992-2016_помощник_339-15	2	4		помощник
1918-1990_помощник_336-15	1992-2016_помощник_337-15	2	1		помощник
1918-1990_помощник_334-15	1992-2016_помощник_335-15	2	4		помощник
1918-1990_помощник_354-15	1992-2016_помощник_355-15	2	4		помощник
1918-1990_помощник_376-15	1992-2016_помощник_377-15	2	4		помощник
1918-1990_помощник_372-15	1992-2016_помощник_373-15	2	4		помощник
1918-1990_помощник_370-15	1992-2016_помощник_371-15	2	4		помощник
1918-1990_помощник_366-15	1992-2016_помощник_367-15	2	4		помощник
1918-1990_помощник_364-15	1992-2016_помощник_365-15	2	4		помощник
1918-1990_помощник_362-15	1992-2016_помощник_363-15	2	3		помощник
1918-1990_помощник_360-15	1992-2016_помощник_361-15	2	1		помощник
1918-1990_помощник_358-15	1992-2016_помощник_359-15	2	3		помощник
1918-1990_помощник_356-15	1992-2016_помощник_357-15	2	4		помощник
1918-1990_помощник_324-15	1992-2016_помощник_325-15	2	3		помощник
1918-1990_помощник_368-15	1992-2016_помощник_369-15	2	4		помощник
