lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
помощник	NOUN	1918	1918-1990	1918-1990_помощник_370-15		Я говорю помощнику: -- Сейчас в Тендру вопремся, уваливайтесь под ветер.	9:18	0:72
помощник	NOUN	1918	1918-1990	1918-1990_помощник_354-15		Во время тихого диалога на сцене зазвонил телефон на пульте у помощника режиссера.	62:71	0:82
помощник	NOUN	1918	1918-1990	1918-1990_помощник_374-15		Страна, куда посылается герой, есть тридесятое царство, а "то, не знаю что" оказывается помощником, имя, название которого табуировано и высказывается не прямо, а иносказательно.	88:98	0:178
помощник	NOUN	1918	1918-1990	1918-1990_помощник_372-15		Пересекая на крейсере Атлантический океан по пути в иранскую столицу, президент Рузвельт созвал в кают-компании ближайших помощников и поделился своими соображениями насчет второго фронта.	122:132	0:188
помощник	NOUN	1918	1918-1990	1918-1990_помощник_368-15		Нет, из тебя определенно будет толк! -- смеется помощник и сбегает по трапу вниз.	48:56	0:81
помощник	NOUN	1918	1918-1990	1918-1990_помощник_366-15		Комендантом городка назначен полковник Симонов, а его помощник -- бывший старшина Мартемьян Бородин.	54:62	0:100
помощник	NOUN	1918	1918-1990	1918-1990_помощник_364-15		Долго и с напряжением я перебирал всех своих знакомых, могущих занять положение в Товариществе в качестве моего помощника, так как одному справиться с делом не было возможно.	112:121	0:174
помощник	NOUN	1918	1918-1990	1918-1990_помощник_362-15		Инженер выставил растопыренные пальцы, как он делал всегда, когда хотел остановить своего помощника, немного подумал и спросил: -- Вы установили сигнал возвращения для отправившихся -- Да, сэр, четыре гудка.	90:99	0:207
помощник	NOUN	1918	1918-1990	1918-1990_помощник_352-15		Затрачены миллионы (правда, тогдашние миллионы) казенных денег на организованное "министром" внутренних дел Тверским дело, а его помощник отменяет, и главнокомандующий соглашается с ним.	129:137	0:186
помощник	NOUN	1918	1918-1990	1918-1990_помощник_360-15		Нас привезли прямо в полицейское управление, где меня принял помощник исправника.	61:69	0:81
помощник	NOUN	1918	1918-1990	1918-1990_помощник_356-15		Вскоре к нам подошел проверить билеты помощник капитана -- толстоногий молодой брюнет в белом коротком кителе.	38:46	0:110
помощник	NOUN	1918	1918-1990	1918-1990_помощник_320-15		Не прерываясь и не дожидаясь вопросов Качушина, помощник технорука сообщил, что бывших заключенных на пункте шестеро, но, конечно, нужно разобраться, что и как.	48:56	0:160
