lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3732-15		Надо пить в понедельник, во вторник, в субботу, в воскресение, в пятницу, в среду, в четверг!	12:23	0:93
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3698-15		С банком произошла обычная и даже сверхобычная проволочка: бумагу удалось поэтому достать только в субботу, когда печатать листовки явно уже не стоило: они могли бы попасть на заводы не раньше понедельника.	193:205	0:206
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3702-15		С понедельника Марина Бирюк устроилась на работу по специальности -- бухгалтером в столовой ОРСа госуниверситета, на улице Пастера, угол Советской Армии.	2:14	0:153
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3724-15		-- С понедельника начнем испытания и надеемся, ваше сиятельство, вас прокатить.	5:17	0:79
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3706-15		В понедельник утром он являлся первым, с сияющим лицом и неизменно жаловался, что смертельно проскучал вчера весь день.	2:13	0:119
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3686-15		Был у генерала-лейтенанта Журавлева (в понедельник).	39:50	0:52
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3682-15		Сегодня в понедельник 28 апреля уехала в Москву Валя.	10:21	0:53
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3704-15		Звонила ответственной за распределение нас в лагеря, просила найти, то ли найдет, то ли нет места, была в горкоме, просили прийти в понедельник, говорят одно место может найдем.	132:143	0:177
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3688-15		.. вполне законченный отрывок"*, который он старался сделать сразу, в один день, то, следует полагать, что в понедельник он написал про шиповник, во вторник про сосну, в среду про березу.	109:120	0:187
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3690-15		Завтра, т.е. в понедельник, 29/VI, ей свезут мое письмо, заедочек, усладенек и проч., а главное -- весть, что я скоро приеду, может быть во вторник.	15:26	0:148
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3692-15		Если потребуют, в следующий понедельник у меня опять консультация.	28:39	0:66
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3684-15		В понедельник Митька узнает, куда ее перевели.	2:13	0:46
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3694-15		Если же билета не будет и на понедельник, то тут уж продлевать, конечно, придется и понадобится Лугин.	29:40	0:102
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3696-15		В выходной день, когда Лизочка уже приготовила все уроки на понедельник, Аня хотела взять ее с собой на Слободку, но Тося не могла решить, хорошо это или нехорошо, и отложили до другого раза.	60:71	0:191
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3700-15		Понедельник, 30 ноября 1936 Ничего не пишу, потому что забываю.	0:11	0:63
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3678-15		Начинать новую жизнь лучше всего с понедельника.	35:47	0:48
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3730-15		Утром в понедельник был урок биологии.	8:19	0:38
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3710-15		Чистый понедельник, 21 февраля 1977 Великий Пост.	7:18	0:49
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3728-15		* * * В понедельник Анна Дмитриевна рассадила Борьку с Мишкой по разным углам за драку на переменке.	8:19	0:100
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3680-15		В понедельник приехали в наш, теперь уже такой знакомый, [отель] Sheraton, где я ждал результатов Льяниных операций два раза...	2:13	0:127
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3720-15		Наконец в понедельник был отдан приказ о похоронах.	10:21	0:51
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3718-15		Решили устроить в понедельник, 29-го, прием для родственников.	18:29	0:62
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3716-15		В понедельник Л. Ф.**** позвонил сам мне по телефону и выражал желание приехать проститься с И. Алексеевичем.	2:13	0:109
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3714-15		По понедельникам нас всех обязательно водят к врачу, к оториноларингологу, проще -- к горловику, вернее, к горповичке, ну, словом, к нашей Марии Леонтьевне.	3:16	0:156
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3712-15		В одной лондонской лечебнице из 14 женщин 13 найдено было связанными; в некоторых провинциальных больницах было принято, как правило, с вечера субботы до утра понедельника приковывать больных к койкам и запирать их на ключ, пока персонал предавался воскресному отдыху.	159:171	0:268
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3676-15		За эту неделю был на открытии музыкального сезона в Salle Tchaikowsky, отдал переплести "Fleurs du Mal" Бодлера и "Posies" Маллармэ; переплели замечательно и содрали 25 р.; в понедельник получу переплетенные "Posies" Валери и "Pomes Saturniens" и "Paralllement" Верлена.	175:186	0:270
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3722-15		Японец и Дзе идут в класс, растопляют печку и, греясь у яркого огня, болтают о лотерее-аллегри и ждут понедельника.	102:114	0:115
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3708-15		Просто был понедельник.	11:22	0:23
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3674-15		Ромм ждет операции в понедельник.	21:32	0:33
понедельник	NOUN	1918	1918-1990	1918-1990_понедельник_3726-15		Понедельник, 30 ноября 1981 Тридцать пять лет со дня моего рукоположения на Сергиевском подворье в священники.	0:11	0:110
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3681-15		Путин и Алиев сделали акцент на Каспий В понедельник начался визит президента Азербайджана Гейдара Алиева в Москву.	41:52	0:115
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3707-15		Дело в том, что в понедельник утром в правительстве области состоялось довольно неприятное для связистов совещание.	18:29	0:115
понедельник	NOUN	1992	1992-2016	1992-2016_понедельник_3697-15		-- Позавчера -- это, стало быть, в понедельник, девятнадцатого ноября, -- уточнил Дзюба, которого Колосенцев с первых же дней работы учил записывать показания дословно и тут же делать уточняющие пометки, иначе потом с этими "вчера", "три дня назад" или "в соседнем доме" греха не оберешься.	35:46	0:290
